  #K-Path    Energy        Bi        Sb
# NKPTS & NBANDS:  80 112
# Band-Index:    1
    0.000  -24.3484     0.984     0.000
    0.022  -24.3485     0.984     0.000
    0.045  -24.3487     0.984     0.000
    0.067  -24.3488     0.984     0.000
    0.089  -24.3489     0.984     0.000
    0.112  -24.3491     0.984     0.000
    0.134  -24.3492     0.984     0.000
    0.156  -24.3493     0.984     0.000
    0.179  -24.3494     0.984     0.000
    0.201  -24.3495     0.984     0.000
    0.224  -24.3496     0.984     0.000
    0.246  -24.3497     0.984     0.000
    0.268  -24.3498     0.984     0.000
    0.291  -24.3498     0.984     0.000
    0.313  -24.3499     0.984     0.000
    0.335  -24.3499     0.984     0.000
    0.358  -24.3500     0.984     0.000
    0.380  -24.3500     0.984     0.000
    0.402  -24.3500     0.984     0.000
    0.425  -24.3500     0.984     0.000
    0.425  -24.3500     0.984     0.000
    0.468  -24.3500     0.984     0.000
    0.511  -24.3499     0.984     0.000
    0.553  -24.3499     0.984     0.000
    0.596  -24.3498     0.984     0.000
    0.639  -24.3496     0.984     0.000
    0.682  -24.3495     0.984     0.000
    0.725  -24.3493     0.984     0.000
    0.768  -24.3491     0.984     0.000
    0.811  -24.3489     0.984     0.000
    0.854  -24.3487     0.984     0.000
    0.897  -24.3484     0.984     0.000
    0.940  -24.3483     0.984     0.000
    0.983  -24.3482     0.984     0.000
    1.025  -24.3482     0.984     0.000
    1.068  -24.3480     0.984     0.000
    1.111  -24.3479     0.984     0.000
    1.154  -24.3477     0.984     0.000
    1.197  -24.3475     0.984     0.000
    1.240  -24.3473     0.984     0.000
    1.240  -24.3473     0.984     0.000
    1.283  -24.3475     0.984     0.000
    1.326  -24.3477     0.984     0.000
    1.369  -24.3479     0.984     0.000
    1.412  -24.3480     0.984     0.000
    1.454  -24.3482     0.984     0.000
    1.497  -24.3482     0.984     0.000
    1.540  -24.3483     0.984     0.000
    1.583  -24.3484     0.984     0.000
    1.626  -24.3487     0.984     0.000
