  #K-Path    Energy        Bi        Sb
# NKPTS & NBANDS:  80 112
# Band-Index:    1
    1.208  -24.4295     0.984     0.000
    1.164  -24.4293     0.984     0.000
    1.121  -24.4290     0.984     0.000
    1.077  -24.4288     0.984     0.000
    1.034  -24.4286     0.984     0.000
    0.990  -24.4284     0.984     0.000
    0.947  -24.4283     0.984     0.000
    0.903  -24.4281     0.984     0.000
    0.860  -24.4280     0.984     0.000
    0.816  -24.4280     0.984     0.000
    0.773  -24.4280     0.984     0.000
    0.729  -24.4280     0.984     0.000
    0.686  -24.4281     0.984     0.000
    0.642  -24.4282     0.984     0.000
    0.599  -24.4284     0.984     0.000
    0.555  -24.4286     0.984     0.000
    0.512  -24.4288     0.984     0.000
    0.468  -24.4290     0.984     0.000
    0.425  -24.4292     0.984     0.000
    0.425  -24.4292     0.984     0.000
    0.402  -24.4292     0.984     0.000
    0.380  -24.4292     0.984     0.000
    0.358  -24.4293     0.984     0.000
    0.335  -24.4293     0.984     0.000
    0.313  -24.4293     0.984     0.000
    0.291  -24.4294     0.984     0.000
    0.268  -24.4295     0.984     0.000
    0.246  -24.4295     0.984     0.000
    0.224  -24.4296     0.984     0.000
    0.201  -24.4297     0.984     0.000
    0.179  -24.4298     0.984     0.000
    0.156  -24.4300     0.984     0.000
    0.134  -24.4301     0.984     0.000
    0.112  -24.4302     0.984     0.000
    0.089  -24.4304     0.984     0.000
    0.067  -24.4305     0.984     0.000
    0.045  -24.4306     0.984     0.000
    0.022  -24.4308     0.984     0.000
    0.000  -24.4309     0.984     0.000
 
# Band-Index:    5
    0.000  -24.4015     0.984     0.000
    0.022  -24.4015     0.984     0.000
    0.045  -24.4015     0.984     0.000
    0.067  -24.4015     0.984     0.000
    0.089  -24.4015     0.984     0.000
    0.112  -24.4015     0.984     0.000
    0.134  -24.4015     0.984     0.000
    0.156  -24.4014     0.984     0.000
    0.179  -24.4014     0.984     0.000
    0.201  -24.4014     0.984     0.000
    0.224  -24.4014     0.984     0.000
