    #kx         ky         Energy       Sx      Sy      Sz
    #Grid-Size:    23   47
    #Band-Index:   40
    0.063685    0.219670   -2.246178  -0.194  -0.182   0.154
    0.063685    0.251051   -2.316545  -0.176   0.348  -0.008
    0.063685    0.282433   -2.488689   0.072   0.272  -0.078
    0.063685    0.313814   -2.650572   0.142   0.332   0.004
    0.063685    0.345195   -2.714193   0.182  -0.334   0.056
    0.063685    0.376577   -2.593468   0.232  -0.264   0.010
    0.063685    0.407958   -2.428619   0.200  -0.286   0.006
    0.063685    0.439340   -2.363956   0.278   0.000   0.176
    0.063685    0.470721   -2.450755   0.236   0.260  -0.006
    0.063685    0.502102   -2.691805   0.274   0.212  -0.002
    0.063685    0.533484   -2.912790   0.248   0.248   0.128
    0.063685    0.564865   -2.918823   0.256  -0.210   0.078
    0.063685    0.596247   -2.736452   0.286  -0.166  -0.120
    0.063685    0.627628   -2.617927   0.344  -0.134  -0.116
    0.063685    0.659010   -2.588950   0.374   0.052  -0.102
    0.063685    0.690391   -2.730226   0.310   0.154  -0.156
    0.063685    0.721772   -2.942282   0.272   0.122  -0.160
    0.063685   -0.721772   -3.126470   0.254   0.104   0.030
    0.063685   -0.690391   -3.041376   0.250  -0.106  -0.190
    0.063685   -0.659010   -2.993055   0.268  -0.100  -0.244
    0.063685   -0.627628   -3.015032   0.290  -0.030  -0.270
    0.063685   -0.596247   -3.015032   0.290   0.030  -0.270
    0.063685   -0.564865   -3.056863  -0.254   0.074   0.268
    0.063685   -0.533484   -3.072825  -0.232   0.102   0.218
    0.063685   -0.502102   -3.130807  -0.268  -0.080   0.010
    0.063685   -0.470721   -2.975152  -0.262  -0.120   0.182
    0.063685   -0.439340   -2.785582  -0.308  -0.140   0.180
    0.063685   -0.407958   -2.649068  -0.368  -0.044   0.142
    0.063685   -0.376577   -2.675452  -0.342   0.118   0.148
    0.063685   -0.345195   -2.772683  -0.286   0.158   0.140
    0.063685   -0.313814   -2.958711  -0.260   0.184  -0.044
    0.063685   -0.282433   -2.960679  -0.242  -0.228  -0.118
    0.063685   -0.251051   -2.727855  -0.280  -0.192   0.034
    0.063685   -0.219670   -2.478471  -0.266  -0.236   0.022
    0.063685   -0.188288   -2.363956  -0.278   0.000  -0.176
    0.063685   -0.156907   -2.450755  -0.236   0.260   0.006
    0.063685   -0.125526   -2.622461  -0.252   0.248  -0.020
    0.063685   -0.094144   -2.743466  -0.214   0.318  -0.082
    0.063685   -0.062763   -2.676846  -0.190  -0.320  -0.038
    0.063685   -0.031381   -2.510470  -0.146  -0.272   0.048
    0.095527    0.000000   -2.052221   0.000   0.178   0.000
    0.095527    0.031381   -2.110134   0.000   0.150   0.000
    0.095527    0.062763   -2.092631  -0.404  -0.034  -0.142
    0.095527    0.094144   -2.252130  -0.416   0.078  -0.148
    0.095527    0.125526   -2.475854  -0.392   0.102  -0.172
    0.095527    0.156907   -2.436735  -0.344  -0.146  -0.156
    0.095527    0.188288   -2.382938  -0.230  -0.236  -0.102
    0.095527    0.219670   -2.278193  -0.198  -0.310   0.070
    0.095527    0.251051   -2.278193  -0.198   0.310   0.070
    0.095527    0.282433   -2.453534   0.054   0.276  -0.074
    0.095527    0.313814   -2.615223   0.150   0.314  -0.014
    0.095527    0.345195   -2.753606   0.170  -0.344   0.076
    0.095527    0.376577   -2.632157   0.232  -0.276   0.028
    0.095527    0.407958   -2.476774   0.214  -0.266  -0.020
    0.095527    0.439340   -2.368974   0.270  -0.124   0.154
    0.095527    0.470721   -2.411902   0.242   0.256   0.042
    0.095527    0.502102   -2.637304   0.272   0.210  -0.036
    0.095527    0.533484   -2.873128   0.258   0.232   0.094
    0.095527    0.564865   -2.960679   0.242  -0.228   0.118
    0.095527    0.596247   -2.794768   0.284  -0.154  -0.104
    0.095527    0.627628   -2.644542   0.326  -0.156  -0.124
    0.095527    0.659010   -2.645847   0.372   0.000  -0.140
    0.095527    0.690391   -2.699209   0.326   0.140  -0.152
    0.095527    0.721772   -2.897673   0.276   0.136  -0.174
    0.095527   -0.721772   -3.090309   0.272   0.092  -0.072
    0.095527   -0.690391   -3.071554   0.256  -0.092  -0.164
    0.095527   -0.659010   -3.011914   0.256  -0.106  -0.240
    0.095527   -0.627628   -3.022606   0.284  -0.044  -0.270
    0.095527   -0.596247   -3.010280   0.294   0.014  -0.270
    0.095527   -0.564865   -3.044157  -0.266   0.066   0.268
    0.095527   -0.533484   -3.052128  -0.234   0.108   0.230
    0.095527   -0.502102   -3.130807  -0.268   0.080   0.010
    0.095527   -0.470721   -3.013411  -0.264  -0.106   0.164
    0.095527   -0.439340   -2.818190  -0.292  -0.146   0.180
    0.095527   -0.407958   -2.658841  -0.358  -0.084   0.144
    0.095527   -0.376577   -2.658841  -0.358   0.084   0.144
    0.095527   -0.345195   -2.722827  -0.296   0.166   0.140
    0.095527   -0.313814   -2.908630  -0.278   0.164   0.018
    0.095527   -0.282433   -2.999590  -0.226  -0.242  -0.150
    0.095527   -0.251051   -2.781892  -0.278  -0.200  -0.012
    0.095527   -0.219670   -2.525833  -0.262  -0.230   0.050
    0.095527   -0.188288   -2.368974  -0.270  -0.124  -0.154
    0.095527   -0.156907   -2.411902  -0.242   0.256  -0.042
    0.095527   -0.125526   -2.577081  -0.246   0.242   0.002
    0.095527   -0.094144   -2.705950  -0.222   0.306  -0.064
    0.095527   -0.062763   -2.714193  -0.182  -0.334  -0.056
    0.095527   -0.031381   -2.546262  -0.156  -0.282   0.040
    0.127370    0.000000   -2.068240   0.000   0.206   0.000
    0.127370    0.031381   -2.151208  -0.126   0.000   0.202
    0.127370    0.062763   -2.071131  -0.368  -0.064  -0.134
    0.127370    0.094144   -2.218156  -0.418   0.078  -0.148
    0.127370    0.125526   -2.434548  -0.396   0.100  -0.166
    0.127370    0.156907   -2.472168  -0.344  -0.148  -0.160
    0.127370    0.188288   -2.412276  -0.222  -0.218  -0.118
    0.127370    0.219670   -2.316544  -0.176  -0.348  -0.008
    0.127370    0.251051   -2.246178  -0.194   0.182   0.154
    0.127370    0.282433   -2.415636   0.018   0.300  -0.064
    0.127370    0.313814   -2.580793   0.156   0.298  -0.028
    0.127370    0.345195   -2.753606   0.170   0.344   0.076
    0.127370    0.376577   -2.669217   0.230  -0.290   0.046
    0.127370    0.407958   -2.527753   0.230  -0.248  -0.018
    0.127370    0.439340   -2.384620   0.254  -0.214   0.102
    0.127370    0.470721   -2.384620   0.254   0.214   0.102
    0.127370    0.502102   -2.580393   0.266   0.218  -0.054
    0.127370    0.533484   -2.830082   0.270   0.216   0.056
    0.127370    0.564865   -2.999590   0.226  -0.242   0.150
    0.127370    0.596247   -2.853274   0.284  -0.154  -0.070
    0.127370    0.627628   -2.679665   0.310  -0.168  -0.134
    0.127370    0.659010   -2.649068   0.368  -0.044  -0.142
    0.127370    0.690391   -2.675452   0.342   0.118  -0.148
    0.127370    0.721772   -2.855881   0.282   0.144  -0.178
