  #K-Path    Energy        Bi        Sb
# NKPTS & NBANDS:  80  55
# Band-Index:    1
    0.756  -24.1888     0.984     0.000
    0.713  -24.1887     0.984     0.000
    0.670  -24.1887     0.984     0.000
    0.626  -24.1887     0.984     0.000
    0.583  -24.1886     0.984     0.000
    0.540  -24.1886     0.984     0.000
    0.496  -24.1885     0.984     0.000
    0.453  -24.1885     0.984     0.000
    0.410  -24.1885     0.984     0.000
    0.366  -24.1885     0.984     0.000
    0.366  -24.1885     0.984     0.000
    0.347  -24.1885     0.984     0.000
    0.328  -24.1885     0.984     0.000
    0.308  -24.1885     0.984     0.000
    0.289  -24.1885     0.984     0.000
    0.270  -24.1885     0.984     0.000
    0.251  -24.1885     0.984     0.000
    0.231  -24.1884     0.984     0.000
    0.212  -24.1885     0.984     0.000
    0.193  -24.1885     0.984     0.000
    0.173  -24.1885     0.984     0.000
    0.154  -24.1885     0.984     0.000
    0.135  -24.1885     0.984     0.000
    0.116  -24.1885     0.984     0.000
    0.096  -24.1885     0.984     0.000
    0.077  -24.1886     0.984     0.000
    0.058  -24.1886     0.984     0.000
    0.039  -24.1886     0.984     0.000
    0.019  -24.1886     0.984     0.000
    0.000  -24.1886     0.984     0.000
 
# Band-Index:    7
    0.000  -24.1883     0.984     0.000
    0.019  -24.1883     0.984     0.000
    0.039  -24.1883     0.984     0.000
    0.058  -24.1883     0.984     0.000
    0.077  -24.1883     0.984     0.000
    0.096  -24.1883     0.984     0.000
    0.116  -24.1884     0.984     0.000
    0.135  -24.1884     0.984     0.000
    0.154  -24.1884     0.984     0.000
    0.173  -24.1884     0.984     0.000
    0.193  -24.1884     0.984     0.000
    0.212  -24.1884     0.984     0.000
    0.231  -24.1884     0.984     0.000
    0.251  -24.1884     0.984     0.000
    0.270  -24.1884     0.984     0.000
    0.289  -24.1884     0.984     0.000
    0.308  -24.1884     0.984     0.000
    0.328  -24.1884     0.984     0.000
    0.347  -24.1884     0.984     0.000
    0.366  -24.1883     0.984     0.000
    0.366  -24.1883     0.984     0.000
    0.410  -24.1884     0.984     0.000
    0.453  -24.1884     0.984     0.000
    0.496  -24.1883     0.984     0.000
    0.540  -24.1882     0.984     0.000
    0.583  -24.1882     0.984     0.000
    0.626  -24.1881     0.984     0.000
    0.670  -24.1881     0.984     0.000
    0.713  -24.1880     0.984     0.000
    0.756  -24.1880     0.984     0.000
    0.800  -24.1880     0.984     0.000
    0.843  -24.1880     0.984     0.000
    0.886  -24.1881     0.984     0.000
    0.930  -24.1881     0.984     0.000
    0.973  -24.1881     0.984     0.000
    1.016  -24.1882     0.984     0.000
    1.060  -24.1882     0.984     0.000
    1.103  -24.1883     0.984     0.000
    1.146  -24.1883     0.984     0.000
    1.190  -24.1884     0.985     0.000
    1.190  -24.1884     0.985     0.000
    1.233  -24.1883     0.984     0.000
    1.276  -24.1883     0.984     0.000
    1.320  -24.1882     0.984     0.000
    1.363  -24.1882     0.984     0.000
