  0.00000000E+00 -0.26576366E+02
  0.87750446E-02 -0.26576368E+02
  0.17550089E-01 -0.26576371E+02
  0.26325134E-01 -0.26576374E+02
  0.35100179E-01 -0.26576376E+02
  0.43875223E-01 -0.26576378E+02
  0.52650268E-01 -0.26576378E+02
  0.61425312E-01 -0.26576376E+02
  0.70200357E-01 -0.26576371E+02
  0.78975402E-01 -0.26576362E+02
  0.87750446E-01 -0.26576351E+02
  0.96525491E-01 -0.26576337E+02
  0.10530054E+00 -0.26576321E+02
  0.11407558E+00 -0.26576304E+02
  0.12285062E+00 -0.26576286E+02
  0.13162567E+00 -0.26576268E+02
  0.14040071E+00 -0.26576251E+02
  0.14917576E+00 -0.26576235E+02
  0.15795080E+00 -0.26576220E+02
  0.16672585E+00 -0.26576207E+02
  0.17550089E+00 -0.26576194E+02
  0.18427594E+00 -0.26576182E+02
  0.19305098E+00 -0.26576169E+02
  0.20182603E+00 -0.26576154E+02
  0.21060107E+00 -0.26576137E+02
  0.21937612E+00 -0.26576117E+02
  0.22815116E+00 -0.26576095E+02
  0.23692621E+00 -0.26576069E+02
  0.24570125E+00 -0.26576041E+02
  0.25447629E+00 -0.26576012E+02
  0.26325134E+00 -0.26575981E+02
  0.27202638E+00 -0.26575951E+02
  0.28080143E+00 -0.26575921E+02
  0.28957647E+00 -0.26575893E+02
  0.29835152E+00 -0.26575866E+02
  0.30712656E+00 -0.26575840E+02
  0.31590161E+00 -0.26575816E+02
  0.32467665E+00 -0.26575792E+02
  0.33345170E+00 -0.26575769E+02
  0.34222674E+00 -0.26575746E+02
  0.35100179E+00 -0.26575721E+02
  0.35977683E+00 -0.26575695E+02
  0.36855187E+00 -0.26575668E+02
  0.37732692E+00 -0.26575640E+02
  0.38610196E+00 -0.26575611E+02
  0.39487701E+00 -0.26575582E+02
  0.40365205E+00 -0.26575553E+02
  0.41242710E+00 -0.26575525E+02
  0.42120214E+00 -0.26575499E+02
  0.42997719E+00 -0.26575474E+02
  0.43875223E+00 -0.26575451E+02
  0.44752728E+00 -0.26575429E+02
  0.45630232E+00 -0.26575408E+02
  0.46507737E+00 -0.26575387E+02
  0.47385241E+00 -0.26575365E+02
  0.48262745E+00 -0.26575343E+02
  0.49140250E+00 -0.26575318E+02
  0.50017754E+00 -0.26575293E+02
  0.50895259E+00 -0.26575266E+02
  0.51772763E+00 -0.26575239E+02
  0.52650268E+00 -0.26575213E+02
  0.53527772E+00 -0.26575188E+02
  0.54405277E+00 -0.26575166E+02
  0.55282781E+00 -0.26575146E+02
  0.56160286E+00 -0.26575131E+02
  0.57037790E+00 -0.26575119E+02
  0.57915295E+00 -0.26575111E+02
  0.58792799E+00 -0.26575106E+02
  0.59670304E+00 -0.26575104E+02
  0.60547808E+00 -0.26575104E+02
  0.61425312E+00 -0.26575104E+02
  0.62302817E+00 -0.26575104E+02
  0.63180321E+00 -0.26575103E+02
  0.64057826E+00 -0.26575099E+02
  0.64935330E+00 -0.26575092E+02
