     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz      dx2-y2       tot  
   -13.85103     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.69803     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.54403     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.39103     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.23803     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.08403     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.93103     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.77803     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.62403     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.47103     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.31703     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.16403     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.01103     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.85703     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.70403     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.55103     0.00088     0.00000     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00089
   -11.39703     0.25080     0.00010     0.00212     0.00010     0.00001     0.00001     0.00011     0.00001     0.00001     0.25325
   -11.24403     0.48310     0.00052     0.00378     0.00052     0.00004     0.00006     0.00017     0.00006     0.00004     0.48830
   -11.09103     0.54050     0.00100     0.00379     0.00100     0.00008     0.00012     0.00014     0.00012     0.00008     0.54683
   -10.93703     0.58350     0.00139     0.00362     0.00139     0.00013     0.00016     0.00010     0.00016     0.00013     0.59057
   -10.78403     0.64060     0.00168     0.00347     0.00168     0.00017     0.00020     0.00007     0.00020     0.00017     0.64825
