  #K-Path    Energy        Bi        Sb
# NKPTS & NBANDS: 120  33
# Band-Index:    1
    0.843  -21.3201     0.989     0.000
    0.868  -21.3201     0.989     0.000
    0.892  -21.3201     0.989     0.000
    0.917  -21.3202     0.989     0.000
    0.941  -21.3202     0.989     0.000
    0.966  -21.3202     0.989     0.000
    0.990  -21.3201     0.989     0.000
    1.015  -21.3201     0.989     0.000
    1.039  -21.3201     0.989     0.000
    1.064  -21.3201     0.989     0.000
    1.088  -21.3200     0.989     0.000
    1.113  -21.3200     0.989     0.000
    1.137  -21.3200     0.989     0.000
    1.161  -21.3199     0.989     0.000
    1.186  -21.3199     0.989     0.000
    1.210  -21.3198     0.989     0.000
    1.235  -21.3198     0.989     0.000
    1.259  -21.3197     0.989     0.000
    1.284  -21.3197     0.989     0.000
    1.308  -21.3196     0.989     0.000
    1.333  -21.3196     0.989     0.000
    1.357  -21.3196     0.989     0.000
    1.382  -21.3195     0.989     0.000
    1.406  -21.3195     0.989     0.000
    1.430  -21.3195     0.989     0.000
    1.455  -21.3194     0.989     0.000
    1.479  -21.3194     0.989     0.000
    1.504  -21.3193     0.989     0.000
    1.528  -21.3193     0.989     0.000
    1.528  -21.3193     0.989     0.000
    1.542  -21.3194     0.989     0.000
    1.557  -21.3195     0.989     0.000
    1.571  -21.3196     0.989     0.000
    1.585  -21.3196     0.989     0.000
    1.599  -21.3197     0.989     0.000
    1.613  -21.3198     0.989     0.000
    1.627  -21.3199     0.989     0.000
    1.641  -21.3199     0.989     0.000
    1.655  -21.3200     0.989     0.000
    1.670  -21.3201     0.989     0.000
    1.684  -21.3201     0.989     0.000
    1.698  -21.3202     0.989     0.000
    1.712  -21.3202     0.989     0.000
    1.726  -21.3203     0.989     0.000
    1.740  -21.3203     0.989     0.000
    1.754  -21.3203     0.989     0.000
    1.768  -21.3204     0.989     0.000
    1.782  -21.3204     0.989     0.000
    1.797  -21.3204     0.989     0.000
    1.811  -21.3205     0.989     0.000
    1.825  -21.3205     0.989     0.000
    1.839  -21.3205     0.989     0.000
    1.853  -21.3205     0.989     0.000
    1.867  -21.3206     0.989     0.000
    1.881  -21.3206     0.989     0.000
    1.895  -21.3206     0.989     0.000
    1.910  -21.3206     0.989     0.000
    1.924  -21.3206     0.989     0.000
    1.938  -21.3206     0.989     0.000
    1.938  -21.3206     0.989     0.000
    1.966  -21.3206     0.989     0.000
    1.994  -21.3206     0.989     0.000
    2.023  -21.3206     0.989     0.000
    2.051  -21.3205     0.989     0.000
    2.079  -21.3205     0.989     0.000
    2.107  -21.3205     0.989     0.000
    2.135  -21.3204     0.989     0.000
    2.164  -21.3204     0.989     0.000
    2.192  -21.3203     0.989     0.000
    2.220  -21.3203     0.989     0.000
    2.248  -21.3202     0.989     0.000
    2.277  -21.3202     0.989     0.000
    2.305  -21.3202     0.989     0.000
    2.333  -21.3201     0.989     0.000
    2.361  -21.3201     0.989     0.000
    2.390  -21.3201     0.989     0.000
    2.418  -21.3201     0.989     0.000
    2.446  -21.3201     0.989     0.000
    2.474  -21.3201     0.989     0.000
    2.503  -21.3201     0.989     0.000
    2.531  -21.3201     0.989     0.000
    2.559  -21.3201     0.989     0.000
    2.587  -21.3201     0.989     0.000
    2.616  -21.3202     0.989     0.000
    2.644  -21.3202     0.989     0.000
    2.672  -21.3202     0.989     0.000
    2.700  -21.3202     0.989     0.000
    2.729  -21.3201     0.989     0.000
    2.757  -21.3201     0.989     0.000
 
# Band-Index:    6
    2.757  -21.3201     0.989     0.000
    2.729  -21.3201     0.989     0.000
    2.700  -21.3201     0.989     0.000
    2.672  -21.3200     0.989     0.000
    2.644  -21.3200     0.989     0.000
    2.616  -21.3199     0.989     0.000
    2.587  -21.3199     0.989     0.000
    2.559  -21.3198     0.989     0.000
    2.531  -21.3197     0.989     0.000
    2.503  -21.3197     0.989     0.000
    2.474  -21.3196     0.989     0.000
    2.446  -21.3195     0.989     0.000
    2.418  -21.3193     0.989     0.000
    2.390  -21.3192     0.989     0.000
    2.361  -21.3191     0.989     0.000
    2.333  -21.3189     0.989     0.000
    2.305  -21.3188     0.989     0.000
    2.277  -21.3187     0.989     0.000
    2.248  -21.3185     0.989     0.000
    2.220  -21.3184     0.989     0.000
    2.192  -21.3182     0.989     0.000
    2.164  -21.3181     0.989     0.000
    2.135  -21.3180     0.989     0.000
    2.107  -21.3179     0.989     0.000
    2.079  -21.3178     0.989     0.000
    2.051  -21.3177     0.989     0.000
    2.023  -21.3176     0.989     0.000
    1.994  -21.3175     0.989     0.000
    1.966  -21.3175     0.989     0.000
    1.938  -21.3175     0.989     0.000
    1.938  -21.3175     0.989     0.000
    1.924  -21.3175     0.989     0.000
    1.910  -21.3175     0.989     0.000
    1.895  -21.3175     0.989     0.000
    1.881  -21.3176     0.989     0.000
    1.867  -21.3176     0.989     0.000
    1.853  -21.3176     0.989     0.000
    1.839  -21.3176     0.989     0.000
    1.825  -21.3177     0.989     0.000
    1.811  -21.3177     0.989     0.000
    1.797  -21.3178     0.989     0.000
    1.782  -21.3178     0.989     0.000
    1.768  -21.3179     0.989     0.000
    1.754  -21.3180     0.989     0.000
    1.740  -21.3180     0.989     0.000
    1.726  -21.3181     0.989     0.000
    1.712  -21.3182     0.989     0.000
    1.698  -21.3183     0.989     0.000
    1.684  -21.3184     0.989     0.000
    1.670  -21.3184     0.989     0.000
    1.655  -21.3185     0.989     0.000
    1.641  -21.3186     0.989     0.000
    1.627  -21.3187     0.989     0.000
    1.613  -21.3188     0.989     0.000
    1.599  -21.3189     0.989     0.000
    1.585  -21.3190     0.989     0.000
    1.571  -21.3191     0.989     0.000
    1.557  -21.3191     0.989     0.000
    1.542  -21.3192     0.989     0.000
    1.528  -21.3193     0.989     0.000
    1.528  -21.3193     0.989     0.000
    1.504  -21.3193     0.989     0.000
    1.479  -21.3193     0.989     0.000
    1.455  -21.3193     0.989     0.000
    1.430  -21.3193     0.989     0.000
    1.406  -21.3193     0.989     0.000
    1.382  -21.3193     0.989     0.000
    1.357  -21.3193     0.989     0.000
    1.333  -21.3193     0.989     0.000
    1.308  -21.3193     0.989     0.000
    1.284  -21.3193     0.989     0.000
    1.259  -21.3193     0.989     0.000
    1.235  -21.3194     0.989     0.000
    1.210  -21.3194     0.989     0.000
    1.186  -21.3195     0.989     0.000
    1.161  -21.3195     0.989     0.000
    1.137  -21.3196     0.989     0.000
    1.113  -21.3196     0.989     0.000
    1.088  -21.3197     0.989     0.000
    1.064  -21.3197     0.989     0.000
    1.039  -21.3198     0.989     0.000
    1.015  -21.3198     0.989     0.000
    0.990  -21.3199     0.989     0.000
    0.966  -21.3199     0.989     0.000
    0.941  -21.3200     0.989     0.000
    0.917  -21.3200     0.989     0.000
    0.892  -21.3200     0.989     0.000
    0.868  -21.3201     0.989     0.000
    0.843  -21.3201     0.989     0.000
    0.819  -21.3201     0.989     0.000
    0.819  -21.3201     0.989     0.000
    0.791  -21.3201     0.989     0.000
    0.763  -21.3201     0.989     0.000
    0.734  -21.3200     0.989     0.000
    0.706  -21.3200     0.989     0.000
    0.678  -21.3199     0.989     0.000
    0.650  -21.3199     0.989     0.000
    0.621  -21.3198     0.989     0.000
    0.593  -21.3197     0.989     0.000
    0.565  -21.3197     0.989     0.000
    0.537  -21.3196     0.989     0.000
    0.508  -21.3195     0.989     0.000
    0.480  -21.3193     0.989     0.000
    0.452  -21.3192     0.989     0.000
    0.424  -21.3191     0.989     0.000
    0.395  -21.3189     0.989     0.000
    0.367  -21.3188     0.989     0.000
    0.339  -21.3187     0.989     0.000
    0.311  -21.3185     0.989     0.000
    0.282  -21.3184     0.989     0.000
    0.254  -21.3182     0.989     0.000
    0.226  -21.3181     0.989     0.000
    0.198  -21.3180     0.989     0.000
    0.169  -21.3179     0.989     0.000
    0.141  -21.3178     0.989     0.000
    0.113  -21.3177     0.989     0.000
    0.085  -21.3176     0.989     0.000
    0.056  -21.3175     0.989     0.000
    0.028  -21.3175     0.989     0.000
    0.000  -21.3175     0.989     0.000
 
# Band-Index:    7
    0.000  -21.3095     0.989     0.000
    0.028  -21.3095     0.989     0.000
    0.056  -21.3095     0.989     0.000
