     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz      dx2-y2       tot  
   -10.79540     0.12430     0.00026     0.00000     0.00026     0.00001     0.00000     0.00027     0.00000     0.00001     0.12512
   -10.65240     0.23940     0.00182     0.00000     0.00182     0.00010     0.00000     0.00049     0.00000     0.00010     0.24372
   -10.50840     0.22890     0.00419     0.00001     0.00419     0.00023     0.00000     0.00043     0.00000     0.00023     0.23818
   -10.36440     0.22110     0.00847     0.00001     0.00847     0.00048     0.00000     0.00037     0.00000     0.00048     0.23940
   -10.22040     0.20930     0.01966     0.00003     0.01966     0.00113     0.00000     0.00032     0.00000     0.00113     0.25123
   -10.07640     0.03438     0.00930     0.00001     0.00930     0.00053     0.00000     0.00005     0.00000     0.00053     0.05412
    -9.93240     0.00003     0.00003     0.00000     0.00003     0.00000     0.00000     0.00000     0.00000     0.00000     0.00010
    -9.78840     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.64440     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.50040     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.35740     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.21340     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.06940     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.92540     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.78140     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.63740     0.00049     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00049
    -8.49340     0.31720     0.00016     0.00000     0.00016     0.00001     0.00000     0.00003     0.00000     0.00001     0.31757
    -8.34940     1.42200     0.00231     0.00000     0.00231     0.00008     0.00000     0.00011     0.00000     0.00008     1.42689
    -8.20640     1.39200     0.00397     0.00001     0.00397     0.00015     0.00000     0.00006     0.00000     0.00015     1.40030
    -8.06240     0.83320     0.00327     0.00001     0.00327     0.00015     0.00000     0.00001     0.00000     0.00015     0.84006
    -7.91840     0.61630     0.00290     0.00001     0.00290     0.00014     0.00000     0.00000     0.00000     0.00014     0.62238
    -7.77440     0.44220     0.00224     0.00000     0.00224     0.00011     0.00000     0.00000     0.00000     0.00011     0.44691
    -7.63040     0.42140     0.00219     0.00000     0.00219     0.00011     0.00000     0.00001     0.00000     0.00011     0.42602
    -7.48640     0.41980     0.00211     0.00000     0.00211     0.00011     0.00000     0.00002     0.00000     0.00011     0.42427
    -7.34240     0.32290     0.00143     0.00000     0.00143     0.00008     0.00000     0.00003     0.00000     0.00008     0.32595
    -7.19840     0.26530     0.00098     0.00000     0.00098     0.00005     0.00000     0.00004     0.00000     0.00005     0.26740
    -7.05440     0.27250     0.00070     0.00000     0.00070     0.00004     0.00000     0.00006     0.00000     0.00004     0.27403
    -6.91140     0.22670     0.00025     0.00000     0.00025     0.00001     0.00000     0.00007     0.00000     0.00001     0.22729
    -6.76740     0.02155     0.00001     0.00000     0.00001     0.00000     0.00000     0.00001     0.00000     0.00000     0.02157
    -6.62340     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -6.47940     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -6.33540     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -6.19140     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -6.04740     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -5.90340     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
