  #K-Path    Energy        Bi        Sb
# NKPTS & NBANDS: 120  33
# Band-Index:    1
    0.000  -24.2006     0.985     0.000
    0.031  -24.2006     0.985     0.000
    0.061  -24.2006     0.985     0.000
    0.092  -24.2006     0.985     0.000
    0.122  -24.2005     0.985     0.000
    0.153  -24.2005     0.985     0.000
    0.183  -24.2005     0.985     0.000
    0.214  -24.2005     0.985     0.000
    0.244  -24.2005     0.985     0.000
    0.275  -24.2005     0.985     0.000
    0.305  -24.2005     0.985     0.000
    0.336  -24.2005     0.985     0.000
    0.366  -24.2005     0.985     0.000
    0.397  -24.2005     0.985     0.000
    0.427  -24.2005     0.985     0.000
    0.458  -24.2005     0.985     0.000
    0.489  -24.2005     0.985     0.000
    0.519  -24.2005     0.985     0.000
    0.550  -24.2006     0.985     0.000
    0.580  -24.2006     0.985     0.000
    0.611  -24.2006     0.985     0.000
    0.641  -24.2007     0.985     0.000
    0.672  -24.2007     0.985     0.000
    0.702  -24.2007     0.985     0.000
    0.733  -24.2008     0.985     0.000
    0.763  -24.2008     0.985     0.000
    0.794  -24.2008     0.985     0.000
    0.824  -24.2008     0.985     0.000
    0.855  -24.2009     0.985     0.000
    0.885  -24.2009     0.985     0.000
    0.885  -24.2009     0.985     0.000
    0.912  -24.2009     0.985     0.000
    0.938  -24.2008     0.985     0.000
    0.965  -24.2008     0.985     0.000
    0.991  -24.2008     0.985     0.000
    1.018  -24.2008     0.985     0.000
    1.044  -24.2007     0.985     0.000
    1.071  -24.2007     0.985     0.000
    1.097  -24.2007     0.985     0.000
    1.123  -24.2006     0.985     0.000
    1.150  -24.2006     0.985     0.000
    1.176  -24.2005     0.985     0.000
    1.203  -24.2004     0.985     0.000
    1.229  -24.2004     0.985     0.000
    1.256  -24.2003     0.985     0.000
    1.282  -24.2003     0.985     0.000
    1.308  -24.2002     0.985     0.000
    1.335  -24.2002     0.985     0.000
    1.361  -24.2001     0.985     0.000
    1.388  -24.2000     0.985     0.000
    1.414  -24.2000     0.985     0.000
    1.441  -24.1999     0.985     0.000
    1.467  -24.1999     0.985     0.000
    1.494  -24.1999     0.985     0.000
    1.520  -24.1998     0.985     0.000
    1.546  -24.1998     0.985     0.000
    1.573  -24.1998     0.985     0.000
    1.599  -24.1998     0.985     0.000
    1.626  -24.1998     0.985     0.000
    1.652  -24.1997     0.985     0.000
    1.652  -24.1997     0.985     0.000
    1.667  -24.1998     0.985     0.000
    1.683  -24.1999     0.985     0.000
    1.698  -24.1999     0.985     0.000
    1.713  -24.2000     0.985     0.000
    1.729  -24.2000     0.985     0.000
    1.744  -24.2001     0.985     0.000
    1.759  -24.2001     0.985     0.000
    1.774  -24.2001     0.985     0.000
    1.790  -24.2002     0.985     0.000
    1.805  -24.2002     0.985     0.000
    1.820  -24.2003     0.985     0.000
    1.835  -24.2003     0.985     0.000
    1.851  -24.2003     0.985     0.000
    1.866  -24.2004     0.985     0.000
    1.881  -24.2004     0.985     0.000
    1.896  -24.2004     0.985     0.000
    1.912  -24.2004     0.985     0.000
    1.927  -24.2005     0.985     0.000
    1.942  -24.2005     0.985     0.000
    1.958  -24.2005     0.985     0.000
    1.973  -24.2005     0.985     0.000
    1.988  -24.2005     0.985     0.000
    2.003  -24.2005     0.985     0.000
    2.019  -24.2006     0.985     0.000
    2.034  -24.2006     0.985     0.000
    2.049  -24.2006     0.985     0.000
    2.064  -24.2006     0.985     0.000
    2.080  -24.2006     0.985     0.000
    2.095  -24.2006     0.985     0.000
    2.095  -24.2006     0.985     0.000
    2.125  -24.2006     0.985     0.000
    2.156  -24.2006     0.985     0.000
    2.187  -24.2006     0.985     0.000
    2.217  -24.2005     0.985     0.000
    2.248  -24.2005     0.985     0.000
    2.278  -24.2005     0.985     0.000
    2.309  -24.2005     0.985     0.000
    2.339  -24.2005     0.985     0.000
    2.370  -24.2005     0.985     0.000
    2.400  -24.2005     0.985     0.000
    2.431  -24.2005     0.985     0.000
    2.461  -24.2005     0.985     0.000
    2.492  -24.2005     0.985     0.000
    2.522  -24.2005     0.985     0.000
    2.553  -24.2005     0.985     0.000
    2.583  -24.2005     0.985     0.000
    2.614  -24.2005     0.985     0.000
    2.644  -24.2006     0.985     0.000
    2.675  -24.2006     0.985     0.000
    2.706  -24.2006     0.985     0.000
    2.736  -24.2007     0.985     0.000
    2.767  -24.2007     0.985     0.000
    2.797  -24.2007     0.985     0.000
    2.828  -24.2008     0.985     0.000
    2.858  -24.2008     0.985     0.000
    2.889  -24.2008     0.985     0.000
    2.919  -24.2008     0.985     0.000
    2.950  -24.2009     0.985     0.000
    2.980  -24.2009     0.985     0.000
 
# Band-Index:    2
    2.980  -24.2009     0.985     0.000
    2.950  -24.2009     0.985     0.000
    2.919  -24.2008     0.985     0.000
    2.889  -24.2008     0.985     0.000
    2.858  -24.2008     0.985     0.000
    2.828  -24.2007     0.985     0.000
    2.797  -24.2007     0.985     0.000
    2.767  -24.2006     0.985     0.000
    2.736  -24.2005     0.985     0.000
    2.706  -24.2004     0.985     0.000
    2.675  -24.2003     0.985     0.000
    2.644  -24.2002     0.985     0.000
    2.614  -24.2001     0.985     0.000
    2.583  -24.2000     0.985     0.000
    2.553  -24.1999     0.985     0.000
    2.522  -24.1998     0.985     0.000
    2.492  -24.1996     0.985     0.000
    2.461  -24.1995     0.985     0.000
    2.431  -24.1994     0.985     0.000
    2.400  -24.1993     0.985     0.000
    2.370  -24.1992     0.985     0.000
    2.339  -24.1991     0.985     0.000
    2.309  -24.1990     0.985     0.000
    2.278  -24.1989     0.985     0.000
    2.248  -24.1988     0.985     0.000
    2.217  -24.1987     0.985     0.000
    2.187  -24.1987     0.985     0.000
    2.156  -24.1986     0.985     0.000
    2.125  -24.1986     0.985     0.000
    2.095  -24.1986     0.985     0.000
    2.095  -24.1986     0.985     0.000
    2.080  -24.1986     0.985     0.000
    2.064  -24.1986     0.985     0.000
    2.049  -24.1986     0.985     0.000
    2.034  -24.1986     0.985     0.000
    2.019  -24.1986     0.985     0.000
    2.003  -24.1987     0.985     0.000
    1.988  -24.1987     0.985     0.000
    1.973  -24.1987     0.985     0.000
    1.958  -24.1988     0.985     0.000
    1.942  -24.1988     0.985     0.000
    1.927  -24.1988     0.985     0.000
    1.912  -24.1989     0.985     0.000
    1.896  -24.1989     0.985     0.000
    1.881  -24.1989     0.985     0.000
    1.866  -24.1990     0.985     0.000
    1.851  -24.1990     0.985     0.000
    1.835  -24.1991     0.985     0.000
    1.820  -24.1991     0.985     0.000
    1.805  -24.1992     0.985     0.000
    1.790  -24.1992     0.985     0.000
    1.774  -24.1993     0.985     0.000
    1.759  -24.1994     0.985     0.000
    1.744  -24.1994     0.985     0.000
    1.729  -24.1995     0.985     0.000
    1.713  -24.1995     0.985     0.000
    1.698  -24.1996     0.985     0.000
    1.683  -24.1996     0.985     0.000
    1.667  -24.1997     0.985     0.000
    1.652  -24.1997     0.985     0.000
    1.652  -24.1997     0.985     0.000
    1.626  -24.1998     0.985     0.000
    1.599  -24.1998     0.985     0.000
    1.573  -24.1998     0.985     0.000
    1.546  -24.1998     0.985     0.000
    1.520  -24.1998     0.985     0.000
    1.494  -24.1999     0.985     0.000
    1.467  -24.1999     0.985     0.000
    1.441  -24.1999     0.985     0.000
    1.414  -24.2000     0.985     0.000
    1.388  -24.2000     0.985     0.000
    1.361  -24.2001     0.985     0.000
    1.335  -24.2001     0.985     0.000
    1.308  -24.2002     0.985     0.000
    1.282  -24.2003     0.985     0.000
    1.256  -24.2003     0.985     0.000
    1.229  -24.2004     0.985     0.000
    1.203  -24.2004     0.985     0.000
    1.176  -24.2005     0.985     0.000
    1.150  -24.2006     0.985     0.000
    1.123  -24.2006     0.985     0.000
    1.097  -24.2007     0.985     0.000
    1.071  -24.2007     0.985     0.000
    1.044  -24.2007     0.985     0.000
    1.018  -24.2008     0.985     0.000
    0.991  -24.2008     0.985     0.000
    0.965  -24.2008     0.985     0.000
    0.938  -24.2008     0.985     0.000
    0.912  -24.2009     0.985     0.000
    0.885  -24.2009     0.985     0.000
    0.885  -24.2009     0.985     0.000
    0.855  -24.2009     0.985     0.000
    0.824  -24.2008     0.985     0.000
    0.794  -24.2008     0.985     0.000
    0.763  -24.2008     0.985     0.000
    0.733  -24.2007     0.985     0.000
    0.702  -24.2007     0.985     0.000
    0.672  -24.2006     0.985     0.000
    0.641  -24.2005     0.985     0.000
    0.611  -24.2004     0.985     0.000
    0.580  -24.2003     0.985     0.000
    0.550  -24.2002     0.985     0.000
    0.519  -24.2001     0.985     0.000
    0.489  -24.2000     0.985     0.000
    0.458  -24.1999     0.985     0.000
    0.427  -24.1998     0.985     0.000
    0.397  -24.1996     0.985     0.000
    0.366  -24.1995     0.985     0.000
    0.336  -24.1994     0.985     0.000
    0.305  -24.1993     0.985     0.000
    0.275  -24.1992     0.985     0.000
    0.244  -24.1991     0.985     0.000
    0.214  -24.1990     0.985     0.000
    0.183  -24.1989     0.985     0.000
    0.153  -24.1988     0.985     0.000
    0.122  -24.1987     0.985     0.000
    0.092  -24.1987     0.985     0.000
    0.061  -24.1986     0.985     0.000
    0.031  -24.1986     0.985     0.000
    0.000  -24.1986     0.985     0.000
 
# Band-Index:    3
    0.000  -24.1762     0.985     0.000
    0.031  -24.1762     0.985     0.000
    0.061  -24.1762     0.985     0.000
    0.092  -24.1762     0.985     0.000
    0.122  -24.1762     0.985     0.000
    0.153  -24.1761     0.985     0.000
    0.183  -24.1761     0.985     0.000
    0.214  -24.1761     0.985     0.000
    0.244  -24.1761     0.985     0.000
    0.275  -24.1761     0.985     0.000
    0.305  -24.1761     0.985     0.000
    0.336  -24.1761     0.985     0.000
    0.366  -24.1761     0.985     0.000
    0.397  -24.1761     0.985     0.000
    0.427  -24.1761     0.985     0.000
    0.458  -24.1761     0.985     0.000
    0.489  -24.1761     0.985     0.000
    0.519  -24.1761     0.985     0.000
    0.550  -24.1761     0.985     0.000
    0.580  -24.1761     0.985     0.000
    0.611  -24.1761     0.985     0.000
    0.641  -24.1761     0.985     0.000
    0.672  -24.1761     0.985     0.000
    0.702  -24.1760     0.985     0.000
    0.733  -24.1760     0.985     0.000
    0.763  -24.1760     0.985     0.000
    0.794  -24.1760     0.985     0.000
    0.824  -24.1759     0.985     0.000
    0.855  -24.1759     0.985     0.000
    0.885  -24.1759     0.985     0.000
    0.885  -24.1759     0.985     0.000
    0.912  -24.1759     0.985     0.000
    0.938  -24.1759     0.985     0.000
    0.965  -24.1760     0.985     0.000
    0.991  -24.1760     0.985     0.000
    1.018  -24.1760     0.985     0.000
    1.044  -24.1760     0.985     0.000
    1.071  -24.1761     0.985     0.000
    1.097  -24.1761     0.985     0.000
    1.123  -24.1761     0.985     0.000
    1.150  -24.1761     0.985     0.000
    1.176  -24.1761     0.985     0.000
    1.203  -24.1761     0.985     0.000
    1.229  -24.1761     0.985     0.000
    1.256  -24.1761     0.985     0.000
    1.282  -24.1761     0.985     0.000
    1.308  -24.1761     0.985     0.000
    1.335  -24.1761     0.985     0.000
    1.361  -24.1761     0.985     0.000
    1.388  -24.1761     0.985     0.000
    1.414  -24.1761     0.985     0.000
    1.441  -24.1760     0.985     0.000
    1.467  -24.1760     0.985     0.000
    1.494  -24.1760     0.985     0.000
    1.520  -24.1760     0.985     0.000
    1.546  -24.1759     0.985     0.000
    1.573  -24.1759     0.985     0.000
    1.599  -24.1759     0.985     0.000
    1.626  -24.1759     0.985     0.000
    1.652  -24.1758     0.985     0.000
    1.652  -24.1758     0.985     0.000
    1.667  -24.1759     0.985     0.000
    1.683  -24.1759     0.985     0.000
    1.698  -24.1759     0.985     0.000
    1.713  -24.1759     0.985     0.000
    1.729  -24.1759     0.985     0.000
    1.744  -24.1759     0.985     0.000
    1.759  -24.1760     0.985     0.000
    1.774  -24.1760     0.985     0.000
    1.790  -24.1760     0.985     0.000
    1.805  -24.1760     0.985     0.000
    1.820  -24.1760     0.985     0.000
    1.835  -24.1760     0.985     0.000
    1.851  -24.1761     0.985     0.000
    1.866  -24.1761     0.985     0.000
    1.881  -24.1761     0.985     0.000
    1.896  -24.1761     0.985     0.000
    1.912  -24.1761     0.985     0.000
    1.927  -24.1761     0.985     0.000
    1.942  -24.1761     0.985     0.000
    1.958  -24.1761     0.985     0.000
    1.973  -24.1761     0.985     0.000
    1.988  -24.1762     0.985     0.000
    2.003  -24.1762     0.985     0.000
    2.019  -24.1762     0.985     0.000
    2.034  -24.1762     0.985     0.000
    2.049  -24.1762     0.985     0.000
    2.064  -24.1762     0.985     0.000
    2.080  -24.1762     0.985     0.000
    2.095  -24.1762     0.985     0.000
    2.095  -24.1762     0.985     0.000
    2.125  -24.1762     0.985     0.000
    2.156  -24.1762     0.985     0.000
    2.187  -24.1762     0.985     0.000
    2.217  -24.1762     0.985     0.000
    2.248  -24.1761     0.985     0.000
    2.278  -24.1761     0.985     0.000
    2.309  -24.1761     0.985     0.000
    2.339  -24.1761     0.985     0.000
    2.370  -24.1761     0.985     0.000
    2.400  -24.1761     0.985     0.000
    2.431  -24.1761     0.985     0.000
    2.461  -24.1761     0.985     0.000
    2.492  -24.1761     0.985     0.000
    2.522  -24.1761     0.985     0.000
    2.553  -24.1761     0.985     0.000
    2.583  -24.1761     0.985     0.000
    2.614  -24.1761     0.985     0.000
    2.644  -24.1761     0.985     0.000
    2.675  -24.1761     0.985     0.000
    2.706  -24.1761     0.985     0.000
    2.736  -24.1761     0.985     0.000
    2.767  -24.1761     0.985     0.000
    2.797  -24.1760     0.985     0.000
    2.828  -24.1760     0.985     0.000
    2.858  -24.1760     0.985     0.000
    2.889  -24.1760     0.985     0.000
    2.919  -24.1759     0.985     0.000
    2.950  -24.1759     0.985     0.000
    2.980  -24.1759     0.985     0.000
 
# Band-Index:    4
    2.980  -24.1759     0.985     0.000
    2.950  -24.1758     0.985     0.000
    2.919  -24.1758     0.985     0.000
    2.889  -24.1758     0.985     0.000
    2.858  -24.1757     0.985     0.000
    2.828  -24.1757     0.985     0.000
    2.797  -24.1757     0.985     0.000
    2.767  -24.1757     0.985     0.000
    2.736  -24.1756     0.985     0.000
    2.706  -24.1756     0.985     0.000
    2.675  -24.1756     0.985     0.000
    2.644  -24.1756     0.985     0.000
    2.614  -24.1756     0.985     0.000
    2.583  -24.1756     0.985     0.000
    2.553  -24.1756     0.985     0.000
    2.522  -24.1756     0.985     0.000
    2.492  -24.1756     0.985     0.000
    2.461  -24.1756     0.985     0.000
