  #K-Path    Energy        Bi        As
# NKPTS & NBANDS:  80  77
# Band-Index:    1
    0.000  -35.6032     0.000     0.998
    0.021  -35.6032     0.000     0.998
    0.042  -35.6032     0.000     0.998
    0.063  -35.6032     0.000     0.998
    0.083  -35.6032     0.000     0.998
    0.104  -35.6032     0.000     0.998
    0.125  -35.6032     0.000     0.998
    0.146  -35.6032     0.000     0.998
    0.167  -35.6032     0.000     0.998
    0.188  -35.6032     0.000     0.998
    0.208  -35.6032     0.000     0.998
    0.229  -35.6032     0.000     0.998
    0.250  -35.6032     0.000     0.998
    0.271  -35.6032     0.000     0.998
    0.292  -35.6032     0.000     0.998
    0.313  -35.6032     0.000     0.998
    0.334  -35.6032     0.000     0.998
    0.354  -35.6032     0.000     0.998
    0.375  -35.6032     0.000     0.998
    0.396  -35.6032     0.000     0.998
    0.396  -35.6032     0.000     0.998
    0.442  -35.6032     0.000     0.998
    0.488  -35.6032     0.000     0.998
    0.535  -35.6032     0.000     0.998
    0.581  -35.6032     0.000     0.998
    0.627  -35.6032     0.000     0.998
    0.673  -35.6032     0.000     0.998
    0.719  -35.6032     0.000     0.998
    0.765  -35.6031     0.000     0.998
    0.811  -35.6031     0.000     0.998
    0.858  -35.6031     0.000     0.998
    0.904  -35.6031     0.000     0.998
    0.950  -35.6031     0.000     0.998
    0.996  -35.6030     0.000     0.998
    1.042  -35.6030     0.000     0.998
    1.088  -35.6030     0.000     0.998
    1.135  -35.6030     0.000     0.998
    1.181  -35.6030     0.000     0.998
    1.227  -35.6030     0.000     0.999
    1.273  -35.6030     0.000     0.999
    1.273  -35.6030     0.000     0.999
    1.319  -35.6030     0.000     0.998
    1.365  -35.6030     0.000     0.998
    1.411  -35.6030     0.000     0.998
    1.458  -35.6030     0.000     0.998
    1.504  -35.6030     0.000     0.998
    1.550  -35.6030     0.000     0.998
    1.596  -35.6031     0.000     0.998
    1.642  -35.6031     0.000     0.998
    1.688  -35.6031     0.000     0.998
    1.734  -35.6031     0.000     0.998
    1.781  -35.6031     0.000     0.998
    1.827  -35.6032     0.000     0.998
    1.873  -35.6032     0.000     0.998
    1.919  -35.6032     0.000     0.998
    1.965  -35.6032     0.000     0.998
    2.011  -35.6032     0.000     0.998
    2.058  -35.6032     0.000     0.998
    2.104  -35.6032     0.000     0.998
    2.150  -35.6032     0.000     0.998
    2.150  -35.6032     0.000     0.998
    2.191  -35.6032     0.000     0.998
    2.232  -35.6032     0.000     0.998
    2.273  -35.6032     0.000     0.998
    2.315  -35.6032     0.000     0.998
    2.356  -35.6032     0.000     0.998
    2.397  -35.6032     0.000     0.998
    2.438  -35.6032     0.000     0.998
    2.479  -35.6031     0.000     0.998
    2.520  -35.6031     0.000     0.998
    2.562  -35.6031     0.000     0.998
    2.603  -35.6031     0.000     0.998
    2.644  -35.6031     0.000     0.998
    2.685  -35.6030     0.000     0.998
    2.726  -35.6030     0.000     0.998
    2.767  -35.6030     0.000     0.998
    2.809  -35.6030     0.000     0.998
    2.850  -35.6030     0.000     0.998
    2.891  -35.6029     0.000     0.998
    2.932  -35.6029     0.000     0.998
 
# Band-Index:    2
    2.932  -35.6029     0.000     0.998
    2.891  -35.6029     0.000     0.998
    2.850  -35.6029     0.000     0.998
    2.809  -35.6030     0.000     0.998
    2.767  -35.6030     0.000     0.998
    2.726  -35.6030     0.000     0.998
    2.685  -35.6030     0.000     0.998
    2.644  -35.6030     0.000     0.998
    2.603  -35.6030     0.000     0.998
    2.562  -35.6031     0.000     0.998
    2.520  -35.6031     0.000     0.998
    2.479  -35.6031     0.000     0.998
    2.438  -35.6031     0.000     0.998
    2.397  -35.6031     0.000     0.998
    2.356  -35.6032     0.000     0.998
    2.315  -35.6032     0.000     0.998
    2.273  -35.6032     0.000     0.998
    2.232  -35.6032     0.000     0.998
    2.191  -35.6032     0.000     0.998
    2.150  -35.6032     0.000     0.998
    2.150  -35.6032     0.000     0.998
    2.104  -35.6032     0.000     0.998
    2.058  -35.6032     0.000     0.998
    2.011  -35.6032     0.000     0.998
    1.965  -35.6032     0.000     0.998
    1.919  -35.6032     0.000     0.998
    1.873  -35.6031     0.000     0.998
    1.827  -35.6031     0.000     0.998
    1.781  -35.6031     0.000     0.998
    1.734  -35.6031     0.000     0.998
    1.688  -35.6031     0.000     0.998
    1.642  -35.6030     0.000     0.998
    1.596  -35.6030     0.000     0.998
    1.550  -35.6030     0.000     0.998
    1.504  -35.6030     0.000     0.998
    1.458  -35.6030     0.000     0.998
    1.411  -35.6030     0.000     0.998
    1.365  -35.6030     0.000     0.998
    1.319  -35.6030     0.000     0.998
    1.273  -35.6030     0.000     0.999
    1.273  -35.6030     0.000     0.999
    1.227  -35.6030     0.000     0.999
    1.181  -35.6030     0.000     0.998
    1.135  -35.6030     0.000     0.998
    1.088  -35.6030     0.000     0.998
    1.042  -35.6030     0.000     0.998
    0.996  -35.6030     0.000     0.998
    0.950  -35.6030     0.000     0.998
    0.904  -35.6030     0.000     0.998
    0.858  -35.6031     0.000     0.998
    0.811  -35.6031     0.000     0.998
    0.765  -35.6031     0.000     0.998
    0.719  -35.6031     0.000     0.998
    0.673  -35.6031     0.000     0.998
    0.627  -35.6032     0.000     0.998
    0.581  -35.6032     0.000     0.998
    0.535  -35.6032     0.000     0.998
    0.488  -35.6032     0.000     0.998
    0.442  -35.6032     0.000     0.998
    0.396  -35.6032     0.000     0.998
    0.396  -35.6032     0.000     0.998
    0.375  -35.6032     0.000     0.998
    0.354  -35.6032     0.000     0.998
    0.334  -35.6032     0.000     0.998
    0.313  -35.6032     0.000     0.998
    0.292  -35.6032     0.000     0.998
