  #K-Path    Energy        Bi        As
# NKPTS & NBANDS:  80  77
# Band-Index:    1
    0.418  -35.6896     0.000     0.998
    0.418  -35.6896     0.000     0.998
    0.465  -35.6896     0.000     0.998
    0.511  -35.6896     0.000     0.998
    0.558  -35.6896     0.000     0.998
    0.605  -35.6896     0.000     0.998
    0.652  -35.6896     0.000     0.998
    0.698  -35.6896     0.000     0.998
    0.745  -35.6896     0.000     0.998
    0.792  -35.6896     0.000     0.998
    0.838  -35.6896     0.000     0.998
    0.885  -35.6896     0.000     0.998
    0.932  -35.6896     0.000     0.998
    0.978  -35.6896     0.000     0.998
    1.025  -35.6895     0.000     0.998
    1.072  -35.6895     0.000     0.998
    1.118  -35.6895     0.000     0.998
    1.165  -35.6895     0.000     0.998
    1.212  -35.6895     0.000     0.998
    1.258  -35.6895     0.000     0.999
    1.305  -35.6895     0.000     0.999
    1.305  -35.6895     0.000     0.998
    1.352  -35.6895     0.000     0.998
    1.399  -35.6895     0.000     0.998
    1.445  -35.6895     0.000     0.999
    1.492  -35.6895     0.000     0.998
    1.539  -35.6895     0.000     0.998
    1.585  -35.6895     0.000     0.998
    1.632  -35.6896     0.000     0.998
    1.679  -35.6896     0.000     0.998
    1.725  -35.6896     0.000     0.998
    1.772  -35.6896     0.000     0.998
    1.819  -35.6896     0.000     0.998
    1.865  -35.6896     0.000     0.998
    1.912  -35.6896     0.000     0.998
    1.959  -35.6896     0.000     0.998
    2.005  -35.6896     0.000     0.998
    2.052  -35.6896     0.000     0.998
    2.099  -35.6896     0.000     0.998
    2.145  -35.6896     0.000     0.998
    2.192  -35.6896     0.000     0.998
    2.192  -35.6896     0.000     0.998
    2.233  -35.6896     0.000     0.998
    2.275  -35.6896     0.000     0.998
    2.316  -35.6896     0.000     0.998
    2.357  -35.6896     0.000     0.998
    2.398  -35.6896     0.000     0.998
    2.439  -35.6896     0.000     0.998
    2.480  -35.6896     0.000     0.998
    2.522  -35.6896     0.000     0.998
    2.563  -35.6896     0.000     0.998
    2.604  -35.6896     0.000     0.998
    2.645  -35.6896     0.000     0.998
    2.686  -35.6896     0.000     0.998
    2.727  -35.6895     0.000     0.998
    2.769  -35.6895     0.000     0.998
    2.810  -35.6895     0.000     0.998
    2.851  -35.6895     0.000     0.998
    2.892  -35.6895     0.000     0.998
    2.933  -35.6895     0.000     0.998
    2.974  -35.6895     0.000     0.998
 
# Band-Index:    6
    2.974  -35.6895     0.000     0.998
    2.933  -35.6895     0.000     0.998
    2.892  -35.6895     0.000     0.998
    2.851  -35.6895     0.000     0.998
    2.810  -35.6895     0.000     0.998
    2.769  -35.6895     0.000     0.998
    2.727  -35.6895     0.000     0.998
    2.686  -35.6895     0.000     0.998
    2.645  -35.6895     0.000     0.998
    2.604  -35.6896     0.000     0.998
    2.563  -35.6896     0.000     0.998
    2.522  -35.6896     0.000     0.998
    2.480  -35.6896     0.000     0.998
    2.439  -35.6896     0.000     0.998
    2.398  -35.6896     0.000     0.998
    2.357  -35.6896     0.000     0.998
    2.316  -35.6896     0.000     0.998
    2.275  -35.6896     0.000     0.998
    2.233  -35.6896     0.000     0.998
    2.192  -35.6896     0.000     0.998
    2.192  -35.6896     0.000     0.998
    2.145  -35.6896     0.000     0.998
    2.099  -35.6896     0.000     0.998
    2.052  -35.6896     0.000     0.998
    2.005  -35.6896     0.000     0.998
    1.959  -35.6896     0.000     0.998
    1.912  -35.6896     0.000     0.998
    1.865  -35.6896     0.000     0.998
    1.819  -35.6896     0.000     0.998
    1.772  -35.6896     0.000     0.998
    1.725  -35.6896     0.000     0.998
    1.679  -35.6896     0.000     0.998
    1.632  -35.6895     0.000     0.998
    1.585  -35.6895     0.000     0.999
    1.539  -35.6895     0.000     0.998
    1.492  -35.6895     0.000     0.998
    1.445  -35.6895     0.000     0.999
    1.399  -35.6895     0.000     0.998
    1.352  -35.6895     0.000     0.998
    1.305  -35.6895     0.000     0.998
    1.305  -35.6895     0.000     0.998
    1.258  -35.6895     0.000     0.999
    1.212  -35.6895     0.000     0.998
    1.165  -35.6895     0.000     0.998
    1.118  -35.6895     0.000     0.998
    1.072  -35.6895     0.000     0.998
    1.025  -35.6895     0.000     0.998
    0.978  -35.6895     0.000     0.998
    0.932  -35.6896     0.000     0.998
    0.885  -35.6896     0.000     0.998
    0.838  -35.6896     0.000     0.998
