#K-Path     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  0.0000  -35.6463  -35.6463  -35.6463  -35.6463  -35.6152  -35.6152  -35.6152  -35.6152  -34.9251  -34.9251  -34.9250  -34.9250  -34.8997  -34.8997  -34.8997  -34.8997  -34.8846  -34.8846  -34.8846  -34.8846  -24.1764  -24.1764  -24.1756  -24.1756  -24.1410  -24.1410  -24.1391  -24.1391  -21.2232  -21.2232  -21.2222  -21.2222  -21.1948  -21.1948  -21.1946  -21.1946  -21.1713  -21.1713  -21.1699  -21.1699  -11.6378  -11.6378  -11.6209  -11.6209   -8.1618   -8.1618   -8.1380   -8.1380   -2.8894   -2.8894   -2.3704   -2.3704   -1.9536   -1.9536   -1.7226   -1.7226   -0.6543   -0.6543   -0.3967   -0.3967    0.5906    0.5906    0.8214    0.8214    2.5059    2.5059    3.0122    3.0122    3.2624    3.2624    3.3690    3.3690    4.7507    4.7508    4.7665    4.7665    5.1963
  0.0238  -35.6463  -35.6463  -35.6463  -35.6463  -35.6152  -35.6152  -35.6152  -35.6152  -34.9251  -34.9250  -34.9250  -34.9250  -34.8997  -34.8997  -34.8997  -34.8997  -34.8846  -34.8846  -34.8846  -34.8846  -24.1766  -24.1761  -24.1758  -24.1753  -24.1410  -24.1410  -24.1391  -24.1390  -21.2236  -21.2228  -21.2227  -21.2218  -21.1950  -21.1948  -21.1946  -21.1944  -21.1715  -21.1710  -21.1701  -21.1697  -11.6984  -11.6822  -11.5745  -11.5570   -8.2156   -8.1927   -8.1117   -8.0873   -2.9513   -2.8221   -2.4441   -2.2933   -2.0095   -1.8947   -1.7839   -1.6591   -0.7033   -0.6069   -0.4445   -0.3544    0.5801    0.6081    0.8180    0.8268    2.4674    2.5389    2.9829    3.0345    3.2238    3.2930    3.3417    3.3897    4.6920    4.7036    4.8093    4.8308    5.1373
  0.0475  -35.6463  -35.6463  -35.6463  -35.6463  -35.6152  -35.6152  -35.6152  -35.6152  -34.9251  -34.9251  -34.9250  -34.9250  -34.8997  -34.8997  -34.8997  -34.8997  -34.8846  -34.8846  -34.8846  -34.8845  -24.1769  -24.1761  -24.1759  -24.1751  -24.1410  -24.1409  -24.1391  -24.1390  -21.2240  -21.2232  -21.2225  -21.2214  -21.1952  -21.1950  -21.1943  -21.1942  -21.1718  -21.1707  -21.1704  -21.1694  -11.7562  -11.7406  -11.5085  -11.4905   -8.2731   -8.2515   -8.0654   -8.0406   -3.0077   -2.7495   -2.5142   -2.2133   -2.0623   -1.8430   -1.8327   -1.5938   -0.7531   -0.5616   -0.4965   -0.3184    0.5759    0.6325    0.8167    0.8338    2.4243    2.5662    2.9452    3.0507    3.1799    3.3085    3.3137    3.4034    4.6330    4.6423    4.8678    4.8962    5.0806
  0.0713  -35.6464  -35.6463  -35.6463  -35.6463  -35.6153  -35.6152  -35.6152  -35.6152  -34.9251  -34.9251  -34.9250  -34.9250  -34.8997  -34.8997  -34.8997  -34.8997  -34.8846  -34.8846  -34.8846  -34.8845  -24.1771  -24.1763  -24.1756  -24.1748  -24.1410  -24.1409  -24.1391  -24.1391  -21.2244  -21.2237  -21.2222  -21.2210  -21.1954  -21.1951  -21.1941  -21.1940  -21.1721  -21.1706  -21.1704  -21.1692  -11.8110  -11.7962  -11.4401  -11.4216   -8.3342   -8.3141   -8.0228   -7.9980   -3.0583   -2.6721   -2.5804   -2.1310   -2.1120   -1.8998   -1.7675   -1.5268   -0.8030   -0.5516   -0.5192   -0.2892    0.5773    0.6631    0.8174    0.8413    2.3778    2.5877    2.8975    3.0614    3.1345    3.2706    3.3243    3.4102    4.5742    4.5830    4.9265    4.9622    5.0266
  0.0951  -35.6464  -35.6464  -35.6463  -35.6463  -35.6153  -35.6152  -35.6152  -35.6152  -34.9251  -34.9251  -34.9250  -34.9249  -34.8997  -34.8997  -34.8997  -34.8997  -34.8846  -34.8846  -34.8846  -34.8845  -24.1773  -24.1766  -24.1754  -24.1746  -24.1410  -24.1409  -24.1391  -24.1391  -21.2249  -21.2242  -21.2218  -21.2207  -21.1955  -21.1953  -21.1938  -21.1938  -21.1723  -21.1708  -21.1701  -21.1689  -11.8628  -11.8488  -11.3693  -11.3504   -8.3988   -8.3803   -7.9839   -7.9593   -3.1032   -2.6428   -2.5902   -2.1584   -2.0475   -1.9540   -1.6986   -1.4583   -0.8522   -0.6084   -0.4800   -0.2667    0.5832    0.6985    0.8198    0.8477    2.3299    2.6038    2.8392    3.0668    3.0912    3.2295    3.3256    3.4106    4.5161    4.5258    4.9734    4.9856    4.9883
  0.1188  -35.6464  -35.6464  -35.6462  -35.6462  -35.6153  -35.6152  -35.6152  -35.6152  -34.9252  -34.9251  -34.9250  -34.9249  -34.8997  -34.8997  -34.8997  -34.8997  -34.8846  -34.8846  -34.8845  -34.8845  -24.1775  -24.1768  -24.1752  -24.1744  -24.1410  -24.1408  -24.1392  -24.1391  -21.2253  -21.2247  -21.2216  -21.2204  -21.1957  -21.1954  -21.1936  -21.1935  -21.1725  -21.1711  -21.1697  -21.1687  -11.9115  -11.8983  -11.2965  -11.2773   -8.4667   -8.4500   -7.9484   -7.9243   -3.1424   -2.7013   -2.5042   -2.2014   -2.0057   -1.9640   -1.6255   -1.3885   -0.9001   -0.6658   -0.4443   -0.2502    0.5927    0.7360    0.8234    0.8507    2.2830    2.6149    2.7713    3.0527    3.0667    3.1868    3.3191    3.4056    4.4593    4.4712    4.9229    4.9377    5.0450
  0.1426  -35.6464  -35.6464  -35.6462  -35.6462  -35.6153  -35.6152  -35.6152  -35.6152  -34.9252  -34.9252  -34.9249  -34.9249  -34.8997  -34.8997  -34.8997  -34.8997  -34.8847  -34.8846  -34.8845  -34.8845  -24.1777  -24.1770  -24.1749  -24.1742  -24.1410  -24.1408  -24.1392  -24.1391  -21.2257  -21.2251  -21.2213  -21.2201  -21.1958  -21.1955  -21.1933  -21.1933  -21.1727  -21.1713  -21.1694  -21.1685  -11.9571  -11.9447  -11.2217  -11.2023   -8.5375   -8.5229   -7.9164   -7.8930   -3.1761   -2.7560   -2.4149   -2.2409   -2.0545   -1.8820   -1.5475   -1.3176   -0.9460   -0.7228   -0.4120   -0.2390    0.6049    0.7725    0.8278    0.8474    2.2400    2.6219    2.6967    3.0200    3.0609    3.1441    3.3073    3.3963    4.4043    4.4193    4.8746    4.8892    5.1044
  0.1664  -35.6464  -35.6464  -35.6462  -35.6462  -35.6153  -35.6152  -35.6152  -35.6152  -34.9252  -34.9252  -34.9249  -34.9249  -34.8997  -34.8997  -34.8997  -34.8997  -34.8847  -34.8846  -34.8845  -34.8845  -24.1779  -24.1773  -24.1747  -24.1740  -24.1409  -24.1408  -24.1393  -24.1391  -21.2261  -21.2256  -21.2211  -21.2199  -21.1958  -21.1956  -21.1931  -21.1931  -21.1728  -21.1715  -21.1691  -21.1683  -11.9994  -11.9879  -11.1453  -11.1259   -8.6109   -8.5984   -7.8875   -7.8651   -3.2043   -2.8072   -2.3229   -2.2768   -2.1006   -1.8032   -1.4638   -1.2458   -0.9894   -0.7785   -0.3831   -0.2319    0.6191    0.8040    0.8324    0.8347    2.2034    2.6190    2.6254    2.9940    3.0489    3.1034    3.2927    3.3837    4.3516    4.3705    4.8286    4.8430    5.1633
  0.1901  -35.6464  -35.6464  -35.6462  -35.6462  -35.6153  -35.6153  -35.6152  -35.6152  -34.9252  -34.9252  -34.9249  -34.9249  -34.8997  -34.8997  -34.8997  -34.8997  -34.8847  -34.8846  -34.8845  -34.8845  -24.1781  -24.1775  -24.1745  -24.1738  -24.1409  -24.1407  -24.1393  -24.1392  -21.2265  -21.2261  -21.2209  -21.2197  -21.1959  -21.1957  -21.1929  -21.1929  -21.1730  -21.1717  -21.1689  -21.1681  -12.0385  -12.0279  -11.0677  -11.0483   -8.6865   -8.6762   -7.8618   -7.8406   -3.2272   -2.8550   -2.3090   -2.2289   -2.1438   -1.7293   -1.3739   -1.1733   -1.0299   -0.8325   -0.3571   -0.2279    0.6348    0.8097    0.8264    0.8368    2.1754    2.5420    2.6264    2.9757    3.0306    3.0669    3.2776    3.3690    4.3017    4.3248    4.7851    4.7992    5.2215
  0.2139  -35.6464  -35.6464  -35.6462  -35.6462  -35.6153  -35.6153  -35.6152  -35.6152  -34.9252  -34.9252  -34.9249  -34.9249  -34.8997  -34.8997  -34.8997  -34.8997  -34.8847  -34.8847  -34.8845  -34.8845  -24.1783  -24.1777  -24.1743  -24.1737  -24.1408  -24.1406  -24.1394  -24.1392  -21.2269  -21.2265  -21.2207  -21.2196  -21.1960  -21.1957  -21.1927  -21.1927  -21.1731  -21.1718  -21.1686  -21.1679  -12.0743  -12.0646  -10.9891  -10.9699   -8.7637   -8.7556   -7.8389   -7.8190   -3.2452   -2.8997   -2.3375   -2.1841   -2.1339   -1.6613   -1.2777   -1.1001   -1.0669   -0.8840   -0.3336   -0.2260    0.6513    0.7703    0.8355    0.8407    2.1566    2.4689    2.6258    2.9663    3.0063    3.0368    3.2638    3.3532    4.2549    4.2824    4.7444    4.7581    5.2783
