  #K-Path    Energy        In        Sb
# NKPTS & NBANDS:  80  33
# Band-Index:    1
    0.173  -14.8066     0.976     0.002
    0.216  -14.8059     0.977     0.002
    0.259  -14.8052     0.977     0.002
    0.303  -14.8044     0.977     0.002
    0.346  -14.8036     0.977     0.002
    0.389  -14.8028     0.978     0.001
    0.432  -14.8021     0.978     0.001
    0.476  -14.8015     0.978     0.001
    0.519  -14.8009     0.978     0.001
    0.562  -14.8005     0.978     0.001
    0.605  -14.8002     0.979     0.001
    0.649  -14.7999     0.979     0.001
    0.692  -14.7998     0.979     0.001
    0.735  -14.7997     0.979     0.001
    0.778  -14.7997     0.979     0.001
    0.822  -14.7996     0.979     0.001
    0.822  -14.7996     0.979     0.001
    0.859  -14.7997     0.979     0.001
    0.897  -14.7997     0.979     0.001
    0.934  -14.7997     0.979     0.001
    0.971  -14.7997     0.979     0.001
    1.009  -14.7997     0.979     0.001
    1.046  -14.7997     0.979     0.001
    1.084  -14.7998     0.979     0.001
    1.121  -14.7998     0.979     0.001
    1.159  -14.7998     0.979     0.001
    1.196  -14.7999     0.978     0.001
    1.234  -14.7999     0.978     0.001
    1.271  -14.7999     0.978     0.001
    1.309  -14.8000     0.978     0.001
    1.346  -14.8000     0.978     0.001
    1.383  -14.8001     0.978     0.001
    1.421  -14.8001     0.978     0.001
    1.458  -14.8001     0.978     0.001
    1.496  -14.8001     0.978     0.001
    1.533  -14.8001     0.978     0.001
    1.533  -14.8001     0.978     0.001
    1.555  -14.8008     0.978     0.001
    1.577  -14.8014     0.978     0.001
    1.598  -14.8021     0.978     0.002
    1.620  -14.8027     0.977     0.002
    1.641  -14.8033     0.977     0.002
    1.663  -14.8039     0.977     0.002
    1.685  -14.8045     0.977     0.002
    1.706  -14.8050     0.977     0.002
    1.728  -14.8055     0.977     0.002
    1.750  -14.8060     0.977     0.002
    1.771  -14.8064     0.976     0.002
    1.793  -14.8068     0.976     0.002
    1.814  -14.8071     0.976     0.002
    1.836  -14.8074     0.976     0.002
    1.858  -14.8076     0.976     0.002
    1.879  -14.8078     0.976     0.002
    1.901  -14.8080     0.976     0.002
    1.923  -14.8080     0.976     0.002
    1.944  -14.8081     0.976     0.002
    1.944  -14.8081     0.976     0.002
