  #K-Path    Energy        In        Sb
# NKPTS & NBANDS:  80  33
# Band-Index:    1
    0.000  -15.0626     0.979     0.001
    0.047  -15.0627     0.979     0.002
    0.093  -15.0629     0.979     0.002
    0.140  -15.0634     0.978     0.002
    0.187  -15.0640     0.978     0.002
    0.233  -15.0648     0.978     0.002
    0.280  -15.0656     0.978     0.002
    0.327  -15.0664     0.977     0.002
    0.373  -15.0672     0.977     0.002
    0.420  -15.0679     0.977     0.002
    0.467  -15.0685     0.977     0.002
    0.513  -15.0689     0.977     0.002
    0.560  -15.0692     0.977     0.002
    0.607  -15.0694     0.977     0.002
    0.653  -15.0693     0.977     0.002
    0.700  -15.0692     0.977     0.002
    0.747  -15.0688     0.977     0.002
    0.793  -15.0683     0.977     0.002
    0.840  -15.0677     0.978     0.002
    0.887  -15.0669     0.978     0.002
    0.887  -15.0669     0.978     0.002
    0.927  -15.0676     0.978     0.002
    0.968  -15.0681     0.977     0.002
    1.008  -15.0686     0.977     0.002
    1.048  -15.0690     0.977     0.002
    1.089  -15.0692     0.977     0.002
    1.129  -15.0693     0.977     0.002
    1.170  -15.0693     0.977     0.002
    1.210  -15.0692     0.977     0.002
    1.251  -15.0689     0.977     0.002
    1.291  -15.0685     0.977     0.002
    1.331  -15.0680     0.977     0.002
    1.372  -15.0674     0.977     0.002
    1.412  -15.0666     0.977     0.002
    1.453  -15.0658     0.978     0.002
    1.493  -15.0650     0.978     0.002
    1.533  -15.0642     0.978     0.002
    1.574  -15.0633     0.978     0.002
    1.614  -15.0625     0.979     0.002
    1.655  -15.0617     0.979     0.001
    1.655  -15.0617     0.979     0.001
    1.678  -15.0620     0.979     0.001
    1.701  -15.0622     0.979     0.001
    1.725  -15.0624     0.979     0.001
    1.748  -15.0626     0.979     0.002
    1.771  -15.0627     0.979     0.002
    1.795  -15.0628     0.978     0.002
    1.818  -15.0629     0.978     0.002
    1.841  -15.0630     0.978     0.002
    1.865  -15.0630     0.978     0.002
    1.888  -15.0630     0.978     0.002
    1.911  -15.0630     0.978     0.002
    1.935  -15.0630     0.978     0.002
    1.958  -15.0629     0.979     0.002
    1.981  -15.0628     0.979     0.002
    2.005  -15.0628     0.979     0.002
    2.028  -15.0627     0.979     0.002
    2.051  -15.0626     0.979     0.002
    2.075  -15.0626     0.979     0.001
    2.098  -15.0626     0.979     0.001
    2.098  -15.0626     0.979     0.001
    2.145  -15.0627     0.979     0.002
    2.191  -15.0629     0.979     0.002
