  #K-Path    Energy        In        Sb
# NKPTS & NBANDS:  80  33
# Band-Index:    1
    0.000  -14.9728     0.979     0.001
    0.046  -14.9729     0.979     0.001
    0.092  -14.9731     0.979     0.001
    0.139  -14.9735     0.979     0.001
    0.185  -14.9741     0.979     0.002
    0.231  -14.9748     0.978     0.002
    0.277  -14.9756     0.978     0.002
    0.324  -14.9763     0.978     0.002
    0.370  -14.9770     0.978     0.002
    0.416  -14.9777     0.978     0.002
    0.462  -14.9783     0.977     0.002
    0.508  -14.9787     0.977     0.002
    0.555  -14.9790     0.977     0.002
    0.601  -14.9792     0.977     0.002
    0.647  -14.9793     0.977     0.002
    0.693  -14.9791     0.977     0.002
    0.739  -14.9789     0.978     0.002
    0.786  -14.9785     0.978     0.002
    0.832  -14.9779     0.978     0.002
    0.878  -14.9773     0.978     0.002
    0.878  -14.9773     0.978     0.002
    0.918  -14.9778     0.978     0.002
    0.958  -14.9783     0.978     0.002
    0.998  -14.9787     0.978     0.002
    1.038  -14.9790     0.978     0.002
    1.078  -14.9792     0.977     0.002
    1.118  -14.9793     0.977     0.002
    1.158  -14.9792     0.977     0.002
    1.198  -14.9790     0.977     0.002
    1.238  -14.9787     0.977     0.002
    1.278  -14.9783     0.978     0.002
    1.318  -14.9778     0.978     0.002
    1.358  -14.9772     0.978     0.002
    1.398  -14.9765     0.978     0.002
    1.438  -14.9758     0.978     0.002
    1.478  -14.9751     0.978     0.002
    1.518  -14.9743     0.979     0.002
    1.558  -14.9735     0.979     0.001
    1.598  -14.9728     0.979     0.001
    1.639  -14.9721     0.979     0.001
    1.639  -14.9721     0.979     0.001
    1.662  -14.9723     0.979     0.001
    1.685  -14.9725     0.979     0.001
    1.708  -14.9727     0.979     0.001
    1.731  -14.9728     0.979     0.001
    1.754  -14.9730     0.979     0.001
    1.777  -14.9731     0.979     0.001
    1.800  -14.9731     0.979     0.001
    1.823  -14.9732     0.979     0.001
    1.846  -14.9732     0.979     0.001
    1.870  -14.9732     0.979     0.001
    1.893  -14.9732     0.979     0.001
    1.916  -14.9732     0.979     0.001
    1.939  -14.9731     0.979     0.001
    1.962  -14.9730     0.979     0.001
    1.985  -14.9730     0.979     0.001
    2.008  -14.9729     0.979     0.001
    2.031  -14.9729     0.979     0.001
    2.054  -14.9728     0.979     0.001
    2.078  -14.9728     0.979     0.001
    2.078  -14.9728     0.979     0.001
    2.124  -14.9729     0.979     0.001
    2.170  -14.9731     0.979     0.001
    2.216  -14.9735     0.979     0.001
    2.262  -14.9741     0.979     0.002
    2.309  -14.9748     0.978     0.002
    2.355  -14.9756     0.978     0.002
    2.401  -14.9763     0.978     0.002
    2.447  -14.9770     0.978     0.002
    2.493  -14.9777     0.978     0.002
    2.540  -14.9783     0.977     0.002
    2.586  -14.9787     0.977     0.002
    2.632  -14.9790     0.977     0.002
    2.678  -14.9792     0.977     0.002
    2.725  -14.9793     0.977     0.002
    2.771  -14.9791     0.977     0.002
    2.817  -14.9789     0.978     0.002
    2.863  -14.9785     0.978     0.002
    2.909  -14.9779     0.978     0.002
    2.956  -14.9773     0.978     0.002
 
# Band-Index:    2
    2.956  -14.9773     0.978     0.002
    2.909  -14.9765     0.978     0.002
    2.863  -14.9757     0.979     0.001
    2.817  -14.9749     0.979     0.001
    2.771  -14.9741     0.979     0.001
    2.725  -14.9732     0.979     0.001
    2.678  -14.9724     0.979     0.001
    2.632  -14.9717     0.980     0.001
    2.586  -14.9710     0.980     0.001
    2.540  -14.9704     0.980     0.001
    2.493  -14.9699     0.980     0.001
    2.447  -14.9695     0.980     0.001
    2.401  -14.9692     0.980     0.001
    2.355  -14.9690     0.980     0.001
    2.309  -14.9689     0.980     0.001
    2.262  -14.9688     0.980     0.001
    2.216  -14.9687     0.980     0.001
    2.170  -14.9687     0.980     0.001
    2.124  -14.9687     0.980     0.001
    2.078  -14.9687     0.980     0.001
    2.078  -14.9687     0.980     0.001
    2.054  -14.9687     0.980     0.001
    2.031  -14.9687     0.980     0.001
    2.008  -14.9687     0.980     0.001
    1.985  -14.9688     0.980     0.001
    1.962  -14.9689     0.980     0.001
    1.939  -14.9690     0.980     0.001
    1.916  -14.9692     0.980     0.001
    1.893  -14.9694     0.980     0.001
    1.870  -14.9696     0.980     0.001
    1.846  -14.9698     0.980     0.001
    1.823  -14.9700     0.980     0.001
    1.800  -14.9703     0.980     0.001
    1.777  -14.9705     0.980     0.001
    1.754  -14.9708     0.980     0.001
    1.731  -14.9711     0.979     0.001
    1.708  -14.9713     0.979     0.001
    1.685  -14.9716     0.979     0.001
    1.662  -14.9719     0.979     0.001
    1.639  -14.9721     0.979     0.001
    1.639  -14.9721     0.979     0.001
    1.598  -14.9715     0.979     0.001
    1.558  -14.9710     0.980     0.001
    1.518  -14.9706     0.980     0.001
    1.478  -14.9703     0.980     0.001
    1.438  -14.9701     0.980     0.001
    1.398  -14.9701     0.980     0.001
    1.358  -14.9702     0.980     0.001
    1.318  -14.9705     0.980     0.001
    1.278  -14.9708     0.980     0.001
    1.238  -14.9713     0.980     0.001
    1.198  -14.9718     0.979     0.001
    1.158  -14.9724     0.979     0.001
    1.118  -14.9731     0.979     0.001
    1.078  -14.9738     0.979     0.001
    1.038  -14.9745     0.979     0.001
    0.998  -14.9752     0.979     0.001
    0.958  -14.9760     0.978     0.001
    0.918  -14.9766     0.978     0.002
    0.878  -14.9773     0.978     0.002
    0.878  -14.9773     0.978     0.002
    0.832  -14.9765     0.978     0.002
    0.786  -14.9757     0.979     0.001
    0.739  -14.9749     0.979     0.001
    0.693  -14.9741     0.979     0.001
    0.647  -14.9732     0.979     0.001
    0.601  -14.9724     0.979     0.001
    0.555  -14.9717     0.980     0.001
    0.508  -14.9710     0.980     0.001
    0.462  -14.9704     0.980     0.001
    0.416  -14.9699     0.980     0.001
    0.370  -14.9695     0.980     0.001
    0.324  -14.9692     0.980     0.001
    0.277  -14.9690     0.980     0.001
    0.231  -14.9689     0.980     0.001
    0.185  -14.9688     0.980     0.001
    0.139  -14.9687     0.980     0.001
    0.092  -14.9687     0.980     0.001
    0.046  -14.9687     0.980     0.001
    0.000  -14.9687     0.980     0.001
 
# Band-Index:    3
    0.000  -14.9222     0.971     0.005
    0.046  -14.9220     0.971     0.005
    0.092  -14.9214     0.971     0.005
    0.139  -14.9203     0.972     0.005
    0.185  -14.9190     0.972     0.005
    0.231  -14.9174     0.973     0.004
    0.277  -14.9157     0.973     0.004
    0.324  -14.9139     0.974     0.004
    0.370  -14.9121     0.974     0.003
    0.416  -14.9104     0.975     0.003
    0.462  -14.9089     0.975     0.003
    0.508  -14.9075     0.976     0.003
    0.555  -14.9063     0.976     0.002
    0.601  -14.9054     0.976     0.002
    0.647  -14.9047     0.977     0.002
    0.693  -14.9042     0.977     0.002
    0.739  -14.9039     0.977     0.002
    0.786  -14.9037     0.977     0.002
    0.832  -14.9037     0.977     0.002
    0.878  -14.9036     0.977     0.002
    0.878  -14.9036     0.977     0.002
    0.918  -14.9036     0.977     0.002
    0.958  -14.9037     0.977     0.002
    0.998  -14.9037     0.977     0.002
    1.038  -14.9037     0.977     0.002
    1.078  -14.9037     0.977     0.002
    1.118  -14.9038     0.977     0.002
    1.158  -14.9039     0.977     0.002
    1.198  -14.9040     0.976     0.002
    1.238  -14.9041     0.976     0.002
    1.278  -14.9043     0.976     0.002
    1.318  -14.9044     0.976     0.002
    1.358  -14.9046     0.976     0.002
    1.398  -14.9048     0.976     0.003
    1.438  -14.9049     0.976     0.003
    1.478  -14.9050     0.976     0.003
    1.518  -14.9051     0.975     0.003
    1.558  -14.9051     0.975     0.003
    1.598  -14.9051     0.975     0.003
    1.639  -14.9051     0.975     0.003
    1.639  -14.9051     0.975     0.003
    1.662  -14.9065     0.975     0.003
    1.685  -14.9079     0.975     0.003
    1.708  -14.9093     0.975     0.003
    1.731  -14.9106     0.974     0.003
    1.754  -14.9119     0.974     0.004
    1.777  -14.9132     0.974     0.004
    1.800  -14.9144     0.973     0.004
    1.823  -14.9156     0.973     0.004
    1.846  -14.9167     0.973     0.004
    1.870  -14.9177     0.972     0.004
    1.893  -14.9186     0.972     0.005
    1.916  -14.9194     0.972     0.005
    1.939  -14.9202     0.972     0.005
    1.962  -14.9208     0.971     0.005
    1.985  -14.9213     0.971     0.005
    2.008  -14.9217     0.971     0.005
    2.031  -14.9220     0.971     0.005
    2.054  -14.9222     0.971     0.005
    2.078  -14.9222     0.971     0.005
    2.078  -14.9222     0.971     0.005
    2.124  -14.9220     0.971     0.005
    2.170  -14.9214     0.971     0.005
    2.216  -14.9203     0.972     0.005
    2.262  -14.9190     0.972     0.005
    2.309  -14.9174     0.973     0.004
    2.355  -14.9157     0.973     0.004
    2.401  -14.9139     0.974     0.004
    2.447  -14.9121     0.974     0.003
    2.493  -14.9104     0.975     0.003
    2.540  -14.9089     0.975     0.003
    2.586  -14.9075     0.976     0.003
    2.632  -14.9063     0.976     0.002
    2.678  -14.9054     0.976     0.002
    2.725  -14.9047     0.977     0.002
    2.771  -14.9042     0.977     0.002
    2.817  -14.9039     0.977     0.002
    2.863  -14.9037     0.977     0.002
    2.909  -14.9037     0.977     0.002
    2.956  -14.9036     0.977     0.002
 
# Band-Index:    4
    2.956  -14.9036     0.977     0.002
    2.909  -14.9036     0.977     0.002
    2.863  -14.9036     0.977     0.002
    2.817  -14.9035     0.977     0.002
    2.771  -14.9032     0.977     0.002
    2.725  -14.9028     0.977     0.002
    2.678  -14.9022     0.977     0.002
    2.632  -14.9015     0.977     0.002
    2.586  -14.9005     0.977     0.002
    2.540  -14.8994     0.977     0.002
    2.493  -14.8982     0.978     0.002
    2.447  -14.8968     0.978     0.001
    2.401  -14.8954     0.978     0.001
    2.355  -14.8940     0.978     0.001
    2.309  -14.8926     0.978     0.001
    2.262  -14.8913     0.979     0.001
    2.216  -14.8902     0.979     0.001
    2.170  -14.8894     0.979     0.001
    2.124  -14.8888     0.979     0.001
    2.078  -14.8887     0.979     0.001
    2.078  -14.8887     0.979     0.001
    2.054  -14.8887     0.979     0.001
    2.031  -14.8889     0.979     0.001
    2.008  -14.8891     0.979     0.001
    1.985  -14.8895     0.979     0.001
    1.962  -14.8899     0.979     0.001
    1.939  -14.8905     0.979     0.001
    1.916  -14.8912     0.979     0.001
    1.893  -14.8919     0.979     0.001
    1.870  -14.8928     0.978     0.001
    1.846  -14.8938     0.978     0.001
    1.823  -14.8948     0.978     0.001
    1.800  -14.8959     0.978     0.002
    1.777  -14.8971     0.977     0.002
    1.754  -14.8983     0.977     0.002
    1.731  -14.8996     0.977     0.002
    1.708  -14.9009     0.976     0.002
    1.685  -14.9023     0.976     0.002
    1.662  -14.9037     0.976     0.003
    1.639  -14.9051     0.975     0.003
    1.639  -14.9051     0.975     0.003
    1.598  -14.9050     0.976     0.003
    1.558  -14.9049     0.976     0.003
    1.518  -14.9048     0.976     0.003
    1.478  -14.9046     0.976     0.003
    1.438  -14.9045     0.976     0.002
    1.398  -14.9043     0.976     0.002
    1.358  -14.9042     0.976     0.002
    1.318  -14.9040     0.976     0.002
    1.278  -14.9039     0.976     0.002
    1.238  -14.9038     0.977     0.002
    1.198  -14.9038     0.977     0.002
    1.158  -14.9037     0.977     0.002
    1.118  -14.9037     0.977     0.002
    1.078  -14.9037     0.977     0.002
    1.038  -14.9037     0.977     0.002
    0.998  -14.9037     0.977     0.002
    0.958  -14.9036     0.977     0.002
    0.918  -14.9036     0.977     0.002
    0.878  -14.9036     0.977     0.002
    0.878  -14.9036     0.977     0.002
    0.832  -14.9036     0.977     0.002
    0.786  -14.9036     0.977     0.002
    0.739  -14.9035     0.977     0.002
    0.693  -14.9032     0.977     0.002
    0.647  -14.9028     0.977     0.002
    0.601  -14.9022     0.977     0.002
    0.555  -14.9015     0.977     0.002
    0.508  -14.9005     0.977     0.002
    0.462  -14.8994     0.977     0.002
    0.416  -14.8982     0.978     0.002
    0.370  -14.8968     0.978     0.001
    0.324  -14.8954     0.978     0.001
    0.277  -14.8940     0.978     0.001
    0.231  -14.8926     0.978     0.001
    0.185  -14.8913     0.979     0.001
    0.139  -14.8902     0.979     0.001
    0.092  -14.8894     0.979     0.001
    0.046  -14.8888     0.979     0.001
    0.000  -14.8887     0.979     0.001
 
# Band-Index:    5
    0.000  -14.1356     0.975     0.004
    0.046  -14.1356     0.975     0.004
    0.092  -14.1359     0.975     0.004
    0.139  -14.1365     0.975     0.004
    0.185  -14.1373     0.974     0.004
    0.231  -14.1383     0.974     0.004
    0.277  -14.1395     0.974     0.004
    0.324  -14.1407     0.974     0.004
    0.370  -14.1419     0.974     0.004
    0.416  -14.1429     0.974     0.005
    0.462  -14.1439     0.974     0.005
    0.508  -14.1447     0.974     0.004
    0.555  -14.1452     0.974     0.004
    0.601  -14.1455     0.974     0.004
    0.647  -14.1455     0.974     0.004
    0.693  -14.1452     0.974     0.004
