# Omega(k)/|Omega(k)|, Omega(k) comes from the 4,5,6 columns of Berrycurvature.dat.
#col     1           2           3           4           5           6
  # kx (1/A)    ky (1/A)    kz (1/A)     Omega_x     Omega_y     Omega_z
   -0.734678   -0.067867    0.000000    0.125788    0.262088   -0.956811
   -0.734678   -0.059383    0.000000    0.109943    0.264009   -0.958234
   -0.734678   -0.050900    0.000000    0.094291    0.267006   -0.959071
   -0.734678   -0.042417    0.000000    0.079162    0.271912   -0.959061
   -0.734678   -0.033933    0.000000    0.064510    0.279201   -0.958063
   -0.734678   -0.025450    0.000000    0.049990    0.288913   -0.956049
   -0.734678   -0.016967    0.000000    0.035068    0.300597   -0.953106
   -0.734678   -0.008483    0.000000    0.019166    0.313300   -0.949461
   -0.734678    0.000000    0.000000    0.001814    0.325678   -0.945479
  
   -0.719985   -0.839850    0.000000    0.005442    0.590037    0.807358
   -0.719985   -0.831367    0.000000    0.008904    0.577844    0.816098
   -0.719985   -0.822883    0.000000    0.012586    0.564909    0.825057
   -0.719985   -0.814400    0.000000    0.016837    0.553483    0.832690
   -0.719985   -0.805917    0.000000    0.021933    0.545051    0.838116
   -0.719985   -0.797433    0.000000    0.028030    0.540067    0.841155
   -0.719985   -0.788950    0.000000    0.035122    0.537878    0.842291
   -0.719985   -0.780467    0.000000    0.042987    0.536812    0.842606
   -0.719985   -0.771983    0.000000    0.051157    0.534459    0.843645
   -0.719985   -0.763500    0.000000    0.058968    0.528233    0.847049
   -0.719985   -0.755017    0.000000    0.065725    0.516169    0.853961
   -0.719985   -0.746533    0.000000    0.070931    0.497662    0.864466
   -0.719985   -0.738050    0.000000    0.074483    0.473740    0.877509
   -0.719985   -0.729567    0.000000    0.076691    0.446641    0.891420
   -0.719985   -0.721083    0.000000    0.078132    0.418957    0.904638
   -0.719985   -0.712600    0.000000    0.079422    0.392816    0.916181
   -0.719985   -0.704117    0.000000    0.081046    0.369461    0.925705
   -0.719985   -0.695633    0.000000    0.083256    0.349219    0.933335
   -0.719985   -0.687150    0.000000    0.086051    0.331683    0.939458
   -0.719985   -0.678667    0.000000    0.089185    0.315964    0.944570
   -0.719985   -0.670183    0.000000    0.092205    0.300958    0.949169
   -0.719985   -0.661700    0.000000    0.094556    0.285640    0.953661
   -0.719985   -0.653217    0.000000    0.095727    0.269365    0.958269
   -0.719985   -0.644733    0.000000    0.095432    0.252072    0.962991
   -0.719985   -0.636250    0.000000    0.093725    0.234278    0.967641
   -0.719985   -0.627767    0.000000    0.090985    0.216854    0.971955
   -0.719985   -0.619283    0.000000    0.087786    0.200694    0.975713
   -0.719985   -0.610800    0.000000    0.084735    0.186455    0.978802
   -0.719985   -0.602317    0.000000    0.082352    0.174460    0.981214
   -0.719985   -0.593833    0.000000    0.081023    0.164720    0.983007
   -0.719985   -0.585350    0.000000    0.081004    0.157032    0.984266
   -0.719985   -0.576867    0.000000    0.082446    0.151087    0.985076
   -0.719985   -0.568383    0.000000    0.085435    0.146563    0.985505
   -0.719985   -0.559900    0.000000    0.090023    0.143211    0.985589
   -0.719985   -0.551417    0.000000    0.096285    0.140919    0.985328
   -0.719985   -0.542933    0.000000    0.104383    0.139767    0.984667
   -0.719985   -0.534450    0.000000    0.114664    0.140061    0.983481
   -0.719985   -0.525967    0.000000    0.127788    0.142369    0.981530
   -0.719985   -0.517483    0.000000    0.144922    0.147583    0.978375
   -0.719985   -0.509000    0.000000    0.168041    0.157063    0.973187
   -0.719985   -0.500517    0.000000    0.200484    0.172946    0.964311
   -0.719985   -0.492033    0.000000    0.247970    0.198737    0.948164
   -0.719985   -0.483550    0.000000    0.320384    0.240313    0.916299
   -0.719985   -0.475067    0.000000    0.433633    0.306763    0.847265
   -0.719985   -0.466583    0.000000    0.602369    0.405050    0.687813
   -0.719985   -0.458100    0.000000    0.785548    0.505953    0.356266
   -0.719985   -0.449617    0.000000    0.846528    0.526058   -0.081568
   -0.719985   -0.441133    0.000000    0.783976    0.473237   -0.401782
   -0.719985   -0.432650    0.000000    0.704011    0.415333   -0.576079
   -0.719985   -0.424167    0.000000    0.640364    0.371249   -0.672389
   -0.719985   -0.415683    0.000000    0.588689    0.337024   -0.734751
   -0.719985   -0.407200    0.000000    0.540724    0.307022   -0.783170
   -0.719985   -0.398717    0.000000    0.492259    0.278281   -0.824767
   -0.719985   -0.390233    0.000000    0.443544    0.250508   -0.860532
   -0.719985   -0.381750    0.000000    0.397250    0.224849   -0.889739
   -0.719985   -0.373267    0.000000    0.356094    0.202549   -0.912234
   -0.719985   -0.364783    0.000000    0.321547    0.184249   -0.928795
   -0.719985   -0.356300    0.000000    0.293766    0.169928   -0.940652
   -0.719985   -0.347817    0.000000    0.272074    0.159151   -0.949024
   -0.719985   -0.339333    0.000000    0.255428    0.151301   -0.954916
   -0.719985   -0.330850    0.000000    0.242712    0.145729   -0.959090
   -0.719985   -0.322367    0.000000    0.232899    0.141830   -0.962103
   -0.719985   -0.313883    0.000000    0.225123    0.139087   -0.964352
   -0.719985   -0.305400    0.000000    0.218730    0.137099   -0.966106
   -0.719985   -0.296917    0.000000    0.213296    0.135612   -0.967530
   -0.719985   -0.288433    0.000000    0.208631    0.134523   -0.968699
   -0.719985   -0.279950    0.000000    0.204729    0.133868   -0.969621
   -0.719985   -0.271467    0.000000    0.201703    0.133786   -0.970267
   -0.719985   -0.262983    0.000000    0.199694    0.134459   -0.970589
   -0.719985   -0.254500    0.000000    0.198788    0.136060   -0.970552
   -0.719985   -0.246017    0.000000    0.198937    0.138693   -0.970149
   -0.719985   -0.237533    0.000000    0.199917    0.142354   -0.969417
