 written on  6Nov2025 at 21:43:49 
          16
         579
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    2    1    1    1    1    1    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1
    1    1    1    1    1    1    1    1    2    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1
  -15   -8    0    1    1   -0.000000    0.000001
  -15   -8    0    2    1   -0.000000   -0.000000
  -15   -8    0    3    1   -0.000015   -0.000002
  -15   -8    0    4    1    0.000011   -0.000003
  -15   -8    0    5    1    0.000015    0.000000
  -15   -8    0    6    1   -0.000002   -0.000001
  -15   -8    0    7    1    0.000002   -0.000000
  -15   -8    0    8    1    0.000001   -0.000000
  -15   -8    0    9    1   -0.000018   -0.000000
  -15   -8    0   10    1   -0.000002    0.000002
  -15   -8    0   11    1    0.000104    0.000000
  -15   -8    0   12    1   -0.000002    0.000001
  -15   -8    0   13    1    0.000021    0.000001
  -15   -8    0   14    1   -0.000009    0.000010
  -15   -8    0   15    1   -0.000031    0.000001
  -15   -8    0   16    1    0.000008   -0.000003
  -15   -8    0    1    2    0.000000   -0.000000
  -15   -8    0    2    2   -0.000000   -0.000001
  -15   -8    0    3    2   -0.000011   -0.000003
  -15   -8    0    4    2   -0.000015    0.000002
  -15   -8    0    5    2    0.000002   -0.000001
  -15   -8    0    6    2    0.000015   -0.000001
  -15   -8    0    7    2   -0.000000   -0.000000
  -15   -8    0    8    2    0.000002    0.000000
  -15   -8    0    9    2    0.000002    0.000002
  -15   -8    0   10    2   -0.000018    0.000000
  -15   -8    0   11    2    0.000002    0.000001
  -15   -8    0   12    2    0.000104   -0.000000
  -15   -8    0   13    2    0.000009    0.000010
  -15   -8    0   14    2    0.000021   -0.000001
  -15   -8    0   15    2   -0.000008   -0.000003
  -15   -8    0   16    2   -0.000031   -0.000001
  -15   -8    0    1    3    0.000015    0.000002
  -15   -8    0    2    3   -0.000011   -0.000003
  -15   -8    0    3    3    0.000000    0.000001
  -15   -8    0    4    3   -0.000000   -0.000003
  -15   -8    0    5    3    0.000072    0.000004
  -15   -8    0    6    3   -0.000007   -0.000003
  -15   -8    0    7    3    0.000016    0.000003
  -15   -8    0    8    3    0.000001    0.000003
  -15   -8    0    9    3   -0.000216    0.000001
  -15   -8    0   10    3    0.000002    0.000000
  -15   -8    0   11    3   -0.000082   -0.000000
  -15   -8    0   12    3   -0.000002    0.000001
  -15   -8    0   13    3   -0.000198    0.000006
  -15   -8    0   14    3    0.000014   -0.000005
  -15   -8    0   15    3    0.000134    0.000008
  -15   -8    0   16    3   -0.000005    0.000008
  -15   -8    0    1    4    0.000011   -0.000003
  -15   -8    0    2    4    0.000015   -0.000002
  -15   -8    0    3    4    0.000000   -0.000003
