    #kx         ky         Energy       Sx      Sy      Sz
    #Grid-Size:    57   57
    #Band-Index:   21
    0.025846   -0.283521   -1.371631  -0.265   0.193   0.080
    0.025846   -0.253677   -1.349696  -0.064   0.293   0.073
    0.025846   -0.223833   -1.391480   0.241   0.200   0.036
    0.025846   -0.193988   -1.489930   0.302   0.114   0.020
    0.025846   -0.164144   -1.618791   0.305   0.093   0.009
    0.025846   -0.134300   -1.758552   0.288   0.102  -0.005
    0.025846   -0.104455   -1.887676   0.253   0.140  -0.020
    0.025846   -0.074611   -1.970450   0.154   0.248  -0.001
    0.025846   -0.044767    0.000000   0.253   0.000  -0.044
    0.025846   -0.014922    0.000000   0.141  -0.020  -0.070
    0.051692    0.029844   -1.860882  -0.145   0.252   0.000
    0.051692    0.059689   -1.769253  -0.235   0.193  -0.007
    0.051692    0.089533   -1.649948  -0.275   0.157   0.008
    0.051692    0.119377   -1.525791  -0.282   0.149   0.023
    0.051692    0.149222   -1.416916  -0.241   0.185   0.027
    0.051692    0.179066   -1.347030  -0.085   0.255   0.034
    0.051692    0.208911   -1.333889   0.122   0.252   0.062
    0.051692    0.238755   -1.365591   0.225   0.204   0.092
    0.051692    0.268599   -1.422218   0.266   0.166   0.107
    0.051692    0.298444   -1.490298   0.284   0.141   0.111
    0.051692    0.328288   -1.560652   0.292   0.123   0.105
    0.051692    0.358132   -1.626588   0.295   0.110   0.096
    0.051692    0.387977   -1.683095   0.295   0.101   0.086
    0.051692    0.417821   -1.726583   0.294   0.096   0.076
    0.051692    0.447665   -1.754886   0.292   0.092   0.068
    0.051692    0.477510   -1.767268   0.291   0.091   0.062
    0.051692    0.507354   -1.764270   0.290   0.091   0.059
    0.051692    0.537199   -1.747379   0.290   0.093   0.057
    0.051692    0.567043   -1.718643   0.291   0.097   0.057
    0.051692    0.596887   -1.680357   0.291   0.102   0.058
    0.051692    0.626732   -1.634882   0.290   0.108   0.062
    0.051692    0.656576   -1.584597   0.288   0.117   0.069
    0.051692    0.686420   -1.531967   0.282   0.128   0.080
    0.051692    0.716265   -1.479728   0.271   0.146   0.098
    0.051692    0.746109   -1.431266   0.246   0.171   0.126
    0.051692    0.775953   -1.391325   0.191   0.208   0.165
    0.051692    0.805798   -1.366995   0.082   0.245   0.206
    0.051692    0.835642   -1.366098  -0.071   0.247   0.208
    0.051692    0.865487   -1.389008  -0.186   0.211   0.168
    0.051692   -0.805798   -1.428116  -0.243   0.173   0.128
    0.051692   -0.775953   -1.476156  -0.270   0.147   0.099
    0.051692   -0.746109   -1.528250  -0.282   0.129   0.081
    0.051692   -0.716265   -1.580947  -0.288   0.118   0.069
