    #kx         ky         Energy       Sx      Sy      Sz
    #Grid-Size:    57   57
    #Band-Index:   20
    0.025846   -0.283521   -2.982462  -0.054   0.420   0.089
    0.025846   -0.253677   -2.938017  -0.031   0.430   0.118
    0.025846   -0.223833   -2.888326   0.076   0.329   0.166
    0.025846   -0.193988   -2.830107   0.188   0.164   0.176
    0.025846   -0.164144   -2.765839   0.251   0.088   0.178
    0.025846   -0.134300   -2.698013   0.280   0.065   0.188
    0.025846   -0.104455   -2.627697   0.279   0.066   0.206
    0.025846   -0.074611   -2.555136   0.246   0.080   0.236
    0.025846   -0.044767   -2.482654   0.173   0.100   0.265
    0.025846   -0.014922   -2.425693   0.067   0.115   0.000
    0.051692    0.029844   -2.505320  -0.116   0.201   0.000
    0.051692    0.059689   -2.555101  -0.192   0.173   0.237
    0.051692    0.089533   -2.615761  -0.230   0.133   0.291
    0.051692    0.119377   -2.681295  -0.233   0.105   0.291
    0.051692    0.149222   -2.748599  -0.209   0.106   0.276
    0.051692    0.179066   -2.814871  -0.155   0.154   0.253
    0.051692    0.208911   -2.876604  -0.071   0.270   0.215
    0.051692    0.238755   -2.930358   0.013   0.394   0.156
    0.051692    0.268599   -2.976707   0.048   0.431   0.119
    0.051692    0.298444   -3.019110   0.060   0.429   0.114
    0.051692    0.328288   -3.059855   0.078   0.418   0.123
    0.051692    0.358132   -3.100432   0.111   0.396   0.128
    0.051692    0.387977   -3.142435   0.152   0.360   0.121
    0.051692    0.417821   -3.187783   0.194   0.317   0.104
    0.051692    0.447665   -3.238291   0.226   0.279   0.081
    0.051692    0.477510   -3.295023   0.245   0.249   0.060
    0.051692    0.507354   -3.357954   0.253   0.226   0.042
    0.051692    0.537199   -3.426017   0.252   0.213   0.029
    0.051692    0.567043   -3.497387   0.243   0.208   0.024
    0.051692    0.596887   -3.569803   0.226   0.208   0.026
    0.051692    0.626732   -3.640836   0.202   0.218   0.039
    0.051692    0.656576   -3.708074   0.174   0.235   0.064
    0.051692    0.686420   -3.769259   0.140   0.261   0.102
    0.051692    0.716265   -3.822406   0.103   0.293   0.151
    0.051692    0.746109   -3.865978   0.068   0.322   0.202
    0.051692    0.775953   -3.899022   0.041   0.340   0.242
    0.051692    0.805798   -3.921130   0.021   0.347   0.266
    0.051692    0.835642   -3.932193   0.007   0.349   0.276
    0.051692    0.865487   -3.932194  -0.007   0.349   0.276
    0.051692   -0.805798   -3.921133  -0.021   0.347   0.266
    0.051692   -0.775953   -3.899026  -0.041   0.340   0.242
    0.051692   -0.746109   -3.865984  -0.068   0.322   0.202
    0.051692   -0.716265   -3.822413  -0.103   0.293   0.151
    0.051692   -0.686420   -3.769266  -0.140   0.261   0.102
    0.051692   -0.656576   -3.708082  -0.174   0.235   0.064
    0.051692   -0.626732   -3.640844  -0.202   0.218   0.039
    0.051692   -0.596887   -3.569811  -0.226   0.208   0.026
    0.051692   -0.567043   -3.497395  -0.243   0.208   0.024
    0.051692   -0.537199   -3.426025  -0.252   0.213   0.029
    0.051692   -0.507354   -3.357963  -0.253   0.226   0.042
    0.051692   -0.477510   -3.295033  -0.245   0.249   0.060
    0.051692   -0.447665   -3.238302  -0.226   0.279   0.081
    0.051692   -0.417821   -3.187795  -0.194   0.317   0.104
    0.051692   -0.387977   -3.142449  -0.152   0.360   0.121
    0.051692   -0.358132   -3.100448  -0.111   0.396   0.128
    0.051692   -0.328288   -3.059872  -0.078   0.418   0.123
    0.051692   -0.298444   -3.019129  -0.060   0.429   0.114
    0.051692   -0.268599   -2.976728  -0.048   0.431   0.119
    0.051692   -0.238755   -2.930383  -0.013   0.394   0.156
    0.051692   -0.208911   -2.876636   0.071   0.271   0.215
    0.051692   -0.179066   -2.814909   0.155   0.154   0.253
    0.051692   -0.149222   -2.748644   0.209   0.106   0.276
    0.051692   -0.119377   -2.681344   0.233   0.105   0.291
    0.051692   -0.089533   -2.615813   0.230   0.133   0.291
    0.051692   -0.059689   -2.555149   0.192   0.173   0.236
    0.051692   -0.029844   -2.505351   0.116   0.201   0.000
    0.051692   -0.000000   -2.482654   0.000   0.200  -0.265
    0.077538    0.044767   -2.583951  -0.146   0.253   0.000
    0.077538    0.074611   -2.627665  -0.197   0.209   0.206
    0.077538    0.104455   -2.681295  -0.208   0.150   0.291
    0.077538    0.134300   -2.743051  -0.190   0.110   0.307
    0.077538    0.164144   -2.809369  -0.151   0.113   0.289
    0.077538    0.193988   -2.875072  -0.087   0.185   0.248
    0.077538    0.223833   -2.933999  -0.006   0.312   0.186
    0.077538    0.253677   -2.983177   0.041   0.376   0.141
    0.077538    0.283521   -3.025651   0.064   0.377   0.136
    0.077538    0.313366   -3.064565   0.090   0.361   0.146
    0.077538    0.343210   -3.101845   0.129   0.339   0.151
    0.077538    0.373055   -3.139288   0.175   0.307   0.143
    0.077538    0.402899   -3.178981   0.220   0.274   0.122
    0.077538    0.432743   -3.223061   0.256   0.242   0.095
    0.077538    0.462588   -3.273191   0.281   0.217   0.065
    0.077538    0.492432   -3.330119   0.294   0.199   0.039
    0.077538    0.522276   -3.393552   0.298   0.187   0.017
    0.077538    0.552121   -3.462290   0.295   0.181   0.002
    0.077538    0.581965   -3.534474   0.284   0.180  -0.007
    0.077538    0.611809   -3.607865   0.267   0.184  -0.007
    0.077538    0.641654   -3.680038   0.243   0.193   0.002
    0.077538    0.671498   -3.748517   0.214   0.211   0.023
    0.077538    0.701343   -3.810854   0.177   0.238   0.058
    0.077538    0.731187   -3.864702   0.132   0.275   0.111
    0.077538    0.761031   -3.907989   0.086   0.314   0.173
    0.077538    0.790876   -3.939273   0.045   0.340   0.228
    0.077538    0.820720   -3.958003   0.018   0.349   0.258
    0.077538    0.850564   -3.964220   0.000   0.349   0.268
    0.077538    0.880409   -3.958005  -0.018   0.349   0.258
    0.077538   -0.790876   -3.939277  -0.045   0.340   0.228
    0.077538   -0.761031   -3.907995  -0.086   0.314   0.173
    0.077538   -0.731187   -3.864708  -0.132   0.275   0.111
    0.077538   -0.701343   -3.810861  -0.177   0.238   0.058
    0.077538   -0.671498   -3.748524  -0.214   0.211   0.023
    0.077538   -0.641654   -3.680045  -0.243   0.193   0.002
    0.077538   -0.611809   -3.607872  -0.267   0.184  -0.007
    0.077538   -0.581965   -3.534481  -0.284   0.180  -0.007
    0.077538   -0.552121   -3.462298  -0.295   0.181   0.002
    0.077538   -0.522276   -3.393560  -0.298   0.187   0.017
    0.077538   -0.492432   -3.330128  -0.294   0.199   0.039
    0.077538   -0.462588   -3.273201  -0.281   0.217   0.065
    0.077538   -0.432743   -3.223073  -0.256   0.242   0.095
    0.077538   -0.402899   -3.178995  -0.220   0.274   0.122
    0.077538   -0.373055   -3.139305  -0.175   0.307   0.143
    0.077538   -0.343210   -3.101864  -0.129   0.339   0.151
    0.077538   -0.313366   -3.064587  -0.090   0.361   0.146
    0.077538   -0.283521   -3.025676  -0.064   0.377   0.136
    0.077538   -0.253677   -2.983208  -0.041   0.376   0.141
    0.077538   -0.223833   -2.934036   0.006   0.312   0.186
    0.077538   -0.193988   -2.875118   0.086   0.185   0.248
    0.077538   -0.164144   -2.809421   0.151   0.113   0.289
    0.077538   -0.134300   -2.743108   0.190   0.110   0.307
    0.077538   -0.104455   -2.681353   0.208   0.150   0.291
    0.077538   -0.074611   -2.627718   0.197   0.209   0.206
    0.077538   -0.044767   -2.583988   0.146   0.253   0.000
    0.077538   -0.014922   -2.555149   0.053   0.253  -0.236
    0.077538    0.014922   -2.555136  -0.053   0.253  -0.236
    0.103384    0.059689   -2.657569  -0.157   0.272   0.000
    0.103384    0.089533   -2.697986  -0.196   0.210   0.188
    0.103384    0.119377   -2.748599  -0.196   0.128   0.276
    0.103384    0.149222   -2.809369  -0.173   0.074   0.289
    0.103384    0.179066   -2.875869  -0.134   0.077   0.262
    0.103384    0.208911   -2.939876  -0.067   0.164   0.205
    0.103384    0.238755   -2.993318   0.005   0.253   0.157
    0.103384    0.268599   -3.037172   0.049   0.271   0.154
    0.103384    0.298444   -3.075541   0.090   0.265   0.168
    0.103384    0.328288   -3.110755   0.139   0.249   0.175
    0.103384    0.358132   -3.144723   0.193   0.227   0.166
    0.103384    0.387977   -3.179604   0.244   0.203   0.142
    0.103384    0.417821   -3.217739   0.286   0.181   0.108
    0.103384    0.447665   -3.261230   0.314   0.163   0.072
    0.103384    0.477510   -3.311488   0.331   0.151   0.038
    0.103384    0.507354   -3.368985   0.339   0.143   0.008
    0.103384    0.537199   -3.433242   0.339   0.140  -0.015
    0.103384    0.567043   -3.502979   0.333   0.138  -0.033
    0.103384    0.596887   -3.576339   0.321   0.141  -0.044
    0.103384    0.626732   -3.651114   0.303   0.146  -0.049
    0.103384    0.656576   -3.724883   0.280   0.155  -0.046
    0.103384    0.686420   -3.795103   0.250   0.168  -0.034
    0.103384    0.716265   -3.859142   0.213   0.190  -0.008
    0.103384    0.746109   -3.914308   0.166   0.222   0.034
