    #kx         ky         Energy       Sx      Sy      Sz
    #Grid-Size:    57   57
    #Band-Index:   20
    0.025846   -0.283521   -2.903646   0.036   0.377   0.155
    0.025846   -0.253677   -2.845637   0.165   0.198   0.175
    0.025846   -0.223833   -2.780225   0.240   0.099   0.177
    0.025846   -0.193988   -2.710546   0.276   0.067   0.185
    0.025846   -0.164144   -2.638069   0.281   0.065   0.203
    0.025846   -0.134300   -2.563140   0.252   0.079   0.232
    0.025846   -0.104455   -2.487731   0.180   0.098   0.265
    0.025846   -0.074611   -2.427070   0.071   0.115   0.025
    0.025846   -0.044767    0.000000   0.115   0.000  -0.050
    0.025846   -0.014922    0.000000   0.099   0.265  -0.123
    0.051692    0.029844   -2.505320  -0.116   0.201   0.000
    0.051692    0.059689   -2.557170  -0.194   0.172   0.241
    0.051692    0.089533   -2.620408  -0.231   0.130   0.293
    0.051692    0.119377   -2.688599  -0.232   0.104   0.289
    0.051692    0.149222   -2.758376  -0.203   0.109   0.273
    0.051692    0.179066   -2.826549  -0.142   0.170   0.247
    0.051692    0.208911   -2.889085  -0.050   0.302   0.203
    0.051692    0.238755   -2.942720   0.027   0.411   0.144
    0.051692    0.268599   -2.989320   0.053   0.432   0.115
    0.051692    0.298444   -3.032550   0.065   0.427   0.117
    0.051692    0.328288   -3.074553   0.088   0.412   0.126
    0.051692    0.358132   -3.116960   0.127   0.383   0.127
    0.051692    0.387977   -3.161695   0.172   0.341   0.115
    0.051692    0.417821   -3.210927   0.210   0.298   0.094
    0.051692    0.447665   -3.266370   0.237   0.262   0.070
    0.051692    0.477510   -3.328628   0.251   0.236   0.049
    0.051692    0.507354   -3.397034   0.254   0.218   0.033
    0.051692    0.537199   -3.469884   0.248   0.209   0.025
    0.051692    0.567043   -3.544818   0.233   0.208   0.024
    0.051692    0.596887   -3.619175   0.210   0.214   0.034
    0.051692    0.626732   -3.690246   0.182   0.229   0.056
    0.051692    0.656576   -3.755454   0.148   0.255   0.091
    0.051692    0.686420   -3.812501   0.110   0.287   0.141
    0.051692    0.716265   -3.859551   0.074   0.318   0.195
    0.051692    0.746109   -3.895419   0.043   0.338   0.238
    0.051692    0.775953   -3.919576   0.022   0.346   0.265
    0.051692    0.805798   -3.931875   0.007   0.349   0.276
    0.051692    0.835642   -3.932293  -0.006   0.349   0.276
    0.051692    0.865487   -3.920830  -0.021   0.347   0.266
    0.051692   -0.805798   -3.897504  -0.041   0.340   0.240
    0.051692   -0.775953   -3.862448  -0.072   0.320   0.198
    0.051692   -0.746109   -3.816154  -0.107   0.289   0.145
    0.051692   -0.716265   -3.759756  -0.145   0.257   0.095
    0.051692   -0.686420   -3.695050  -0.179   0.231   0.058
    0.051692   -0.656576   -3.624308  -0.209   0.215   0.035
    0.051692   -0.626732   -3.550094  -0.231   0.208   0.024
    0.051692   -0.596887   -3.475113  -0.247   0.209   0.025
    0.051692   -0.567043   -3.402034  -0.254   0.217   0.032
    0.051692   -0.537199   -3.333252  -0.252   0.234   0.047
    0.051692   -0.507354   -3.270528  -0.238   0.260   0.068
    0.051692   -0.477510   -3.214613  -0.213   0.296   0.092
    0.051692   -0.447665   -3.164992  -0.174   0.338   0.114
    0.051692   -0.417821   -3.120013  -0.130   0.381   0.127
    0.051692   -0.387977   -3.077513  -0.090   0.411   0.126
    0.051692   -0.358132   -3.035537  -0.066   0.426   0.117
    0.051692   -0.328288   -2.992451  -0.053   0.432   0.115
    0.051692   -0.298444   -2.946194  -0.030   0.415   0.140
    0.051692   -0.268599   -2.893181   0.043   0.313   0.199
    0.051692   -0.238755   -2.831210   0.136   0.177   0.245
    0.051692   -0.208911   -2.763297   0.200   0.111   0.272
    0.051692   -0.179066   -2.693526   0.231   0.103   0.289
    0.051692   -0.149222   -2.625130   0.232   0.127   0.293
    0.051692   -0.119377   -2.561393   0.198   0.168   0.248
    0.051692   -0.089533   -2.508360   0.123   0.200   0.025
    0.051692   -0.059689   -2.482689   0.004   0.200  -0.265
    0.051692   -0.029844    0.000000   0.201   0.000  -0.078
    0.051692   -0.000000    0.000000   0.172   0.241  -0.126
    0.077538    0.044767   -2.583951  -0.146   0.253   0.000
    0.077538    0.074611   -2.629450  -0.198   0.207   0.210
    0.077538    0.104455   -2.685544  -0.208   0.145   0.294
    0.077538    0.134300   -2.750144  -0.187   0.108   0.306
    0.077538    0.164144   -2.819104  -0.143   0.119   0.286
    0.077538    0.193988   -2.886465  -0.072   0.206   0.238
    0.077538    0.223833   -2.945513   0.008   0.334   0.172
    0.077538    0.253677   -2.994468   0.048   0.379   0.136
    0.077538    0.283521   -3.037242   0.071   0.373   0.137
    0.077538    0.313366   -3.076863   0.101   0.355   0.148
    0.077538    0.343210   -3.115338   0.145   0.328   0.150
    0.077538    0.373055   -3.154771   0.194   0.294   0.136
    0.077538    0.402899   -3.197561   0.237   0.259   0.111
    0.077538    0.432743   -3.245935   0.269   0.230   0.080
    0.077538    0.462588   -3.301318   0.289   0.208   0.051
    0.077538    0.492432   -3.363971   0.298   0.192   0.026
    0.077538    0.522276   -3.433008   0.298   0.183   0.007
    0.077538    0.552121   -3.506643   0.289   0.180  -0.004
    0.077538    0.581965   -3.582525   0.274   0.182  -0.008
    0.077538    0.611809   -3.658009   0.251   0.189  -0.002
    0.077538    0.641654   -3.730349   0.222   0.205   0.016
    0.077538    0.671498   -3.796801   0.186   0.231   0.048
    0.077538    0.701343   -3.854717   0.142   0.267   0.099
    0.077538    0.731187   -3.901699   0.094   0.308   0.163
    0.077538    0.761031   -3.935986   0.049   0.337   0.222
    0.077538    0.790876   -3.956820   0.019   0.349   0.256
    0.077538    0.820720   -3.964201   0.000   0.349   0.268
    0.077538    0.850564   -3.958230  -0.017   0.349   0.258
    0.077538    0.880409   -3.938820  -0.045   0.340   0.227
    0.077538   -0.790876   -3.905934  -0.088   0.312   0.170
    0.077538   -0.761031   -3.860222  -0.137   0.272   0.105
    0.077538   -0.731187   -3.803351  -0.182   0.234   0.053
    0.077538   -0.701343   -3.737675  -0.219   0.208   0.019
    0.077538   -0.671498   -3.665827  -0.248   0.191  -0.001
    0.077538   -0.641654   -3.590543  -0.271   0.182  -0.008
    0.077538   -0.611809   -3.514577  -0.288   0.180  -0.005
    0.077538   -0.581965   -3.440588  -0.296   0.182   0.005
    0.077538   -0.552121   -3.370971  -0.299   0.191   0.024
    0.077538   -0.522276   -3.307586  -0.291   0.206   0.048
    0.077538   -0.492432   -3.251431  -0.271   0.227   0.077
    0.077538   -0.462588   -3.202370  -0.241   0.255   0.108
    0.077538   -0.432743   -3.159090  -0.199   0.290   0.134
    0.077538   -0.402899   -3.119421  -0.150   0.324   0.149
    0.077538   -0.373055   -3.080954  -0.106   0.352   0.149
    0.077538   -0.343210   -3.041547  -0.073   0.372   0.138
    0.077538   -0.313366   -2.999221  -0.051   0.380   0.135
    0.077538   -0.283521   -2.951125  -0.014   0.344   0.166
    0.077538   -0.253677   -2.893217   0.063   0.220   0.231
    0.077538   -0.223833   -2.826440   0.137   0.123   0.281
    0.077538   -0.193988   -2.757345   0.184   0.106   0.306
    0.077538   -0.164144   -2.692056   0.207   0.140   0.298
    0.077538   -0.134300   -2.634934   0.200   0.201   0.224
    0.077538   -0.104455   -2.588212   0.154   0.250   0.028
    0.077538   -0.074611   -2.556446   0.061   0.254  -0.225
    0.077538   -0.044767   -2.554549  -0.050   0.253  -0.241
    0.077538   -0.014922    0.000000   0.253   0.000  -0.091
    0.077538    0.014922    0.000000   0.207   0.210  -0.121
    0.103384    0.059689   -2.657569  -0.157   0.272   0.000
    0.103384    0.089533   -2.699637  -0.197   0.207   0.192
