    #kx         ky         Energy       Sx      Sy      Sz
    #Grid-Size:    51   51
    #Band-Index:   20
    0.052685    0.152087   -1.294554  -0.494   0.176   0.078
    0.052685    0.182504   -1.138695  -0.494   0.154   0.087
    0.052685    0.212922   -1.005711  -0.486   0.139   0.094
    0.052685    0.243339   -0.902641  -0.474   0.129   0.099
    0.052685    0.273756   -0.833177  -0.457   0.125   0.103
    0.052685    0.304174   -0.796966  -0.440   0.123   0.107
    0.052685    0.334591   -0.790331  -0.426   0.123   0.111
    0.052685    0.365008   -0.807902  -0.411   0.125   0.115
    0.052685    0.395426   -0.844106  -0.399   0.127   0.120
    0.052685    0.425843   -0.894032  -0.389   0.130   0.124
    0.052685    0.456261   -0.953706  -0.379   0.134   0.128
    0.052685    0.486678   -1.020021  -0.370   0.140   0.132
    0.052685    0.517095   -1.090500  -0.359   0.147   0.137
    0.052685    0.547513   -1.163016  -0.348   0.156   0.142
    0.052685    0.577930   -1.235536  -0.334   0.168   0.149
    0.052685    0.608347   -1.305897  -0.316   0.183   0.157
    0.052685    0.638765   -1.371668  -0.293   0.203   0.168
    0.052685    0.669182   -1.430081  -0.258   0.227   0.183
    0.052685    0.699599   -1.478079  -0.210   0.256   0.201
    0.052685    0.730017   -1.512518  -0.141   0.284   0.218
    0.052685    0.760434   -1.530602  -0.050   0.302   0.231
    0.052685    0.790852   -1.530602   0.050   0.302   0.231
    0.052685    0.821269   -1.512518   0.141   0.284   0.218
    0.052686    0.851686   -1.478079   0.210   0.256   0.201
    0.052686    0.882104   -1.430081   0.258   0.227   0.183
    0.052686    0.912521   -1.371667   0.293   0.203   0.168
    0.052686    0.942938   -1.305896   0.316   0.183   0.157
    0.052686    0.973356   -1.235535   0.334   0.168   0.149
    0.052686    1.003773   -1.163015   0.348   0.156   0.142
    0.052686    1.034190   -1.090499   0.359   0.147   0.137
    0.052686    1.064608   -1.020020   0.370   0.140   0.132
    0.052686    1.095025   -0.953706   0.379   0.134   0.128
    0.052686    1.125443   -0.894032   0.389   0.130   0.124
    0.052686    1.155860   -0.844107   0.399   0.127   0.120
    0.052686    1.186277   -0.807903   0.411   0.125   0.115
    0.052686    1.216695   -0.790333   0.426   0.123   0.111
    0.052686    1.247112   -0.796968   0.440   0.123   0.107
    0.052686    1.277529   -0.833180   0.457   0.125   0.103
    0.052686    1.307947   -0.902645   0.474   0.129   0.099
    0.052686    1.338364   -1.005715   0.486   0.139   0.094
    0.052686    1.368782   -1.138700   0.494   0.154   0.087
    0.052686    1.399199   -1.294560   0.494   0.176   0.078
    0.052686    1.429616   -1.464141   0.484   0.212   0.066
    0.052686    1.460034   -1.636388   0.459   0.265   0.049
    0.052686    1.490451   -1.796280   0.401   0.345   0.027
    0.052686    1.520868   -1.919378   0.264   0.456   0.000
    0.052687    1.551286   -1.968318   0.000   0.526  -0.015
    0.079027    0.045626   -1.728239  -0.265   0.460   0.000
    0.079027    0.076044   -1.610270  -0.370   0.381   0.035
    0.079027    0.106461   -1.464133  -0.425   0.314   0.066
    0.079027    0.136878   -1.307202  -0.454   0.262   0.090
    0.079027    0.167296   -1.152707  -0.465   0.225   0.108
    0.079027    0.197713   -1.011601  -0.465   0.199   0.120
    0.079027    0.228130   -0.893258  -0.457   0.182   0.128
    0.079027    0.258548   -0.804709  -0.443   0.171   0.135
    0.079027    0.288965   -0.749267  -0.427   0.166   0.140
    0.079027    0.319382   -0.726037  -0.409   0.164   0.144
    0.079027    0.349800   -0.730984  -0.394   0.163   0.149
    0.079027    0.380217   -0.758694  -0.380   0.164   0.154
    0.079027    0.410635   -0.803770  -0.368   0.166   0.158
    0.079027    0.441052   -0.861549  -0.356   0.170   0.163
    0.079027    0.471469   -0.928264  -0.346   0.174   0.166
    0.079027    0.501887   -1.000891  -0.333   0.180   0.170
    0.079027    0.532304   -1.076898  -0.321   0.188   0.175
    0.079027    0.562721   -1.153967  -0.305   0.197   0.180
    0.079027    0.593139   -1.229767  -0.286   0.209   0.186
    0.079027    0.623556   -1.301776  -0.262   0.224   0.194
    0.079027    0.653973   -1.367198  -0.231   0.242   0.203
    0.079027    0.684391   -1.422971  -0.190   0.261   0.213
    0.079028    0.714808   -1.465922  -0.137   0.280   0.225
    0.079028    0.745226   -1.493132  -0.073   0.295   0.232
    0.079028    0.775643   -1.502465   0.000   0.301   0.236
    0.079028    0.806060   -1.493132   0.073   0.295   0.232
    0.079028    0.836478   -1.465922   0.137   0.280   0.225
    0.079028    0.866895   -1.422970   0.190   0.261   0.213
    0.079028    0.897312   -1.367198   0.231   0.242   0.203
    0.079028    0.927730   -1.301775   0.262   0.224   0.194
    0.079028    0.958147   -1.229766   0.286   0.209   0.186
    0.079028    0.988564   -1.153966   0.305   0.197   0.180
    0.079028    1.018982   -1.076897   0.321   0.188   0.175
    0.079028    1.049399   -1.000890   0.333   0.180   0.170
    0.079028    1.079817   -0.928263   0.346   0.174   0.166
    0.079028    1.110234   -0.861549   0.356   0.170   0.163
    0.079028    1.140651   -0.803770   0.368   0.166   0.158
    0.079028    1.171069   -0.758695   0.380   0.164   0.154
    0.079028    1.201486   -0.730986   0.394   0.163   0.149
    0.079028    1.231903   -0.726040   0.409   0.164   0.144
    0.079028    1.262321   -0.749270   0.427   0.166   0.140
    0.079028    1.292738   -0.804712   0.443   0.171   0.135
    0.079028    1.323155   -0.893262   0.457   0.182   0.128
    0.079028    1.353573   -1.011605   0.465   0.199   0.120
    0.079028    1.383990   -1.152713   0.465   0.225   0.108
    0.079028    1.414408   -1.307209   0.454   0.262   0.090
    0.079029    1.444825   -1.464142   0.425   0.314   0.066
    0.079029    1.475242   -1.610282   0.370   0.381   0.035
    0.079029    1.505660   -1.728249   0.265   0.460   0.000
    0.079029    1.536077   -1.796280   0.099   0.520  -0.027
    0.079029    1.566494   -1.796276  -0.099   0.520  -0.027
    0.105369    0.060835   -1.536581  -0.266   0.461   0.000
    0.105369    0.091252   -1.426791  -0.350   0.399   0.042
    0.105369    0.121670   -1.294555  -0.400   0.340   0.078
    0.105369    0.152087   -1.152708  -0.427   0.290   0.108
    0.105369    0.182504   -1.012813  -0.439   0.253   0.128
    0.105369    0.212922   -0.885587  -0.438   0.226   0.143
    0.105369    0.243339   -0.780746  -0.429   0.209   0.152
    0.105369    0.273756   -0.705638  -0.413   0.197   0.158
    0.105369    0.304174   -0.663516  -0.397   0.190   0.163
    0.105369    0.334591   -0.653093  -0.380   0.187   0.167
    0.105369    0.365009   -0.669962  -0.366   0.186   0.171
    0.105369    0.395426   -0.708537  -0.352   0.187   0.176
    0.105369    0.425843   -0.763448  -0.340   0.189   0.181
    0.105369    0.456261   -0.830122  -0.329   0.191   0.185
    0.105369    0.486678   -0.904834  -0.318   0.195   0.189
    0.105369    0.517095   -0.984508  -0.305   0.201   0.192
    0.105369    0.547513   -1.066449  -0.290   0.208   0.197
    0.105369    0.577930   -1.148096  -0.271   0.218   0.201
