  #K-Path    Energy        Bi        Sb
# NKPTS & NBANDS:  80  55
# Band-Index:    1
    0.112  -21.2456     0.988     0.000
    0.134  -21.2458     0.988     0.000
    0.156  -21.2459     0.988     0.000
    0.179  -21.2461     0.988     0.000
    0.201  -21.2463     0.988     0.000
    0.224  -21.2464     0.988     0.000
    0.246  -21.2465     0.988     0.000
    0.268  -21.2467     0.988     0.000
    0.291  -21.2468     0.988     0.000
    0.313  -21.2469     0.988     0.000
    0.335  -21.2469     0.988     0.000
    0.358  -21.2470     0.988     0.000
    0.380  -21.2470     0.988     0.000
    0.402  -21.2470     0.988     0.000
    0.425  -21.2470     0.988     0.000
    0.425  -21.2470     0.988     0.000
    0.465  -21.2471     0.988     0.000
    0.505  -21.2471     0.988     0.000
    0.546  -21.2470     0.988     0.000
    0.586  -21.2469     0.988     0.000
    0.626  -21.2468     0.988     0.000
    0.666  -21.2466     0.988     0.000
    0.706  -21.2464     0.988     0.000
    0.747  -21.2462     0.988     0.000
    0.787  -21.2460     0.988     0.000
    0.827  -21.2458     0.988     0.000
    0.867  -21.2456     0.988     0.000
    0.908  -21.2454     0.988     0.000
    0.948  -21.2454     0.988     0.000
    0.988  -21.2454     0.988     0.000
    1.028  -21.2454     0.988     0.000
    1.069  -21.2452     0.988     0.000
    1.109  -21.2451     0.988     0.000
    1.149  -21.2448     0.988     0.000
    1.189  -21.2445     0.988     0.000
    1.189  -21.2445     0.989     0.000
    1.230  -21.2448     0.988     0.000
    1.270  -21.2451     0.988     0.000
    1.310  -21.2452     0.988     0.000
    1.350  -21.2454     0.988     0.000
    1.391  -21.2454     0.988     0.000
    1.431  -21.2454     0.988     0.000
    1.471  -21.2454     0.988     0.000
    1.511  -21.2456     0.988     0.000
    1.552  -21.2458     0.988     0.000
    1.592  -21.2460     0.988     0.000
    1.632  -21.2462     0.988     0.000
    1.672  -21.2464     0.988     0.000
    1.713  -21.2466     0.988     0.000
    1.753  -21.2468     0.988     0.000
    1.793  -21.2469     0.988     0.000
    1.833  -21.2470     0.988     0.000
