  #K-Path    Energy        Bi        Sb
# NKPTS & NBANDS:  80  55
# Band-Index:    1
    0.000  -24.2049     0.984     0.000
    0.022  -24.2050     0.984     0.000
    0.045  -24.2051     0.984     0.000
    0.067  -24.2052     0.984     0.000
    0.089  -24.2054     0.984     0.000
    0.112  -24.2054     0.984     0.000
    0.134  -24.2055     0.984     0.000
    0.156  -24.2056     0.984     0.000
    0.179  -24.2057     0.984     0.000
    0.201  -24.2058     0.984     0.000
    0.224  -24.2058     0.984     0.000
    0.246  -24.2059     0.984     0.000
    0.268  -24.2059     0.984     0.000
    0.291  -24.2060     0.984     0.000
    0.313  -24.2060     0.984     0.000
    0.335  -24.2060     0.984     0.000
    0.358  -24.2060     0.984     0.000
    0.380  -24.2061     0.984     0.000
    0.402  -24.2060     0.984     0.000
    0.425  -24.2060     0.984     0.000
    0.425  -24.2060     0.984     0.000
    0.466  -24.2061     0.984     0.000
    0.506  -24.2061     0.984     0.000
    0.547  -24.2060     0.984     0.000
    0.588  -24.2060     0.984     0.000
    0.628  -24.2059     0.984     0.000
    0.669  -24.2059     0.984     0.000
    0.710  -24.2058     0.984     0.000
    0.751  -24.2056     0.984     0.000
    0.791  -24.2055     0.984     0.000
    0.832  -24.2054     0.984     0.000
    0.873  -24.2053     0.984     0.000
    0.914  -24.2051     0.984     0.000
    0.954  -24.2050     0.984     0.000
    0.995  -24.2049     0.984     0.000
    1.036  -24.2049     0.984     0.000
    1.076  -24.2048     0.984     0.000
    1.117  -24.2047     0.984     0.000
    1.158  -24.2046     0.984     0.000
    1.199  -24.2044     0.985     0.000
    1.199  -24.2044     0.985     0.000
    1.239  -24.2046     0.984     0.000
    1.280  -24.2047     0.984     0.000
    1.321  -24.2048     0.984     0.000
    1.362  -24.2049     0.984     0.000
    1.402  -24.2049     0.984     0.000
    1.443  -24.2050     0.984     0.000
    1.484  -24.2051     0.984     0.000
    1.525  -24.2053     0.984     0.000
    1.565  -24.2054     0.984     0.000
    1.606  -24.2055     0.984     0.000
    1.647  -24.2056     0.984     0.000
    1.687  -24.2058     0.984     0.000
    1.728  -24.2059     0.984     0.000
    1.769  -24.2059     0.984     0.000
    1.810  -24.2060     0.984     0.000
    1.850  -24.2060     0.984     0.000
    1.891  -24.2061     0.984     0.000
    1.932  -24.2061     0.984     0.000
    1.973  -24.2060     0.984     0.000
    1.973  -24.2060     0.984     0.000
    2.007  -24.2061     0.984     0.000
    2.041  -24.2061     0.984     0.000
    2.075  -24.2061     0.984     0.000
    2.109  -24.2061     0.984     0.000
    2.143  -24.2061     0.984     0.000
    2.177  -24.2060     0.984     0.000
    2.211  -24.2060     0.984     0.000
    2.245  -24.2060     0.984     0.000
    2.279  -24.2059     0.984     0.000
    2.313  -24.2059     0.984     0.000
    2.347  -24.2059     0.984     0.000
    2.381  -24.2058     0.984     0.000
    2.415  -24.2058     0.984     0.000
    2.449  -24.2057     0.984     0.000
    2.483  -24.2057     0.984     0.000
    2.517  -24.2056     0.984     0.000
    2.551  -24.2056     0.984     0.000
    2.585  -24.2055     0.984     0.000
    2.619  -24.2055     0.984     0.000
 
# Band-Index:    2
    2.619  -24.2055     0.984     0.000
    2.585  -24.2054     0.984     0.000
    2.551  -24.2053     0.984     0.000
    2.517  -24.2053     0.984     0.000
    2.483  -24.2052     0.984     0.000
    2.449  -24.2052     0.984     0.000
    2.415  -24.2051     0.984     0.000
    2.381  -24.2050     0.984     0.000
    2.347  -24.2049     0.984     0.000
    2.313  -24.2050     0.984     0.000
    2.279  -24.2051     0.984     0.000
    2.245  -24.2053     0.984     0.000
    2.211  -24.2054     0.984     0.000
    2.177  -24.2055     0.984     0.000
    2.143  -24.2057     0.984     0.000
    2.109  -24.2058     0.984     0.000
    2.075  -24.2059     0.984     0.000
    2.041  -24.2059     0.984     0.000
    2.007  -24.2060     0.984     0.000
    1.973  -24.2060     0.984     0.000
    1.973  -24.2060     0.984     0.000
    1.932  -24.2060     0.984     0.000
    1.891  -24.2059     0.984     0.000
    1.850  -24.2058     0.984     0.000
    1.810  -24.2057     0.984     0.000
    1.769  -24.2056     0.984     0.000
    1.728  -24.2054     0.984     0.000
    1.687  -24.2053     0.984     0.000
    1.647  -24.2052     0.984     0.000
    1.606  -24.2050     0.984     0.000
    1.565  -24.2049     0.984     0.000
    1.525  -24.2049     0.984     0.000
    1.484  -24.2049     0.984     0.000
    1.443  -24.2049     0.984     0.000
    1.402  -24.2048     0.984     0.000
    1.362  -24.2047     0.984     0.000
    1.321  -24.2046     0.984     0.000
    1.280  -24.2045     0.984     0.000
    1.239  -24.2045     0.984     0.000
    1.199  -24.2044     0.985     0.000
    1.199  -24.2044     0.984     0.000
    1.158  -24.2045     0.984     0.000
    1.117  -24.2045     0.984     0.000
    1.076  -24.2046     0.984     0.000
    1.036  -24.2047     0.984     0.000
    0.995  -24.2048     0.984     0.000
    0.954  -24.2049     0.984     0.000
    0.914  -24.2049     0.984     0.000
    0.873  -24.2049     0.984     0.000
    0.832  -24.2049     0.984     0.000
    0.791  -24.2050     0.984     0.000
    0.751  -24.2052     0.984     0.000
    0.710  -24.2053     0.984     0.000
    0.669  -24.2054     0.984     0.000
    0.628  -24.2056     0.984     0.000
    0.588  -24.2057     0.984     0.000
    0.547  -24.2058     0.984     0.000
    0.506  -24.2059     0.984     0.000
    0.466  -24.2060     0.984     0.000
    0.425  -24.2060     0.984     0.000
    0.425  -24.2060     0.984     0.000
    0.402  -24.2060     0.984     0.000
    0.380  -24.2060     0.984     0.000
    0.358  -24.2059     0.984     0.000
    0.335  -24.2059     0.984     0.000
    0.313  -24.2058     0.984     0.000
    0.291  -24.2058     0.984     0.000
    0.268  -24.2057     0.984     0.000
    0.246  -24.2056     0.984     0.000
    0.224  -24.2055     0.984     0.000
    0.201  -24.2054     0.984     0.000
    0.179  -24.2053     0.984     0.000
    0.156  -24.2052     0.984     0.000
    0.134  -24.2051     0.984     0.000
    0.112  -24.2050     0.984     0.000
    0.089  -24.2049     0.984     0.000
    0.067  -24.2048     0.984     0.000
    0.045  -24.2047     0.984     0.000
    0.022  -24.2048     0.984     0.000
    0.000  -24.2049     0.984     0.000
 
# Band-Index:    3
