  #K-Path    Energy        Bi        As
# NKPTS & NBANDS:  80  44
# Band-Index:    1
    0.052  -35.6159     0.000     0.999
    0.000  -35.6159     0.000     0.999
 
# Band-Index:    5
    0.000  -34.9266     0.000     0.999
    0.052  -34.9266     0.000     0.999
    0.103  -34.9266     0.000     0.999
    0.155  -34.9266     0.000     0.999
    0.207  -34.9267     0.000     0.999
    0.258  -34.9267     0.000     0.999
    0.310  -34.9267     0.000     0.999
    0.361  -34.9267     0.000     0.999
    0.413  -34.9267     0.000     0.999
    0.465  -34.9268     0.000     0.999
    0.516  -34.9268     0.000     0.999
    0.568  -34.9268     0.000     0.999
    0.620  -34.9268     0.000     0.999
    0.671  -34.9268     0.000     0.999
    0.723  -34.9268     0.000     0.999
    0.775  -34.9269     0.000     0.999
    0.826  -34.9269     0.000     0.999
    0.878  -34.9269     0.000     0.999
    0.930  -34.9269     0.000     0.999
    0.981  -34.9269     0.000     0.999
    0.981  -34.9269     0.000     0.999
    1.026  -34.9269     0.000     0.999
    1.071  -34.9268     0.000     0.999
    1.115  -34.9269     0.000     0.999
    1.160  -34.9269     0.000     0.999
    1.205  -34.9269     0.000     0.999
    1.250  -34.9268     0.000     0.999
    1.294  -34.9268     0.000     0.999
    1.339  -34.9268     0.000     0.999
    1.384  -34.9268     0.000     0.999
    1.428  -34.9268     0.000     0.999
    1.473  -34.9267     0.000     0.999
    1.518  -34.9267     0.000     0.999
    1.563  -34.9267     0.000     0.999
    1.607  -34.9267     0.000     0.999
    1.652  -34.9267     0.000     0.999
    1.697  -34.9267     0.000     0.999
    1.742  -34.9267     0.000     0.999
    1.786  -34.9266     0.000     0.999
    1.831  -34.9266     0.000     0.999
    1.831  -34.9266     0.000     0.999
    1.857  -34.9266     0.000     0.999
    1.883  -34.9266     0.000     0.999
    1.908  -34.9266     0.000     0.999
    1.934  -34.9266     0.000     0.999
    1.960  -34.9266     0.000     0.999
    1.986  -34.9266     0.000     0.999
    2.012  -34.9266     0.000     0.999
    2.038  -34.9266     0.000     0.999
    2.063  -34.9266     0.000     0.999
    2.089  -34.9266     0.000     0.999
    2.115  -34.9266     0.000     0.999
    2.141  -34.9266     0.000     0.999
    2.167  -34.9266     0.000     0.999
    2.192  -34.9266     0.000     0.999
    2.218  -34.9266     0.000     0.999
    2.244  -34.9266     0.000     0.999
    2.270  -34.9266     0.000     0.999
    2.296  -34.9266     0.000     0.999
    2.322  -34.9266     0.000     0.999
    2.322  -34.9266     0.000     0.999
    2.373  -34.9266     0.000     0.999
    2.425  -34.9266     0.000     0.999
    2.477  -34.9266     0.000     0.999
    2.528  -34.9267     0.000     0.999
    2.580  -34.9267     0.000     0.999
    2.631  -34.9267     0.000     0.999
    2.683  -34.9267     0.000     0.999
    2.735  -34.9267     0.000     0.999
    2.786  -34.9268     0.000     0.999
    2.838  -34.9268     0.000     0.999
    2.890  -34.9268     0.000     0.999
    2.941  -34.9268     0.000     0.999
    2.993  -34.9268     0.000     0.999
    3.045  -34.9268     0.000     0.999
    3.096  -34.9269     0.000     0.999
    3.148  -34.9269     0.000     0.999
    3.199  -34.9269     0.000     0.999
    3.251  -34.9269     0.000     0.999
    3.303  -34.9269     0.000     0.999
 
# Band-Index:    6
    3.303  -34.9269     0.000     0.999
    3.251  -34.9269     0.000     0.999
    3.199  -34.9268     0.000     0.999
    3.148  -34.9268     0.000     0.999
    3.096  -34.9268     0.000     0.999
    3.045  -34.9268     0.000     0.999
    2.993  -34.9268     0.000     0.999
    2.941  -34.9268     0.000     0.999
    2.890  -34.9268     0.000     0.999
    2.838  -34.9268     0.000     0.999
    2.786  -34.9267     0.000     0.999
    2.735  -34.9267     0.000     0.999
    2.683  -34.9267     0.000     0.999
    2.631  -34.9267     0.000     0.999
    2.580  -34.9266     0.000     0.999
    2.528  -34.9266     0.000     0.999
    2.477  -34.9266     0.000     0.999
    2.425  -34.9266     0.000     0.999
    2.373  -34.9266     0.000     0.999
    2.322  -34.9266     0.000     0.999
    2.322  -34.9266     0.000     0.999
    2.296  -34.9266     0.000     0.999
    2.270  -34.9266     0.000     0.999
    2.244  -34.9266     0.000     0.999
    2.218  -34.9266     0.000     0.999
    2.192  -34.9266     0.000     0.999
    2.167  -34.9266     0.000     0.999
    2.141  -34.9266     0.000     0.999
    2.115  -34.9266     0.000     0.999
    2.089  -34.9266     0.000     0.999
    2.063  -34.9266     0.000     0.999
    2.038  -34.9266     0.000     0.999
    2.012  -34.9266     0.000     0.999
    1.986  -34.9266     0.000     0.999
    1.960  -34.9266     0.000     0.999
    1.934  -34.9266     0.000     0.999
    1.908  -34.9266     0.000     0.999
    1.883  -34.9266     0.000     0.999
    1.857  -34.9266     0.000     0.999
    1.831  -34.9266     0.000     0.999
    1.831  -34.9266     0.000     0.999
    1.786  -34.9266     0.000     0.999
    1.742  -34.9266     0.000     0.999
    1.697  -34.9267     0.000     0.999
    1.652  -34.9267     0.000     0.999
    1.607  -34.9267     0.000     0.999
    1.563  -34.9267     0.000     0.999
    1.518  -34.9267     0.000     0.999
    1.473  -34.9267     0.000     0.999
    1.428  -34.9268     0.000     0.999
    1.384  -34.9268     0.000     0.999
    1.339  -34.9268     0.000     0.999
    1.294  -34.9268     0.000     0.999
    1.250  -34.9268     0.000     0.999
    1.205  -34.9268     0.000     0.999
    1.160  -34.9268     0.000     0.999
    1.115  -34.9269     0.000     0.999
