      #Energy        TDOS
     -38.26134       0.00000
     -38.08034       0.00000
     -37.89834       0.00000
     -37.71634       0.00000
     -37.53434       0.00000
     -37.35334       0.00000
     -37.17134       0.00000
     -36.98934       0.00000
     -36.80734       0.00000
     -36.62634       0.00000
     -36.44434       0.00000
     -36.26234       0.00000
     -36.08034       0.00000
     -35.89934       0.00595
     -35.71734      19.53000
     -35.53534       2.47700
     -35.35434       0.00000
     -35.17234       0.01166
     -34.99034      29.05000
     -34.80834       3.95600
     -34.62734       0.00000
     -34.44534       0.00000
     -34.26334       0.00000
     -34.08134       0.00000
     -33.90034       0.00000
     -33.71834       0.00000
     -33.53634       0.00000
     -33.35434       0.00000
     -33.17334       0.00000
     -32.99134       0.00000
     -32.80934       0.00000
     -32.62734       0.00000
     -32.44634       0.00000
     -32.26434       0.00000
     -32.08234       0.00000
     -31.90034       0.00000
     -31.71934       0.00000
     -31.53734       0.00000
     -31.35534       0.00000
     -31.17334       0.00000
     -30.99234       0.00000
     -30.81034       0.00000
     -30.62834       0.00000
     -30.44734       0.00000
     -30.26534       0.00000
     -30.08334       0.00000
     -29.90134       0.00000
     -29.72034       0.00000
     -29.53834       0.00000
     -29.35634       0.00000
     -29.17434       0.00000
     -28.99334       0.00000
     -28.81134       0.00000
     -28.62934       0.00000
     -28.44734       0.00000
     -28.26634       0.00000
     -28.08434       0.00000
     -27.90234       0.00000
     -27.72034       0.00000
     -27.53934       0.00000
     -27.35734       0.00000
     -27.17534       0.00000
     -26.99334       0.00000
     -26.81234       0.00000
     -26.63034       0.00000
     -26.44834       0.00000
     -26.26634       0.00000
     -26.08534       0.00000
     -25.90334       0.00000
     -25.72134       0.00000
     -25.53934       0.00000
     -25.35834       0.00000
     -25.17634       0.00000
     -24.99434       0.00000
     -24.81334       0.00000
     -24.63134       0.00000
     -24.44934       0.00019
     -24.26734      17.19000
     -24.08634       4.82300
     -23.90434       0.00000
     -23.72234       0.00000
     -23.54034       0.00000
     -23.35934       0.00000
     -23.17734       0.00000
     -22.99534       0.00000
     -22.81334       0.00000
     -22.63234       0.00000
     -22.45034       0.00000
     -22.26834       0.00000
     -22.08634       0.00000
     -21.90534       0.00000
     -21.72334       0.00000
     -21.54134       0.00000
     -21.35934       6.65200
     -21.17834      26.36000
     -20.99634       0.00049
     -20.81434       0.00000
     -20.63234       0.00000
     -20.45134       0.00000
     -20.26934       0.00000
     -20.08734       0.00000
     -19.90534       0.00000
     -19.72434       0.00000
     -19.54234       0.00000
     -19.36034       0.00000
     -19.17934       0.00000
     -18.99734       0.00000
     -18.81534       0.00000
     -18.63334       0.00000
     -18.45234       0.00000
     -18.27034       0.00000
     -18.08834       0.00000
     -17.90634       0.00000
     -17.72534       0.00000
     -17.54334       0.00000
     -17.36134       0.00000
     -17.17934       0.00000
     -16.99834       0.00000
     -16.81634       0.00000
     -16.63434       0.00000
     -16.45234       0.00000
     -16.27134       0.00000
     -16.08934       0.00000
     -15.90734       0.00000
     -15.72534       0.00000
     -15.54434       0.00000
     -15.36234       0.00000
     -15.18034       0.00000
     -14.99834       0.00000
     -14.81734       0.00000
     -14.63534       0.00000
     -14.45334       0.00000
     -14.27234       0.00000
     -14.09034       0.00000
     -13.90834       0.00000
     -13.72634       0.00000
     -13.54534       0.00000
     -13.36334       0.00000
     -13.18134       0.00000
     -12.99934       0.00000
     -12.81834       0.00000
     -12.63634       0.00000
     -12.45434       0.00000
     -12.27234       0.00000
     -12.09134       0.00000
     -11.90934       0.00000
     -11.72734       0.13410
     -11.54534       1.07100
     -11.36434       1.09500
     -11.18234       1.16500
     -11.00034       1.26800
     -10.81834       1.48200
     -10.63734       1.94400
     -10.45534       1.81700
     -10.27334       0.79090
     -10.09134       0.23760
      -9.91034       0.00280
      -9.72834       0.27210
      -9.54634       0.79060
      -9.36434       1.77200
      -9.18334       1.75500
      -9.00134       0.96270
      -8.81934       1.00100
      -8.63834       1.09800
      -8.45634       0.84770
      -8.27434       0.71460
      -8.09234       0.76150
      -7.91134       0.74090
      -7.72934       0.28610
      -7.54734       0.00005
      -7.36534       0.00000
      -7.18434       0.00000
      -7.00234       0.00000
      -6.82034       0.00000
      -6.63834       0.00000
      -6.45734       0.00000
      -6.27534       0.00000
      -6.09334       0.00000
      -5.91134       0.00000
      -5.73034       0.00000
      -5.54834       0.00000
      -5.36634       0.00000
      -5.18434       0.00000
      -5.00334       0.00000
      -4.82134       0.00000
      -4.63934       0.00000
      -4.45734       0.00000
      -4.27634       0.00000
      -4.09434       0.00000
      -3.91234       0.00000
      -3.73034       0.00000
      -3.54934       0.07160
      -3.36734       0.56630
      -3.18534       0.69270
      -3.00434       0.94880
      -2.82234       2.34800
      -2.64034       1.60300
      -2.45834       2.53100
      -2.27734       3.02100
      -2.09534       2.56900
      -1.91334       3.50500
      -1.73134       2.10300
      -1.55034       0.99720
      -1.36834       0.69610
      -1.18634       0.95390
      -1.00434       1.53200
      -0.82334       2.50100
      -0.64134       1.67000
      -0.45934       1.46400
      -0.27734       1.47400
      -0.09634       1.46900
       0.08566       0.51390
       0.26766       0.56770
       0.44966       0.63270
       0.63066       2.06300
       0.81266       2.18200
       0.99466       1.10500
       1.17666       1.24100
       1.35766       0.69370
       1.53966       0.74360
       1.72166       1.67500
       1.90266       1.67400
       2.08466       1.46000
       2.26666       0.80040
       2.44866       2.41800
       2.62966       3.41400
       2.81166       3.77200
       2.99366       2.88100
       3.17566       3.31700
       3.35666       1.94300
       3.53866       0.21720
       3.72066       0.00021
       3.90266       0.28450
       4.08366       0.71830
       4.26566       0.89040
       4.44766       1.12000
       4.62966       2.02300
       4.81066       2.68500
       4.99266       3.09800
       5.17466       3.99800
       5.35666       4.47400
       5.53766       5.12200
       5.71966       4.07900
       5.90166       4.86600
       6.08366       7.88100
       6.26466       7.57700
       6.44666       5.91900
       6.62866       8.62000
       6.81066       5.79900
       6.99166       7.57000
       7.17366       6.87600
       7.35566       8.45500
       7.53666       8.64700
       7.71866       9.68000
       7.90066       7.50000
       8.08266       8.29600
       8.26366      10.14000
       8.44566       7.91100
       8.62766       7.87600
       8.80966       8.87900
       8.99066       8.73500
       9.17266       9.33800
       9.35466       9.35300
       9.53666      11.15000
       9.71766       8.93900
       9.89966      10.40000
      10.08166      10.96000
      10.26366       8.44400
      10.44466      11.08000
      10.62666      10.02000
      10.80866       9.83500
      10.99066      10.56000
      11.17166      10.32000
      11.35366      13.14000
      11.53566       9.90100
      11.71766      10.90000
      11.89866      12.23000
      12.08066      11.29000
      12.26266      12.66000
      12.44466      11.16000
      12.62566      11.06000
      12.80766      10.98000
      12.98966       8.32100
      13.17066       7.59100
      13.35266       3.44500
      13.53466       2.89700
      13.71666       2.21500
      13.89766       0.28280
      14.07966       0.00003
      14.26166       0.00000
      14.44366       0.00000
      14.62466       0.00000
      14.80666       0.00000
      14.98866       0.00000
      15.17066       0.00000
      15.35166       0.00000
      15.53366       0.00000
      15.71566       0.00000
      15.89766       0.00000
      16.07866       0.00000
      16.26066       0.00000
