  #K-Path    Energy        In        Sb
# NKPTS & NBANDS:  80  44
# Band-Index:    1
    0.000  -35.7277     0.000     0.999
    0.053  -35.7277     0.000     0.999
    0.105  -35.7277     0.000     0.999
    0.158  -35.7277     0.000     0.999
    0.211  -35.7277     0.000     0.999
    0.263  -35.7278     0.000     0.999
    0.316  -35.7278     0.000     0.998
    0.368  -35.7278     0.000     0.998
    0.421  -35.7278     0.000     0.998
    0.474  -35.7278     0.000     0.998
    0.526  -35.7279     0.000     0.998
    0.579  -35.7279     0.000     0.998
    0.632  -35.7279     0.000     0.998
    0.684  -35.7279     0.000     0.998
    0.737  -35.7279     0.000     0.998
    0.790  -35.7280     0.000     0.998
    0.842  -35.7280     0.000     0.998
    0.895  -35.7280     0.000     0.998
    0.947  -35.7280     0.000     0.998
    1.000  -35.7280     0.000     0.998
    1.000  -35.7280     0.000     0.998
    1.046  -35.7280     0.000     0.998
    1.091  -35.7280     0.000     0.998
    1.137  -35.7280     0.000     0.998
    1.182  -35.7280     0.000     0.998
    1.228  -35.7280     0.000     0.998
    1.274  -35.7279     0.000     0.998
    1.319  -35.7279     0.000     0.998
    1.365  -35.7279     0.000     0.998
    1.410  -35.7279     0.000     0.998
    1.456  -35.7279     0.000     0.998
    1.502  -35.7278     0.000     0.998
    1.547  -35.7278     0.000     0.998
    1.593  -35.7278     0.000     0.998
    1.638  -35.7278     0.000     0.998
    1.684  -35.7278     0.000     0.999
    1.729  -35.7278     0.000     0.999
    1.775  -35.7278     0.000     0.999
    1.821  -35.7278     0.000     0.999
    1.866  -35.7278     0.000     0.999
    1.866  -35.7278     0.000     0.999
    1.892  -35.7278     0.000     0.999
    1.919  -35.7278     0.000     0.999
    1.945  -35.7278     0.000     0.999
    1.971  -35.7278     0.000     0.999
    1.998  -35.7278     0.000     0.999
    2.024  -35.7278     0.000     0.999
    2.050  -35.7278     0.000     0.999
    2.077  -35.7278     0.000     0.999
    2.103  -35.7277     0.000     0.999
    2.129  -35.7277     0.000     0.999
    2.156  -35.7277     0.000     0.999
    2.182  -35.7277     0.000     0.999
    2.208  -35.7277     0.000     0.999
    2.235  -35.7277     0.000     0.999
    2.261  -35.7277     0.000     0.999
    2.287  -35.7277     0.000     0.999
    2.314  -35.7277     0.000     0.999
    2.340  -35.7277     0.000     0.999
    2.366  -35.7277     0.000     0.999
    2.366  -35.7277     0.000     0.999
    2.419  -35.7277     0.000     0.999
    2.471  -35.7277     0.000     0.999
    2.524  -35.7277     0.000     0.999
    2.577  -35.7277     0.000     0.999
    2.629  -35.7278     0.000     0.999
    2.682  -35.7278     0.000     0.998
    2.735  -35.7278     0.000     0.998
    2.787  -35.7278     0.000     0.998
    2.840  -35.7278     0.000     0.998
    2.893  -35.7279     0.000     0.998
    2.945  -35.7279     0.000     0.998
    2.998  -35.7279     0.000     0.998
    3.050  -35.7279     0.000     0.998
    3.103  -35.7279     0.000     0.998
    3.156  -35.7280     0.000     0.998
    3.208  -35.7280     0.000     0.998
    3.261  -35.7280     0.000     0.998
    3.314  -35.7280     0.000     0.998
    3.366  -35.7280     0.000     0.998
 
# Band-Index:    2
    3.366  -35.7280     0.000     0.998
    3.314  -35.7280     0.000     0.998
    3.261  -35.7280     0.000     0.998
    3.208  -35.7280     0.000     0.998
    3.156  -35.7280     0.000     0.998
    3.103  -35.7279     0.000     0.998
    3.050  -35.7279     0.000     0.998
    2.998  -35.7279     0.000     0.998
    2.945  -35.7279     0.000     0.998
    2.893  -35.7278     0.000     0.998
    2.840  -35.7278     0.000     0.998
    2.787  -35.7278     0.000     0.998
    2.735  -35.7278     0.000     0.998
    2.682  -35.7277     0.000     0.999
    2.629  -35.7277     0.000     0.999
    2.577  -35.7277     0.000     0.999
    2.524  -35.7277     0.000     0.999
    2.471  -35.7277     0.000     0.999
    2.419  -35.7277     0.000     0.999
    2.366  -35.7277     0.000     0.999
    2.366  -35.7277     0.000     0.999
    2.340  -35.7277     0.000     0.999
    2.314  -35.7277     0.000     0.999
    2.287  -35.7277     0.000     0.999
    2.261  -35.7277     0.000     0.999
    2.235  -35.7277     0.000     0.999
    2.208  -35.7277     0.000     0.999
    2.182  -35.7277     0.000     0.999
    2.156  -35.7277     0.000     0.999
    2.129  -35.7277     0.000     0.999
    2.103  -35.7277     0.000     0.999
    2.077  -35.7277     0.000     0.999
    2.050  -35.7277     0.000     0.999
    2.024  -35.7277     0.000     0.999
    1.998  -35.7277     0.000     0.999
    1.971  -35.7277     0.000     0.999
    1.945  -35.7277     0.000     0.999
    1.919  -35.7277     0.000     0.999
    1.892  -35.7277     0.000     0.999
    1.866  -35.7278     0.000     0.999
    1.866  -35.7278     0.000     0.999
    1.821  -35.7278     0.000     0.999
    1.775  -35.7278     0.000     0.999
    1.729  -35.7278     0.000     0.999
    1.684  -35.7278     0.000     0.999
    1.638  -35.7278     0.000     0.998
    1.593  -35.7278     0.000     0.998
    1.547  -35.7278     0.000     0.998
    1.502  -35.7278     0.000     0.998
    1.456  -35.7279     0.000     0.998
    1.410  -35.7279     0.000     0.998
    1.365  -35.7279     0.000     0.998
    1.319  -35.7279     0.000     0.998
    1.274  -35.7279     0.000     0.998
    1.228  -35.7280     0.000     0.998
    1.182  -35.7280     0.000     0.998
    1.137  -35.7280     0.000     0.998
    1.091  -35.7280     0.000     0.998
    1.046  -35.7280     0.000     0.998
    1.000  -35.7280     0.000     0.998
    1.000  -35.7280     0.000     0.998
    0.947  -35.7280     0.000     0.998
    0.895  -35.7280     0.000     0.998
    0.842  -35.7280     0.000     0.998
    0.790  -35.7280     0.000     0.998
    0.737  -35.7279     0.000     0.998
    0.684  -35.7279     0.000     0.998
    0.632  -35.7279     0.000     0.998
    0.579  -35.7279     0.000     0.998
    0.526  -35.7278     0.000     0.998
    0.474  -35.7278     0.000     0.998
    0.421  -35.7278     0.000     0.998
    0.368  -35.7278     0.000     0.998
    0.316  -35.7277     0.000     0.999
    0.263  -35.7277     0.000     0.999
    0.211  -35.7277     0.000     0.999
    0.158  -35.7277     0.000     0.999
    0.105  -35.7277     0.000     0.999
    0.053  -35.7277     0.000     0.999
    0.000  -35.7277     0.000     0.999
 
# Band-Index:    3
    0.000  -35.6991     0.000     0.999
    0.053  -35.6991     0.000     0.999
    0.105  -35.6991     0.000     0.999
    0.158  -35.6991     0.000     0.999
    0.211  -35.6991     0.000     0.999
    0.263  -35.6991     0.000     0.999
    0.316  -35.6991     0.000     0.999
    0.368  -35.6991     0.000     0.999
    0.421  -35.6991     0.000     0.999
    0.474  -35.6992     0.000     0.999
    0.526  -35.6992     0.000     0.998
    0.579  -35.6992     0.000     0.998
    0.632  -35.6992     0.000     0.998
    0.684  -35.6992     0.000     0.998
    0.737  -35.6992     0.000     0.998
    0.790  -35.6992     0.000     0.998
    0.842  -35.6992     0.000     0.998
    0.895  -35.6992     0.000     0.998
    0.947  -35.6992     0.000     0.998
    1.000  -35.6992     0.000     0.998
    1.000  -35.6992     0.000     0.998
    1.046  -35.6992     0.000     0.998
    1.091  -35.6992     0.000     0.998
    1.137  -35.6992     0.000     0.998
    1.182  -35.6992     0.000     0.998
    1.228  -35.6992     0.000     0.998
    1.274  -35.6992     0.000     0.998
    1.319  -35.6992     0.000     0.998
    1.365  -35.6992     0.000     0.998
    1.410  -35.6992     0.000     0.998
    1.456  -35.6992     0.000     0.999
    1.502  -35.6992     0.000     0.999
    1.547  -35.6992     0.000     0.999
    1.593  -35.6992     0.000     0.999
    1.638  -35.6992     0.000     0.999
    1.684  -35.6992     0.000     0.999
    1.729  -35.6991     0.000     0.999
    1.775  -35.6991     0.000     0.999
    1.821  -35.6991     0.000     0.999
    1.866  -35.6991     0.000     0.999
    1.866  -35.6991     0.000     0.999
    1.892  -35.6991     0.000     0.999
    1.919  -35.6991     0.000     0.999
    1.945  -35.6991     0.000     0.999
    1.971  -35.6991     0.000     0.999
    1.998  -35.6991     0.000     0.999
    2.024  -35.6991     0.000     0.999
    2.050  -35.6991     0.000     0.999
    2.077  -35.6991     0.000     0.999
    2.103  -35.6991     0.000     0.999
    2.129  -35.6991     0.000     0.999
    2.156  -35.6991     0.000     0.999
    2.182  -35.6991     0.000     0.999
    2.208  -35.6991     0.000     0.999
    2.235  -35.6991     0.000     0.999
    2.261  -35.6991     0.000     0.999
    2.287  -35.6991     0.000     0.999
    2.314  -35.6991     0.000     0.999
    2.340  -35.6991     0.000     0.999
    2.366  -35.6991     0.000     0.999
    2.366  -35.6991     0.000     0.999
    2.419  -35.6991     0.000     0.999
    2.471  -35.6991     0.000     0.999
    2.524  -35.6991     0.000     0.999
    2.577  -35.6991     0.000     0.999
    2.629  -35.6991     0.000     0.999
    2.682  -35.6991     0.000     0.999
    2.735  -35.6991     0.000     0.999
    2.787  -35.6991     0.000     0.999
    2.840  -35.6992     0.000     0.999
    2.893  -35.6992     0.000     0.998
    2.945  -35.6992     0.000     0.998
    2.998  -35.6992     0.000     0.998
    3.050  -35.6992     0.000     0.998
    3.103  -35.6992     0.000     0.998
    3.156  -35.6992     0.000     0.998
    3.208  -35.6992     0.000     0.998
    3.261  -35.6992     0.000     0.998
    3.314  -35.6992     0.000     0.998
    3.366  -35.6992     0.000     0.998
 
# Band-Index:    4
    3.366  -35.6992     0.000     0.998
    3.314  -35.6992     0.000     0.998
    3.261  -35.6992     0.000     0.998
    3.208  -35.6992     0.000     0.998
    3.156  -35.6992     0.000     0.998
    3.103  -35.6992     0.000     0.998
    3.050  -35.6992     0.000     0.998
    2.998  -35.6992     0.000     0.998
    2.945  -35.6992     0.000     0.998
    2.893  -35.6992     0.000     0.999
    2.840  -35.6991     0.000     0.999
    2.787  -35.6991     0.000     0.999
    2.735  -35.6991     0.000     0.999
    2.682  -35.6991     0.000     0.999
    2.629  -35.6991     0.000     0.999
    2.577  -35.6991     0.000     0.999
    2.524  -35.6991     0.000     0.999
    2.471  -35.6991     0.000     0.999
    2.419  -35.6991     0.000     0.999
    2.366  -35.6991     0.000     0.999
    2.366  -35.6991     0.000     0.999
    2.340  -35.6991     0.000     0.999
    2.314  -35.6991     0.000     0.999
    2.287  -35.6991     0.000     0.999
    2.261  -35.6991     0.000     0.999
    2.235  -35.6991     0.000     0.999
    2.208  -35.6991     0.000     0.999
    2.182  -35.6991     0.000     0.999
    2.156  -35.6991     0.000     0.999
    2.129  -35.6991     0.000     0.999
    2.103  -35.6991     0.000     0.999
    2.077  -35.6991     0.000     0.999
    2.050  -35.6991     0.000     0.999
    2.024  -35.6991     0.000     0.999
    1.998  -35.6991     0.000     0.999
    1.971  -35.6991     0.000     0.999
    1.945  -35.6991     0.000     0.999
    1.919  -35.6991     0.000     0.999
    1.892  -35.6991     0.000     0.999
    1.866  -35.6991     0.000     0.999
    1.866  -35.6991     0.000     0.999
    1.821  -35.6991     0.000     0.999
    1.775  -35.6991     0.000     0.999
    1.729  -35.6991     0.000     0.999
    1.684  -35.6991     0.000     0.999
    1.638  -35.6991     0.000     0.999
    1.593  -35.6991     0.000     0.999
    1.547  -35.6992     0.000     0.999
    1.502  -35.6992     0.000     0.999
    1.456  -35.6992     0.000     0.999
    1.410  -35.6992     0.000     0.999
    1.365  -35.6992     0.000     0.999
    1.319  -35.6992     0.000     0.998
    1.274  -35.6992     0.000     0.998
    1.228  -35.6992     0.000     0.998
    1.182  -35.6992     0.000     0.998
    1.137  -35.6992     0.000     0.998
    1.091  -35.6992     0.000     0.998
    1.046  -35.6992     0.000     0.998
    1.000  -35.6992     0.000     0.998
    1.000  -35.6992     0.000     0.998
    0.947  -35.6992     0.000     0.998
    0.895  -35.6992     0.000     0.998
    0.842  -35.6992     0.000     0.998
    0.790  -35.6992     0.000     0.998
    0.737  -35.6992     0.000     0.998
    0.684  -35.6992     0.000     0.998
    0.632  -35.6992     0.000     0.998
    0.579  -35.6992     0.000     0.998
    0.526  -35.6992     0.000     0.999
    0.474  -35.6991     0.000     0.999
    0.421  -35.6991     0.000     0.999
    0.368  -35.6991     0.000     0.999
    0.316  -35.6991     0.000     0.999
    0.263  -35.6991     0.000     0.999
    0.211  -35.6991     0.000     0.999
    0.158  -35.6991     0.000     0.999
    0.105  -35.6991     0.000     0.999
    0.053  -35.6991     0.000     0.999
    0.000  -35.6991     0.000     0.999
 
# Band-Index:    5
