#K-Path     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  0.0000  -35.7610  -35.7609  -35.7246  -35.7246  -35.0407  -35.0407  -35.0098  -35.0098  -34.9940  -34.9939  -24.2736  -24.2704  -24.2563  -24.2555  -21.3149  -21.3072  -21.3009  -21.2969  -21.2849  -21.2848  -10.1390  -10.1338   -9.8835   -9.8391   -3.5862   -3.0214   -2.1352   -1.5067   -1.4373   -1.4144    1.9642    2.1153    2.4614    2.8774    2.9402    3.1464    5.8598    6.0826    6.1163    6.1388    6.1539    6.2285    6.7043    6.7503
  0.0480  -35.7610  -35.7610  -35.7247  -35.7246  -35.0407  -35.0407  -35.0098  -35.0098  -34.9940  -34.9940  -24.2736  -24.2705  -24.2563  -24.2555  -21.3149  -21.3073  -21.3008  -21.2969  -21.2849  -21.2848  -10.1880  -10.1834   -9.8300   -9.7916   -3.5738   -3.0081   -2.1550   -1.5494   -1.4604   -1.3261    1.9609    2.0889    2.4648    2.8623    2.9216    3.1431    5.8141    6.0306    6.0987    6.1302    6.1787    6.2671    6.7319    6.7980
  0.0960  -35.7610  -35.7610  -35.7247  -35.7246  -35.0407  -35.0407  -35.0098  -35.0098  -34.9940  -34.9940  -24.2735  -24.2706  -24.2563  -24.2555  -21.3149  -21.3076  -21.3006  -21.2969  -21.2849  -21.2848  -10.2966  -10.2877   -9.7162   -9.6840   -3.5371   -2.9689   -2.2081   -1.6499   -1.4058   -1.2150    1.9451    2.0239    2.4725    2.8135    2.8941    3.1128    5.6843    5.8586    6.1104    6.1350    6.2360    6.3667    6.6559    6.7452
  0.1441  -35.7610  -35.7610  -35.7247  -35.7246  -35.0408  -35.0408  -35.0098  -35.0098  -34.9940  -34.9940  -24.2735  -24.2707  -24.2563  -24.2555  -21.3148  -21.3080  -21.3003  -21.2969  -21.2850  -21.2848  -10.4232  -10.4121   -9.5807   -9.5520   -3.4780   -2.9051   -2.2795   -1.7548   -1.3199   -1.0970    1.8792    1.9634    2.4738    2.7468    2.8711    3.0559    5.5132    5.6604    6.1356    6.1714    6.2406    6.3748    6.5686    6.6431
  0.1921  -35.7610  -35.7610  -35.7247  -35.7246  -35.0408  -35.0408  -35.0098  -35.0098  -34.9940  -34.9940  -24.2735  -24.2709  -24.2563  -24.2555  -21.3148  -21.3085  -21.2999  -21.2969  -21.2852  -21.2848  -10.5562  -10.5444   -9.4341   -9.4077   -3.3993   -2.8191   -2.3543   -1.8553   -1.2168   -0.9746    1.7596    1.9115    2.4503    2.6786    2.8494    3.0053    5.3331    5.4640    6.1077    6.1663    6.1789    6.2199    6.5071    6.5251
  0.2401  -35.7610  -35.7610  -35.7247  -35.7246  -35.0408  -35.0408  -35.0098  -35.0098  -34.9940  -34.9940  -24.2734  -24.2711  -24.2563  -24.2555  -21.3148  -21.3091  -21.2996  -21.2969  -21.2854  -21.2849  -10.6910  -10.6790   -9.2806   -9.2561   -3.3047   -2.7152   -2.4195   -1.9466   -1.1040   -0.8501    1.6198    1.8376    2.3844    2.6168    2.8100    3.0081    5.1578    5.2781    5.9351    5.9658    6.1336    6.1702    6.3254    6.3370
  0.2881  -35.7610  -35.7610  -35.7247  -35.7246  -35.0408  -35.0408  -35.0098  -35.0098  -34.9940  -34.9940  -24.2734  -24.2713  -24.2563  -24.2555  -21.3147  -21.3097  -21.2992  -21.2969  -21.2856  -21.2850  -10.8247  -10.8128   -9.1233   -9.1003   -3.2000   -2.6064   -2.4549   -2.0243   -0.9865   -0.7257    1.4705    1.7399    2.2830    2.5383    2.7840    3.0523    4.9931    5.1054    5.7531    5.7656    5.9716    5.9793    6.2194    6.2524
  0.3361  -35.7610  -35.7610  -35.7247  -35.7247  -35.0408  -35.0408  -35.0098  -35.0098  -34.9940  -34.9940  -24.2734  -24.2716  -24.2563  -24.2555  -21.3147  -21.3103  -21.2988  -21.2969  -21.2859  -21.2851  -10.9550  -10.9435   -8.9647   -8.9431   -3.0939   -2.5462   -2.3999   -2.0841   -0.8676   -0.6037    1.3162    1.6248    2.1664    2.4347    2.7833    3.1047    4.8412    4.9460    5.5785    5.5836    5.7712    5.7732    6.0996    6.1235
  0.3841  -35.7610  -35.7610  -35.7247  -35.7247  -35.0408  -35.0408  -35.0098  -35.0098  -34.9940  -34.9940  -24.2734  -24.2719  -24.2564  -24.2555  -21.3146  -21.3109  -21.2985  -21.2969  -21.2861  -21.2853  -11.0802  -11.0691   -8.8076   -8.7870   -2.9980   -2.5149   -2.2680   -2.1198   -0.7499   -0.4867    1.1595    1.4992    2.0484    2.3229    2.7831    3.1442    4.7025    4.7990    5.4127    5.4237    5.5774    5.5812    5.9467    5.9526
  0.4322  -35.7610  -35.7610  -35.7247  -35.7247  -35.0408  -35.0408  -35.0098  -35.0098  -34.9940  -34.9940  -24.2734  -24.2722  -24.2564  -24.2555  -21.3146  -21.3115  -21.2981  -21.2969  -21.2864  -21.2855  -11.1986  -11.1881   -8.6547   -8.6345   -2.9210   -2.4484   -2.1632   -2.0844   -0.6352   -0.3774    1.0017    1.3677    1.9371    2.2148    2.7638    3.1553    4.5759    4.6631    5.2623    5.2795    5.4000    5.4053    5.7810    5.7858
