  0.00000000E+00 -0.39056208E+02
  0.10000716E-01 -0.39056212E+02
  0.20001432E-01 -0.39056216E+02
  0.30002148E-01 -0.39056221E+02
  0.40002864E-01 -0.39056224E+02
  0.50003580E-01 -0.39056224E+02
  0.60004297E-01 -0.39056222E+02
  0.70005013E-01 -0.39056215E+02
  0.80005729E-01 -0.39056203E+02
  0.90006445E-01 -0.39056187E+02
  0.10000716E+00 -0.39056166E+02
  0.11000788E+00 -0.39056142E+02
  0.12000859E+00 -0.39056114E+02
  0.13000931E+00 -0.39056084E+02
  0.14001003E+00 -0.39056053E+02
  0.15001074E+00 -0.39056021E+02
  0.16001146E+00 -0.39055991E+02
  0.17001217E+00 -0.39055961E+02
  0.18001289E+00 -0.39055932E+02
  0.19001361E+00 -0.39055905E+02
  0.20001432E+00 -0.39055877E+02
  0.21001504E+00 -0.39055850E+02
  0.22001575E+00 -0.39055821E+02
  0.23001647E+00 -0.39055790E+02
  0.24001719E+00 -0.39055756E+02
  0.25001790E+00 -0.39055719E+02
  0.26001862E+00 -0.39055679E+02
  0.27001933E+00 -0.39055636E+02
  0.28002005E+00 -0.39055591E+02
  0.29002077E+00 -0.39055544E+02
  0.30002148E+00 -0.39055496E+02
  0.31002220E+00 -0.39055448E+02
  0.32002291E+00 -0.39055401E+02
  0.33002363E+00 -0.39055356E+02
  0.34002435E+00 -0.39055314E+02
  0.35002506E+00 -0.39055275E+02
  0.36002578E+00 -0.39055239E+02
  0.37002650E+00 -0.39055205E+02
  0.38002721E+00 -0.39055173E+02
  0.39002793E+00 -0.39055142E+02
  0.40002864E+00 -0.39055112E+02
  0.41002936E+00 -0.39055081E+02
  0.42003008E+00 -0.39055049E+02
  0.43003079E+00 -0.39055015E+02
  0.44003151E+00 -0.39054979E+02
  0.45003222E+00 -0.39054942E+02
  0.46003294E+00 -0.39054905E+02
  0.47003366E+00 -0.39054867E+02
  0.48003437E+00 -0.39054829E+02
  0.49003509E+00 -0.39054793E+02
  0.50003580E+00 -0.39054759E+02
  0.51003652E+00 -0.39054728E+02
  0.52003724E+00 -0.39054700E+02
  0.53003795E+00 -0.39054674E+02
  0.54003867E+00 -0.39054652E+02
  0.55003939E+00 -0.39054631E+02
  0.56004010E+00 -0.39054612E+02
  0.57004082E+00 -0.39054594E+02
  0.58004153E+00 -0.39054576E+02
  0.59004225E+00 -0.39054555E+02
  0.60004297E+00 -0.39054532E+02
  0.61004368E+00 -0.39054507E+02
  0.62004440E+00 -0.39054479E+02
  0.63004511E+00 -0.39054448E+02
  0.64004583E+00 -0.39054417E+02
  0.65004655E+00 -0.39054385E+02
  0.66004726E+00 -0.39054354E+02
  0.67004798E+00 -0.39054325E+02
  0.68004869E+00 -0.39054300E+02
  0.69004941E+00 -0.39054277E+02
  0.70005013E+00 -0.39054257E+02
  0.71005084E+00 -0.39054239E+02
  0.72005156E+00 -0.39054223E+02
  0.73005227E+00 -0.39054209E+02
  0.74005299E+00 -0.39054196E+02
  0.75005371E+00 -0.39054184E+02
  0.76005442E+00 -0.39054172E+02
  0.77005514E+00 -0.39054161E+02
  0.78005586E+00 -0.39054149E+02
  0.79005657E+00 -0.39054135E+02
  0.80005729E+00 -0.39054119E+02
  0.81005800E+00 -0.39054101E+02
  0.82005872E+00 -0.39054083E+02
  0.83005944E+00 -0.39054064E+02
  0.84006015E+00 -0.39054049E+02
  0.85006087E+00 -0.39054042E+02
  0.86006158E+00 -0.39054039E+02
  0.87006230E+00 -0.39054036E+02
  0.88006302E+00 -0.39054032E+02
  0.89006373E+00 -0.39054026E+02
  0.90006445E+00 -0.39054019E+02
  0.91006516E+00 -0.39054012E+02
  0.92006588E+00 -0.39054004E+02
  0.93006660E+00 -0.39053999E+02
  0.94006731E+00 -0.39053995E+02
  0.95006803E+00 -0.39053994E+02
  0.96006874E+00 -0.39053993E+02
  0.97006946E+00 -0.39053992E+02
  0.98007018E+00 -0.39053990E+02
  0.99007089E+00 -0.39053987E+02
  0.10000716E+01 -0.39053984E+02
  0.10100267E+01 -0.39053990E+02
  0.10199819E+01 -0.39053996E+02
  0.10299370E+01 -0.39054001E+02
  0.10398921E+01 -0.39054005E+02
  0.10498472E+01 -0.39054007E+02
  0.10598024E+01 -0.39054008E+02
