      #Energy        TDOS
     -38.26052       0.00000
     -38.07952       0.00000
     -37.89852       0.00000
     -37.71752       0.00000
     -37.53652       0.00000
     -37.35552       0.00000
     -37.17452       0.00000
     -36.99352       0.00000
     -36.81252       0.00000
     -36.63152       0.00000
     -36.45152       0.00000
     -36.27052       0.00000
     -36.08952       0.00000
     -35.90852       0.00633
     -35.72752      19.64000
     -35.54652       2.46800
     -35.36552       0.00000
     -35.18452       0.00884
     -35.00352      28.62000
     -34.82252       4.54100
     -34.64252       0.00000
     -34.46152       0.00000
     -34.28052       0.00000
     -34.09952       0.00000
     -33.91852       0.00000
     -33.73752       0.00000
     -33.55652       0.00000
     -33.37552       0.00000
     -33.19452       0.00000
     -33.01352       0.00000
     -32.83352       0.00000
     -32.65252       0.00000
     -32.47152       0.00000
     -32.29052       0.00000
     -32.10952       0.00000
     -31.92852       0.00000
     -31.74752       0.00000
     -31.56652       0.00000
     -31.38552       0.00000
     -31.20552       0.00000
     -31.02452       0.00000
     -30.84352       0.00000
     -30.66252       0.00000
     -30.48152       0.00000
     -30.30052       0.00000
     -30.11952       0.00000
     -29.93852       0.00000
     -29.75752       0.00000
     -29.57652       0.00000
     -29.39652       0.00000
     -29.21552       0.00000
     -29.03452       0.00000
     -28.85352       0.00000
     -28.67252       0.00000
     -28.49152       0.00000
     -28.31052       0.00000
     -28.12952       0.00000
     -27.94852       0.00000
     -27.76752       0.00000
     -27.58752       0.00000
     -27.40652       0.00000
     -27.22552       0.00000
     -27.04452       0.00000
     -26.86352       0.00000
     -26.68252       0.00000
     -26.50152       0.00000
     -26.32052       0.00000
     -26.13952       0.00000
     -25.95852       0.00000
     -25.77852       0.00000
     -25.59752       0.00000
     -25.41652       0.00000
     -25.23552       0.00000
     -25.05452       0.00000
     -24.87352       0.00000
     -24.69252       0.00000
     -24.51152       0.00000
     -24.33052       7.58500
     -24.14952      14.53000
     -23.96952       0.00003
     -23.78852       0.00000
     -23.60752       0.00000
     -23.42652       0.00000
     -23.24552       0.00000
     -23.06452       0.00000
     -22.88352       0.00000
     -22.70252       0.00000
     -22.52152       0.00000
     -22.34052       0.00000
     -22.16052       0.00000
     -21.97952       0.00000
     -21.79852       0.00000
     -21.61752       0.00000
     -21.43652       0.26630
     -21.25552      32.76000
     -21.07452       0.14070
     -20.89352       0.00000
     -20.71252       0.00000
     -20.53152       0.00000
     -20.35152       0.00000
     -20.17052       0.00000
     -19.98952       0.00000
     -19.80852       0.00000
     -19.62752       0.00000
     -19.44652       0.00000
     -19.26552       0.00000
     -19.08452       0.00000
     -18.90352       0.00000
     -18.72252       0.00000
     -18.54252       0.00000
     -18.36152       0.00000
     -18.18052       0.00000
     -17.99952       0.00000
     -17.81852       0.00000
     -17.63752       0.00000
     -17.45652       0.00000
     -17.27552       0.00000
     -17.09452       0.00000
     -16.91352       0.00000
     -16.73352       0.00000
     -16.55252       0.00000
     -16.37152       0.00000
     -16.19052       0.00000
     -16.00952       0.00000
     -15.82852       0.00000
     -15.64752       0.00000
     -15.46652       0.00000
     -15.28552       0.00000
     -15.10452       0.00000
     -14.92452       0.00000
     -14.74352       0.00000
     -14.56252       0.00000
     -14.38152       0.00000
     -14.20052       0.00000
     -14.01952       0.00000
     -13.83852       0.00000
     -13.65752       0.00000
     -13.47652       0.00000
     -13.29552       0.00000
     -13.11552       0.00000
     -12.93452       0.00000
     -12.75352       0.00000
     -12.57252       0.00000
     -12.39152       0.00000
     -12.21052       0.00000
     -12.02952       0.00000
     -11.84852       0.00000
     -11.66752       0.12610
     -11.48652       1.10900
     -11.30652       1.14700
     -11.12552       1.25000
     -10.94452       1.33600
     -10.76352       1.50500
     -10.58252       2.15000
     -10.40152       1.57800
     -10.22052       0.72720
     -10.03952       0.12690
      -9.85852       0.04455
      -9.67752       0.51880
      -9.49752       0.91440
      -9.31652       1.90000
      -9.13552       1.53800
      -8.95452       1.31300
      -8.77352       0.82100
      -8.59252       0.83350
      -8.41152       0.93390
      -8.23052       0.80210
      -8.04952       0.69380
      -7.86852       0.63910
      -7.68852       0.10330
      -7.50752       0.00000
      -7.32652       0.00000
      -7.14552       0.00000
      -6.96452       0.00000
      -6.78352       0.00000
      -6.60252       0.00000
      -6.42152       0.00000
      -6.24052       0.00000
      -6.05952       0.00000
      -5.87952       0.00000
