  #K-Path    Energy        Bi        As
# NKPTS & NBANDS:  80  44
# Band-Index:    1
    0.000  -35.6910     0.000     0.999
    0.049  -35.6910     0.000     0.999
    0.099  -35.6910     0.000     0.999
    0.148  -35.6910     0.000     0.999
    0.197  -35.6910     0.000     0.999
    0.247  -35.6910     0.000     0.999
    0.296  -35.6910     0.000     0.999
    0.345  -35.6910     0.000     0.999
    0.395  -35.6910     0.000     0.999
    0.444  -35.6911     0.000     0.999
    0.493  -35.6911     0.000     0.999
    0.542  -35.6911     0.000     0.999
    0.592  -35.6911     0.000     0.999
    0.641  -35.6911     0.000     0.999
    0.690  -35.6911     0.000     0.999
    0.740  -35.6911     0.000     0.999
    0.789  -35.6911     0.000     0.999
    0.838  -35.6911     0.000     0.999
    0.888  -35.6911     0.000     0.999
    0.937  -35.6912     0.000     0.999
    0.937  -35.6912     0.000     0.999
    0.980  -35.6911     0.000     0.999
    1.022  -35.6911     0.000     0.999
    1.065  -35.6911     0.000     0.999
    1.108  -35.6911     0.000     0.999
    1.151  -35.6911     0.000     0.999
    1.193  -35.6911     0.000     0.999
    1.236  -35.6911     0.000     0.999
    1.279  -35.6911     0.000     0.999
    1.321  -35.6911     0.000     0.999
    1.364  -35.6911     0.000     0.999
    1.407  -35.6910     0.000     0.999
    1.450  -35.6910     0.000     0.999
    1.492  -35.6910     0.000     0.999
    1.535  -35.6910     0.000     0.999
    1.578  -35.6910     0.000     0.999
    1.620  -35.6910     0.000     0.999
    1.663  -35.6910     0.000     0.999
    1.706  -35.6910     0.000     0.999
    1.748  -35.6910     0.000     0.999
    1.748  -35.6910     0.000     0.999
    1.773  -35.6910     0.000     0.999
    1.798  -35.6910     0.000     0.999
    1.822  -35.6910     0.000     0.999
    1.847  -35.6910     0.000     0.999
    1.872  -35.6910     0.000     0.999
    1.896  -35.6910     0.000     0.999
    1.921  -35.6910     0.000     0.999
    1.946  -35.6910     0.000     0.999
    1.970  -35.6910     0.000     0.999
    1.995  -35.6910     0.000     0.999
    2.020  -35.6910     0.000     0.999
    2.044  -35.6910     0.000     0.999
    2.069  -35.6910     0.000     0.999
    2.094  -35.6910     0.000     0.999
    2.118  -35.6910     0.000     0.999
    2.143  -35.6910     0.000     0.999
    2.168  -35.6910     0.000     0.999
    2.192  -35.6910     0.000     0.999
    2.217  -35.6910     0.000     0.999
    2.217  -35.6910     0.000     0.999
    2.266  -35.6910     0.000     0.999
    2.316  -35.6910     0.000     0.999
    2.365  -35.6910     0.000     0.999
    2.414  -35.6910     0.000     0.999
