  #K-Path    Energy        In        Sb
# NKPTS & NBANDS:  80  44
# Band-Index:    1
    0.053  -35.6080     0.000     0.998
    0.000  -35.6080     0.000     0.998
 
# Band-Index:    5
    0.000  -34.9129     0.000     0.999
    0.053  -34.9129     0.000     0.999
    0.106  -34.9129     0.000     0.999
    0.159  -34.9129     0.000     0.999
    0.213  -34.9129     0.000     0.999
    0.266  -34.9129     0.000     0.999
    0.319  -34.9130     0.000     0.999
    0.372  -34.9130     0.000     0.999
    0.425  -34.9130     0.000     0.999
    0.478  -34.9131     0.000     0.999
    0.531  -34.9132     0.000     0.999
    0.585  -34.9132     0.000     0.999
    0.638  -34.9132     0.000     0.999
    0.691  -34.9133     0.000     0.999
    0.744  -34.9133     0.000     0.999
    0.797  -34.9134     0.000     0.999
    0.850  -34.9134     0.000     0.999
    0.903  -34.9134     0.000     0.999
    0.957  -34.9134     0.000     0.999
    1.010  -34.9135     0.000     0.999
    1.010  -34.9135     0.000     0.999
    1.056  -34.9134     0.000     0.999
    1.102  -34.9134     0.000     0.999
    1.148  -34.9134     0.000     0.999
    1.194  -34.9134     0.000     0.999
    1.240  -34.9134     0.000     0.999
    1.286  -34.9133     0.000     0.999
    1.332  -34.9133     0.000     0.999
    1.378  -34.9132     0.000     0.999
    1.424  -34.9132     0.000     0.999
    1.470  -34.9131     0.000     0.999
    1.516  -34.9131     0.000     0.999
    1.562  -34.9131     0.000     0.999
    1.608  -34.9130     0.000     0.999
    1.654  -34.9130     0.000     0.999
    1.700  -34.9130     0.000     0.999
    1.746  -34.9130     0.000     0.999
    1.792  -34.9129     0.000     0.999
    1.838  -34.9130     0.000     0.999
    1.884  -34.9129     0.000     0.999
    1.884  -34.9129     0.000     0.999
    1.911  -34.9129     0.000     0.999
    1.937  -34.9129     0.000     0.999
    1.964  -34.9129     0.000     0.999
    1.991  -34.9130     0.000     0.999
    2.017  -34.9130     0.000     0.999
    2.044  -34.9129     0.000     0.999
    2.070  -34.9129     0.000     0.999
    2.097  -34.9129     0.000     0.999
    2.123  -34.9129     0.000     0.999
    2.150  -34.9129     0.000     0.999
    2.177  -34.9129     0.000     0.999
    2.203  -34.9129     0.000     0.999
    2.230  -34.9129     0.000     0.999
    2.256  -34.9129     0.000     0.999
    2.283  -34.9129     0.000     0.999
    2.309  -34.9129     0.000     0.999
    2.336  -34.9129     0.000     0.999
    2.363  -34.9129     0.000     0.999
    2.389  -34.9129     0.000     0.999
    2.389  -34.9129     0.000     0.999
    2.442  -34.9129     0.000     0.999
    2.495  -34.9129     0.000     0.999
    2.549  -34.9129     0.000     0.999
    2.602  -34.9129     0.000     0.999
    2.655  -34.9129     0.000     0.999
    2.708  -34.9130     0.000     0.999
    2.761  -34.9130     0.000     0.999
    2.814  -34.9130     0.000     0.999
    2.868  -34.9131     0.000     0.999
    2.921  -34.9132     0.000     0.999
    2.974  -34.9132     0.000     0.999
    3.027  -34.9132     0.000     0.999
    3.080  -34.9133     0.000     0.999
    3.133  -34.9133     0.000     0.999
    3.186  -34.9134     0.000     0.999
    3.240  -34.9134     0.000     0.999
    3.293  -34.9134     0.000     0.999
    3.346  -34.9134     0.000     0.999
    3.399  -34.9135     0.000     0.999
 
# Band-Index:    6
    3.399  -34.9135     0.000     0.999
    3.346  -34.9134     0.000     0.999
    3.293  -34.9134     0.000     0.999
    3.240  -34.9134     0.000     0.999
    3.186  -34.9134     0.000     0.999
    3.133  -34.9133     0.000     0.999
    3.080  -34.9133     0.000     0.999
    3.027  -34.9132     0.000     0.999
    2.974  -34.9132     0.000     0.999
    2.921  -34.9131     0.000     0.999
    2.868  -34.9131     0.000     0.999
    2.814  -34.9130     0.000     0.999
    2.761  -34.9130     0.000     0.999
    2.708  -34.9129     0.000     0.999
    2.655  -34.9129     0.000     0.999
    2.602  -34.9129     0.000     0.999
    2.549  -34.9129     0.000     0.999
    2.495  -34.9128     0.000     0.999
    2.442  -34.9128     0.000     0.999
    2.389  -34.9128     0.000     0.999
    2.389  -34.9128     0.000     0.999
    2.363  -34.9128     0.000     0.999
    2.336  -34.9128     0.000     0.999
    2.309  -34.9128     0.000     0.999
    2.283  -34.9128     0.000     0.999
    2.256  -34.9129     0.000     0.999
    2.230  -34.9129     0.000     0.999
    2.203  -34.9129     0.000     0.999
    2.177  -34.9129     0.000     0.999
    2.150  -34.9129     0.000     0.999
    2.123  -34.9129     0.000     0.999
    2.097  -34.9129     0.000     0.999
    2.070  -34.9129     0.000     0.999
    2.044  -34.9129     0.000     0.999
    2.017  -34.9129     0.000     0.999
    1.991  -34.9129     0.000     0.999
    1.964  -34.9129     0.000     0.999
    1.937  -34.9129     0.000     0.999
    1.911  -34.9129     0.000     0.999
    1.884  -34.9129     0.000     0.999
    1.884  -34.9129     0.000     0.999
    1.838  -34.9129     0.000     0.999
    1.792  -34.9129     0.000     0.999
    1.746  -34.9130     0.000     0.999
    1.700  -34.9130     0.000     0.999
    1.654  -34.9130     0.000     0.999
    1.608  -34.9130     0.000     0.999
    1.562  -34.9131     0.000     0.999
    1.516  -34.9131     0.000     0.999
    1.470  -34.9131     0.000     0.999
    1.424  -34.9132     0.000     0.999
    1.378  -34.9132     0.000     0.999
    1.332  -34.9133     0.000     0.999
    1.286  -34.9133     0.000     0.999
    1.240  -34.9133     0.000     0.999
    1.194  -34.9134     0.000     0.999
    1.148  -34.9134     0.000     0.999
    1.102  -34.9134     0.000     0.999
    1.056  -34.9134     0.000     0.999
    1.010  -34.9135     0.000     0.999
    1.010  -34.9135     0.000     0.999
    0.957  -34.9134     0.000     0.999
    0.903  -34.9134     0.000     0.999
    0.850  -34.9134     0.000     0.999
    0.797  -34.9134     0.000     0.999
    0.744  -34.9133     0.000     0.999
    0.691  -34.9133     0.000     0.999
    0.638  -34.9132     0.000     0.999
    0.585  -34.9132     0.000     0.999
    0.531  -34.9131     0.000     0.999
    0.478  -34.9131     0.000     0.999
    0.425  -34.9130     0.000     0.999
    0.372  -34.9130     0.000     0.999
    0.319  -34.9129     0.000     0.999
    0.266  -34.9129     0.000     0.999
    0.213  -34.9129     0.000     0.999
    0.159  -34.9129     0.000     0.999
    0.106  -34.9128     0.000     0.999
    0.053  -34.9128     0.000     0.999
    0.000  -34.9128     0.000     0.999
 
# Band-Index:    7
    0.000  -34.8910     0.000     0.999
    0.053  -34.8910     0.000     0.999
    0.106  -34.8910     0.000     0.999
    0.159  -34.8910     0.000     0.999
    0.213  -34.8910     0.000     0.999
    0.266  -34.8910     0.000     0.999
    0.319  -34.8910     0.000     0.999
    0.372  -34.8910     0.000     0.999
    0.425  -34.8910     0.000     0.999
    0.478  -34.8910     0.000     0.999
    0.531  -34.8910     0.000     0.999
    0.585  -34.8910     0.000     0.999
    0.638  -34.8910     0.000     0.999
    0.691  -34.8910     0.000     0.999
    0.744  -34.8910     0.000     0.999
    0.797  -34.8910     0.000     0.999
    0.850  -34.8910     0.000     0.999
    0.903  -34.8910     0.000     0.999
    0.957  -34.8910     0.000     0.999
    1.010  -34.8910     0.000     0.999
    1.010  -34.8910     0.000     0.999
    1.056  -34.8910     0.000     0.999
    1.102  -34.8910     0.000     0.999
    1.148  -34.8910     0.000     0.999
    1.194  -34.8910     0.000     0.999
    1.240  -34.8910     0.000     0.999
    1.286  -34.8910     0.000     0.999
    1.332  -34.8910     0.000     0.999
    1.378  -34.8910     0.000     0.999
    1.424  -34.8910     0.000     0.999
    1.470  -34.8910     0.000     0.999
    1.516  -34.8910     0.000     0.999
    1.562  -34.8910     0.000     0.999
    1.608  -34.8910     0.000     0.999
    1.654  -34.8910     0.000     0.999
    1.700  -34.8910     0.000     0.999
    1.746  -34.8910     0.000     0.999
    1.792  -34.8910     0.000     0.999
    1.838  -34.8910     0.000     0.999
    1.884  -34.8910     0.000     0.999
    1.884  -34.8910     0.000     0.999
    1.911  -34.8910     0.000     0.999
    1.937  -34.8910     0.000     0.999
    1.964  -34.8910     0.000     0.999
    1.991  -34.8910     0.000     0.999
    2.017  -34.8910     0.000     0.999
    2.044  -34.8910     0.000     0.999
    2.070  -34.8910     0.000     0.999
    2.097  -34.8910     0.000     0.999
    2.123  -34.8910     0.000     0.999
    2.150  -34.8910     0.000     0.999
    2.177  -34.8910     0.000     0.999
    2.203  -34.8910     0.000     0.999
    2.230  -34.8910     0.000     0.999
    2.256  -34.8910     0.000     0.999
    2.283  -34.8910     0.000     0.999
    2.309  -34.8910     0.000     0.999
    2.336  -34.8910     0.000     0.999
    2.363  -34.8910     0.000     0.999
    2.389  -34.8910     0.000     0.999
    2.389  -34.8910     0.000     0.999
    2.442  -34.8910     0.000     0.999
    2.495  -34.8910     0.000     0.999
    2.549  -34.8910     0.000     0.999
    2.602  -34.8910     0.000     0.999
    2.655  -34.8910     0.000     0.999
    2.708  -34.8910     0.000     0.999
    2.761  -34.8910     0.000     0.999
    2.814  -34.8910     0.000     0.999
    2.868  -34.8910     0.000     0.999
    2.921  -34.8910     0.000     0.999
    2.974  -34.8910     0.000     0.999
    3.027  -34.8910     0.000     0.999
    3.080  -34.8910     0.000     0.999
    3.133  -34.8910     0.000     0.999
    3.186  -34.8910     0.000     0.999
    3.240  -34.8910     0.000     0.999
    3.293  -34.8910     0.000     0.999
    3.346  -34.8910     0.000     0.999
    3.399  -34.8910     0.000     0.999
 
# Band-Index:    8
    3.399  -34.8910     0.000     0.999
    3.346  -34.8910     0.000     0.999
    3.293  -34.8910     0.000     0.999
    3.240  -34.8910     0.000     0.999
    3.186  -34.8910     0.000     0.999
    3.133  -34.8910     0.000     0.999
    3.080  -34.8910     0.000     0.999
    3.027  -34.8910     0.000     0.999
    2.974  -34.8910     0.000     0.999
    2.921  -34.8910     0.000     0.999
    2.868  -34.8910     0.000     0.999
    2.814  -34.8910     0.000     0.999
    2.761  -34.8909     0.000     0.999
    2.708  -34.8909     0.000     0.999
    2.655  -34.8909     0.000     0.999
    2.602  -34.8909     0.000     0.999
    2.549  -34.8909     0.000     0.999
    2.495  -34.8909     0.000     0.999
    2.442  -34.8909     0.000     0.999
    2.389  -34.8909     0.000     0.999
    2.389  -34.8909     0.000     0.999
    2.363  -34.8909     0.000     0.999
    2.336  -34.8909     0.000     0.999
    2.309  -34.8909     0.000     0.999
    2.283  -34.8909     0.000     0.999
    2.256  -34.8909     0.000     0.999
    2.230  -34.8909     0.000     0.999
    2.203  -34.8909     0.000     0.999
    2.177  -34.8910     0.000     0.999
    2.150  -34.8910     0.000     0.999
    2.123  -34.8910     0.000     0.999
    2.097  -34.8910     0.000     0.999
    2.070  -34.8910     0.000     0.999
    2.044  -34.8910     0.000     0.999
    2.017  -34.8910     0.000     0.999
    1.991  -34.8910     0.000     0.999
    1.964  -34.8910     0.000     0.999
    1.937  -34.8910     0.000     0.999
    1.911  -34.8910     0.000     0.999
    1.884  -34.8910     0.000     0.999
    1.884  -34.8910     0.000     0.999
    1.838  -34.8910     0.000     0.999
    1.792  -34.8910     0.000     0.999
    1.746  -34.8910     0.000     0.999
    1.700  -34.8910     0.000     0.999
    1.654  -34.8910     0.000     0.999
    1.608  -34.8910     0.000     0.999
    1.562  -34.8910     0.000     0.999
    1.516  -34.8910     0.000     0.999
    1.470  -34.8910     0.000     0.999
    1.424  -34.8910     0.000     0.999
    1.378  -34.8910     0.000     0.999
    1.332  -34.8910     0.000     0.999
    1.286  -34.8910     0.000     0.999
    1.240  -34.8910     0.000     0.999
    1.194  -34.8910     0.000     0.999
    1.148  -34.8910     0.000     0.999
    1.102  -34.8910     0.000     0.999
    1.056  -34.8910     0.000     0.999
    1.010  -34.8910     0.000     0.999
    1.010  -34.8910     0.000     0.999
    0.957  -34.8910     0.000     0.999
    0.903  -34.8910     0.000     0.999
    0.850  -34.8910     0.000     0.999
    0.797  -34.8910     0.000     0.999
    0.744  -34.8910     0.000     0.999
    0.691  -34.8910     0.000     0.999
    0.638  -34.8910     0.000     0.999
    0.585  -34.8910     0.000     0.999
    0.531  -34.8910     0.000     0.999
    0.478  -34.8910     0.000     0.999
    0.425  -34.8910     0.000     0.999
    0.372  -34.8909     0.000     0.999
    0.319  -34.8909     0.000     0.999
    0.266  -34.8909     0.000     0.999
    0.213  -34.8909     0.000     0.999
    0.159  -34.8909     0.000     0.999
    0.106  -34.8909     0.000     0.999
    0.053  -34.8909     0.000     0.999
    0.000  -34.8909     0.000     0.999
 
# Band-Index:    9
    0.000  -34.8778     0.000     0.999
    0.053  -34.8778     0.000     0.999
    0.106  -34.8778     0.000     0.999
    0.159  -34.8778     0.000     0.999
    0.213  -34.8778     0.000     0.999
    0.266  -34.8779     0.000     0.999
    0.319  -34.8779     0.000     0.999
    0.372  -34.8779     0.000     0.999
    0.425  -34.8779     0.000     0.999
    0.478  -34.8779     0.000     0.999
    0.531  -34.8780     0.000     0.999
    0.585  -34.8780     0.000     0.999
    0.638  -34.8780     0.000     0.999
    0.691  -34.8780     0.000     0.999
    0.744  -34.8781     0.000     0.999
    0.797  -34.8781     0.000     0.999
    0.850  -34.8781     0.000     0.999
    0.903  -34.8781     0.000     0.999
    0.957  -34.8781     0.000     0.999
    1.010  -34.8781     0.000     0.999
    1.010  -34.8781     0.000     0.999
    1.056  -34.8781     0.000     0.999
    1.102  -34.8781     0.000     0.999
    1.148  -34.8781     0.000     0.999
    1.194  -34.8781     0.000     0.999
    1.240  -34.8781     0.000     0.999
    1.286  -34.8781     0.000     0.999
    1.332  -34.8780     0.000     0.999
    1.378  -34.8780     0.000     0.999
    1.424  -34.8780     0.000     0.999
    1.470  -34.8780     0.000     0.999
    1.516  -34.8780     0.000     0.999
    1.562  -34.8779     0.000     0.999
    1.608  -34.8779     0.000     0.999
    1.654  -34.8779     0.000     0.999
    1.700  -34.8779     0.000     0.999
    1.746  -34.8779     0.000     0.999
    1.792  -34.8779     0.000     0.999
    1.838  -34.8779     0.000     0.999
    1.884  -34.8779     0.000     0.999
    1.884  -34.8779     0.000     0.999
    1.911  -34.8779     0.000     0.999
    1.937  -34.8779     0.000     0.999
    1.964  -34.8779     0.000     0.999
    1.991  -34.8779     0.000     0.999
    2.017  -34.8779     0.000     0.999
    2.044  -34.8779     0.000     0.999
    2.070  -34.8779     0.000     0.999
    2.097  -34.8778     0.000     0.999
    2.123  -34.8779     0.000     0.999
    2.150  -34.8778     0.000     0.999
    2.177  -34.8778     0.000     0.999
    2.203  -34.8778     0.000     0.999
    2.230  -34.8778     0.000     0.999
    2.256  -34.8778     0.000     0.999
    2.283  -34.8778     0.000     0.999
    2.309  -34.8778     0.000     0.999
    2.336  -34.8778     0.000     0.999
    2.363  -34.8778     0.000     0.999
    2.389  -34.8778     0.000     0.999
    2.389  -34.8778     0.000     0.999
    2.442  -34.8778     0.000     0.999
    2.495  -34.8778     0.000     0.999
    2.549  -34.8778     0.000     0.999
    2.602  -34.8778     0.000     0.999
    2.655  -34.8779     0.000     0.999
    2.708  -34.8779     0.000     0.999
    2.761  -34.8779     0.000     0.999
    2.814  -34.8779     0.000     0.999
    2.868  -34.8779     0.000     0.999
    2.921  -34.8780     0.000     0.999
    2.974  -34.8780     0.000     0.999
    3.027  -34.8780     0.000     0.999
    3.080  -34.8780     0.000     0.999
    3.133  -34.8781     0.000     0.999
    3.186  -34.8781     0.000     0.999
    3.240  -34.8781     0.000     0.999
    3.293  -34.8781     0.000     0.999
    3.346  -34.8781     0.000     0.999
    3.399  -34.8781     0.000     0.999
 
# Band-Index:   10
    3.399  -34.8781     0.000     0.999
    3.346  -34.8781     0.000     0.999
    3.293  -34.8781     0.000     0.999
    3.240  -34.8781     0.000     0.999
