  #K-Path    Energy        Bi        Sb
# NKPTS & NBANDS:  80 112
# Band-Index:    1
    0.059  -24.2155     0.984     0.000
    0.039  -24.2155     0.984     0.000
    0.020  -24.2155     0.984     0.000
    0.000  -24.2156     0.984     0.000
 
# Band-Index:    5
    0.000  -24.1872     0.984     0.000
    0.020  -24.1872     0.984     0.000
    0.039  -24.1872     0.984     0.000
    0.059  -24.1872     0.984     0.000
    0.078  -24.1872     0.984     0.000
    0.098  -24.1872     0.984     0.000
    0.118  -24.1872     0.984     0.000
    0.137  -24.1872     0.984     0.000
    0.157  -24.1872     0.984     0.000
    0.177  -24.1872     0.984     0.000
    0.196  -24.1872     0.984     0.000
    0.216  -24.1872     0.984     0.000
    0.235  -24.1872     0.984     0.000
    0.255  -24.1871     0.984     0.000
    0.275  -24.1871     0.984     0.000
    0.294  -24.1871     0.984     0.000
    0.314  -24.1871     0.984     0.000
    0.333  -24.1871     0.984     0.000
    0.353  -24.1871     0.984     0.000
    0.373  -24.1871     0.984     0.000
    0.373  -24.1871     0.984     0.000
    0.416  -24.1871     0.984     0.000
    0.460  -24.1872     0.984     0.000
    0.503  -24.1873     0.984     0.000
    0.547  -24.1873     0.984     0.000
    0.590  -24.1874     0.984     0.000
    0.634  -24.1874     0.984     0.000
    0.677  -24.1875     0.984     0.000
    0.721  -24.1875     0.984     0.000
    0.764  -24.1875     0.984     0.000
    0.807  -24.1875     0.984     0.000
    0.851  -24.1875     0.984     0.000
    0.894  -24.1874     0.984     0.000
    0.938  -24.1874     0.984     0.000
    0.981  -24.1873     0.984     0.000
    1.025  -24.1873     0.984     0.000
    1.068  -24.1872     0.984     0.000
    1.112  -24.1871     0.984     0.000
    1.155  -24.1870     0.984     0.000
    1.199  -24.1870     0.984     0.000
    1.199  -24.1870     0.985     0.000
    1.242  -24.1870     0.984     0.000
    1.286  -24.1871     0.984     0.000
    1.329  -24.1872     0.984     0.000
    1.373  -24.1873     0.984     0.000
    1.416  -24.1873     0.984     0.000
    1.460  -24.1874     0.984     0.000
    1.503  -24.1874     0.984     0.000
    1.547  -24.1875     0.984     0.000
    1.590  -24.1875     0.984     0.000
    1.634  -24.1875     0.984     0.000
    1.677  -24.1875     0.984     0.000
    1.721  -24.1875     0.984     0.000
    1.764  -24.1874     0.984     0.000
    1.808  -24.1874     0.984     0.000
    1.851  -24.1873     0.984     0.000
    1.895  -24.1873     0.984     0.000
    1.938  -24.1872     0.984     0.000
    1.982  -24.1871     0.984     0.000
    2.025  -24.1871     0.984     0.000
    2.025  -24.1871     0.984     0.000
    2.064  -24.1871     0.984     0.000
    2.103  -24.1872     0.984     0.000
    2.142  -24.1873     0.984     0.000
    2.180  -24.1873     0.984     0.000
    2.219  -24.1874     0.984     0.000
    2.258  -24.1874     0.984     0.000
    2.297  -24.1875     0.984     0.000
    2.336  -24.1875     0.984     0.000
    2.374  -24.1875     0.984     0.000
    2.413  -24.1875     0.984     0.000
    2.452  -24.1875     0.984     0.000
    2.491  -24.1875     0.984     0.000
    2.530  -24.1875     0.984     0.000
    2.569  -24.1875     0.984     0.000
    2.607  -24.1874     0.984     0.000
    2.646  -24.1874     0.984     0.000
    2.685  -24.1873     0.984     0.000
    2.724  -24.1873     0.984     0.000
    2.763  -24.1873     0.984     0.000
 
# Band-Index:    6
    2.763  -24.1873     0.984     0.000
    2.724  -24.1873     0.984     0.000
    2.685  -24.1873     0.984     0.000
    2.646  -24.1873     0.984     0.000
    2.607  -24.1873     0.984     0.000
    2.569  -24.1874     0.984     0.000
    2.530  -24.1874     0.984     0.000
    2.491  -24.1874     0.984     0.000
    2.452  -24.1874     0.984     0.000
    2.413  -24.1874     0.984     0.000
    2.374  -24.1874     0.984     0.000
    2.336  -24.1874     0.984     0.000
    2.297  -24.1873     0.984     0.000
    2.258  -24.1873     0.984     0.000
    2.219  -24.1872     0.984     0.000
    2.180  -24.1872     0.984     0.000
    2.142  -24.1871     0.984     0.000
    2.103  -24.1870     0.984     0.000
    2.064  -24.1870     0.984     0.000
    2.025  -24.1871     0.984     0.000
    2.025  -24.1871     0.984     0.000
    1.982  -24.1870     0.984     0.000
    1.938  -24.1871     0.984     0.000
    1.895  -24.1871     0.984     0.000
    1.851  -24.1872     0.984     0.000
    1.808  -24.1872     0.984     0.000
    1.764  -24.1873     0.984     0.000
    1.721  -24.1873     0.984     0.000
    1.677  -24.1874     0.984     0.000
    1.634  -24.1874     0.984     0.000
    1.590  -24.1874     0.984     0.000
    1.547  -24.1874     0.984     0.000
    1.503  -24.1874     0.984     0.000
    1.460  -24.1873     0.984     0.000
    1.416  -24.1873     0.984     0.000
    1.373  -24.1872     0.984     0.000
    1.329  -24.1872     0.984     0.000
    1.286  -24.1871     0.984     0.000
    1.242  -24.1870     0.984     0.000
    1.199  -24.1870     0.985     0.000
    1.199  -24.1870     0.984     0.000
    1.155  -24.1870     0.984     0.000
    1.112  -24.1871     0.984     0.000
    1.068  -24.1872     0.984     0.000
    1.025  -24.1872     0.984     0.000
    0.981  -24.1873     0.984     0.000
    0.938  -24.1873     0.984     0.000
    0.894  -24.1874     0.984     0.000
    0.851  -24.1874     0.984     0.000
    0.807  -24.1874     0.984     0.000
    0.764  -24.1874     0.984     0.000
    0.721  -24.1874     0.984     0.000
    0.677  -24.1873     0.984     0.000
    0.634  -24.1873     0.984     0.000
    0.590  -24.1872     0.984     0.000
    0.547  -24.1872     0.984     0.000
    0.503  -24.1871     0.984     0.000
    0.460  -24.1871     0.984     0.000
    0.416  -24.1870     0.984     0.000
    0.373  -24.1871     0.984     0.000
    0.373  -24.1871     0.984     0.000
    0.353  -24.1870     0.984     0.000
    0.333  -24.1870     0.984     0.000
    0.314  -24.1870     0.984     0.000
    0.294  -24.1870     0.984     0.000
    0.275  -24.1870     0.984     0.000
    0.255  -24.1870     0.984     0.000
    0.235  -24.1870     0.984     0.000
    0.216  -24.1871     0.984     0.000
    0.196  -24.1871     0.984     0.000
    0.177  -24.1871     0.984     0.000
    0.157  -24.1871     0.984     0.000
    0.137  -24.1871     0.984     0.000
    0.118  -24.1871     0.984     0.000
    0.098  -24.1871     0.984     0.000
    0.078  -24.1871     0.984     0.000
    0.059  -24.1872     0.984     0.000
    0.039  -24.1872     0.984     0.000
    0.020  -24.1872     0.984     0.000
    0.000  -24.1872     0.984     0.000
 
# Band-Index:    7
    0.000  -24.1868     0.984     0.000
    0.020  -24.1868     0.984     0.000
    0.039  -24.1868     0.984     0.000
    0.059  -24.1868     0.984     0.000
    0.078  -24.1868     0.984     0.000
    0.098  -24.1868     0.984     0.000
    0.118  -24.1868     0.984     0.000
    0.137  -24.1869     0.984     0.000
    0.157  -24.1869     0.984     0.000
    0.177  -24.1869     0.984     0.000
    0.196  -24.1869     0.984     0.000
    0.216  -24.1869     0.984     0.000
    0.235  -24.1869     0.984     0.000
    0.255  -24.1869     0.984     0.000
    0.275  -24.1870     0.984     0.000
    0.294  -24.1870     0.984     0.000
    0.314  -24.1870     0.984     0.000
    0.333  -24.1870     0.984     0.000
    0.353  -24.1869     0.984     0.000
    0.373  -24.1869     0.984     0.000
    0.373  -24.1869     0.984     0.000
    0.416  -24.1870     0.984     0.000
    0.460  -24.1869     0.984     0.000
    0.503  -24.1868     0.984     0.000
    0.547  -24.1868     0.984     0.000
    0.590  -24.1867     0.984     0.000
    0.634  -24.1866     0.984     0.000
    0.677  -24.1866     0.984     0.000
    0.721  -24.1866     0.984     0.000
    0.764  -24.1866     0.984     0.000
    0.807  -24.1866     0.984     0.000
    0.851  -24.1866     0.984     0.000
    0.894  -24.1866     0.984     0.000
    0.938  -24.1866     0.984     0.000
    0.981  -24.1867     0.984     0.000
    1.025  -24.1867     0.984     0.000
    1.068  -24.1868     0.984     0.000
    1.112  -24.1868     0.984     0.000
    1.155  -24.1869     0.984     0.000
    1.199  -24.1870     0.984     0.000
    1.199  -24.1870     0.985     0.000
    1.242  -24.1869     0.984     0.000
    1.286  -24.1868     0.984     0.000
    1.329  -24.1868     0.984     0.000
    1.373  -24.1867     0.984     0.000
    1.416  -24.1867     0.984     0.000
    1.460  -24.1866     0.984     0.000
    1.503  -24.1866     0.984     0.000
    1.547  -24.1866     0.984     0.000
    1.590  -24.1866     0.984     0.000
    1.634  -24.1866     0.984     0.000
    1.677  -24.1866     0.984     0.000
    1.721  -24.1866     0.984     0.000
    1.764  -24.1866     0.984     0.000
    1.808  -24.1867     0.984     0.000
    1.851  -24.1868     0.984     0.000
    1.895  -24.1868     0.984     0.000
    1.938  -24.1869     0.984     0.000
    1.982  -24.1870     0.984     0.000
    2.025  -24.1869     0.984     0.000
    2.025  -24.1869     0.984     0.000
    2.064  -24.1870     0.984     0.000
    2.103  -24.1869     0.984     0.000
    2.142  -24.1868     0.984     0.000
    2.180  -24.1868     0.984     0.000
    2.219  -24.1867     0.984     0.000
    2.258  -24.1866     0.984     0.000
    2.297  -24.1866     0.984     0.000
    2.336  -24.1866     0.984     0.000
    2.374  -24.1865     0.984     0.000
    2.413  -24.1865     0.984     0.000
    2.452  -24.1865     0.984     0.000
    2.491  -24.1865     0.984     0.000
    2.530  -24.1865     0.984     0.000
    2.569  -24.1866     0.984     0.000
    2.607  -24.1866     0.984     0.000
    2.646  -24.1866     0.984     0.000
    2.685  -24.1866     0.984     0.000
    2.724  -24.1866     0.984     0.000
    2.763  -24.1866     0.984     0.000
 
# Band-Index:    8
    2.763  -24.1866     0.984     0.000
    2.724  -24.1866     0.984     0.000
    2.685  -24.1866     0.984     0.000
    2.646  -24.1866     0.984     0.000
    2.607  -24.1865     0.984     0.000
    2.569  -24.1865     0.984     0.000
    2.530  -24.1865     0.984     0.000
    2.491  -24.1865     0.984     0.000
    2.452  -24.1865     0.984     0.000
    2.413  -24.1865     0.984     0.000
    2.374  -24.1865     0.984     0.000
    2.336  -24.1865     0.984     0.000
    2.297  -24.1866     0.984     0.000
    2.258  -24.1866     0.984     0.000
    2.219  -24.1866     0.984     0.000
    2.180  -24.1867     0.984     0.000
    2.142  -24.1867     0.984     0.000
    2.103  -24.1868     0.984     0.000
    2.064  -24.1869     0.984     0.000
    2.025  -24.1869     0.984     0.000
    2.025  -24.1869     0.984     0.000
    1.982  -24.1869     0.984     0.000
    1.938  -24.1868     0.984     0.000
    1.895  -24.1867     0.984     0.000
    1.851  -24.1867     0.984     0.000
    1.808  -24.1866     0.984     0.000
    1.764  -24.1866     0.984     0.000
    1.721  -24.1866     0.984     0.000
    1.677  -24.1866     0.984     0.000
    1.634  -24.1866     0.984     0.000
    1.590  -24.1865     0.984     0.000
    1.547  -24.1865     0.984     0.000
    1.503  -24.1866     0.984     0.000
    1.460  -24.1866     0.984     0.000
    1.416  -24.1866     0.984     0.000
    1.373  -24.1867     0.984     0.000
    1.329  -24.1867     0.984     0.000
    1.286  -24.1868     0.984     0.000
    1.242  -24.1869     0.984     0.000
    1.199  -24.1870     0.985     0.000
    1.199  -24.1870     0.984     0.000
    1.155  -24.1869     0.984     0.000
    1.112  -24.1868     0.984     0.000
    1.068  -24.1867     0.984     0.000
    1.025  -24.1867     0.984     0.000
    0.981  -24.1866     0.984     0.000
    0.938  -24.1866     0.984     0.000
    0.894  -24.1866     0.984     0.000
    0.851  -24.1865     0.984     0.000
    0.807  -24.1865     0.984     0.000
    0.764  -24.1866     0.984     0.000
    0.721  -24.1866     0.984     0.000
    0.677  -24.1866     0.984     0.000
    0.634  -24.1866     0.984     0.000
    0.590  -24.1866     0.984     0.000
    0.547  -24.1867     0.984     0.000
    0.503  -24.1867     0.984     0.000
    0.460  -24.1868     0.984     0.000
    0.416  -24.1869     0.984     0.000
    0.373  -24.1869     0.984     0.000
    0.373  -24.1869     0.984     0.000
    0.353  -24.1869     0.984     0.000
    0.333  -24.1869     0.984     0.000
    0.314  -24.1869     0.984     0.000
    0.294  -24.1869     0.984     0.000
    0.275  -24.1868     0.984     0.000
    0.255  -24.1868     0.984     0.000
    0.235  -24.1868     0.984     0.000
    0.216  -24.1868     0.984     0.000
    0.196  -24.1868     0.984     0.000
    0.177  -24.1868     0.984     0.000
    0.157  -24.1868     0.984     0.000
    0.137  -24.1868     0.984     0.000
    0.118  -24.1868     0.984     0.000
    0.098  -24.1868     0.984     0.000
    0.078  -24.1868     0.984     0.000
    0.059  -24.1868     0.984     0.000
    0.039  -24.1868     0.984     0.000
    0.020  -24.1868     0.984     0.000
    0.000  -24.1868     0.984     0.000
 
# Band-Index:    9
    0.000  -21.2611     0.988     0.000
    0.020  -21.2612     0.988     0.000
    0.039  -21.2613     0.988     0.000
    0.059  -21.2613     0.988     0.000
    0.078  -21.2614     0.988     0.000
    0.098  -21.2614     0.988     0.000
    0.118  -21.2615     0.988     0.000
    0.137  -21.2615     0.988     0.000
    0.157  -21.2616     0.988     0.000
    0.177  -21.2616     0.988     0.000
    0.196  -21.2616     0.988     0.000
    0.216  -21.2617     0.988     0.000
    0.235  -21.2617     0.988     0.000
    0.255  -21.2617     0.988     0.000
    0.275  -21.2617     0.988     0.000
    0.294  -21.2617     0.988     0.000
    0.314  -21.2617     0.988     0.000
    0.333  -21.2617     0.988     0.000
    0.353  -21.2617     0.988     0.000
    0.373  -21.2617     0.988     0.000
    0.373  -21.2617     0.988     0.000
    0.416  -21.2617     0.988     0.000
    0.460  -21.2617     0.988     0.000
    0.503  -21.2615     0.988     0.000
    0.547  -21.2613     0.988     0.000
    0.590  -21.2610     0.988     0.000
    0.634  -21.2606     0.988     0.000
    0.677  -21.2604     0.988     0.000
    0.721  -21.2602     0.988     0.000
    0.764  -21.2600     0.988     0.000
    0.807  -21.2597     0.988     0.000
    0.851  -21.2594     0.988     0.000
    0.894  -21.2591     0.988     0.000
    0.938  -21.2588     0.988     0.000
    0.981  -21.2584     0.988     0.000
    1.025  -21.2581     0.988     0.000
    1.068  -21.2578     0.988     0.000
    1.112  -21.2574     0.988     0.000
    1.155  -21.2571     0.988     0.000
    1.199  -21.2567     0.989     0.000
    1.199  -21.2567     0.988     0.000
    1.242  -21.2571     0.988     0.000
    1.286  -21.2574     0.988     0.000
    1.329  -21.2578     0.988     0.000
    1.373  -21.2581     0.988     0.000
    1.416  -21.2584     0.988     0.000
    1.460  -21.2588     0.988     0.000
    1.503  -21.2591     0.988     0.000
    1.547  -21.2594     0.988     0.000
    1.590  -21.2597     0.988     0.000
    1.634  -21.2600     0.988     0.000
    1.677  -21.2602     0.988     0.000
    1.721  -21.2604     0.988     0.000
    1.764  -21.2606     0.988     0.000
    1.808  -21.2610     0.988     0.000
    1.851  -21.2613     0.988     0.000
    1.895  -21.2615     0.988     0.000
    1.938  -21.2617     0.988     0.000
    1.982  -21.2617     0.988     0.000
    2.025  -21.2617     0.988     0.000
    2.025  -21.2617     0.988     0.000
    2.064  -21.2617     0.988     0.000
    2.103  -21.2617     0.988     0.000
    2.142  -21.2615     0.988     0.000
    2.180  -21.2613     0.988     0.000
    2.219  -21.2610     0.988     0.000
    2.258  -21.2606     0.988     0.000
    2.297  -21.2604     0.988     0.000
    2.336  -21.2602     0.988     0.000
    2.374  -21.2600     0.988     0.000
    2.413  -21.2598     0.988     0.000
    2.452  -21.2595     0.988     0.000
    2.491  -21.2593     0.988     0.000
    2.530  -21.2591     0.988     0.000
    2.569  -21.2590     0.988     0.000
    2.607  -21.2588     0.988     0.000
    2.646  -21.2587     0.988     0.000
    2.685  -21.2586     0.988     0.000
    2.724  -21.2585     0.988     0.000
    2.763  -21.2584     0.988     0.000
 
# Band-Index:   10
    2.763  -21.2584     0.988     0.000
    2.724  -21.2583     0.988     0.000
    2.685  -21.2582     0.988     0.000
